Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Alabama,13519 (4544 -- 54259),Likely increasing,1.1 (1 -- 1.5),0.04 (-0.01 -- 0.12),18.8 (5.8 -- -108.4)
Alaska,1084 (195 -- 8148),Unsure,1.2 (0.9 -- 1.6),0.04 (-0.02 -- 0.16),16.2 (4.5 -- -28.2)
Arizona,17860 (7541 -- 67462),Likely increasing,1.2 (1 -- 1.5),0.05 (0.01 -- 0.14),14 (5 -- 59.7)
Arkansas,6468 (3177 -- 15879),Unsure,1.1 (1 -- 1.3),0.02 (0 -- 0.07),29.2 (9.7 -- -157.6)
California,50757 (24178 -- 112832),Likely increasing,1.2 (1.1 -- 1.4),0.05 (0.02 -- 0.09),13 (7.5 -- 32.8)
Colorado,18718 (5611 -- 40926),Likely increasing,1.2 (0.9 -- 1.3),0.04 (-0.02 -- 0.08),16.8 (8.6 -- -42)
Connecticut,9835 (4438 -- 22107),Increasing,1.2 (1 -- 1.3),0.04 (0.01 -- 0.08),16 (8.3 -- 110.2)
Delaware,817 (192 -- 4331),Unsure,1.1 (0.9 -- 1.4),0.02 (-0.04 -- 0.1),42.7 (7.1 -- -16.5)
District of Columbia,796 (130 -- 3208),Likely increasing,1.1 (0.8 -- 1.4),0.04 (-0.05 -- 0.1),19.2 (6.9 -- -14.9)
Florida,23971 (10912 -- 49444),Likely increasing,1.1 (1 -- 1.2),0.03 (-0.01 -- 0.06),25.4 (11.6 -- -58.4)
Georgia,11432 (4913 -- 32015),Unsure,1.1 (0.9 -- 1.3),0.02 (-0.02 -- 0.07),36.2 (9.9 -- -34.6)
Guam,11 (0 -- 152),Likely decreasing,0.7 (0.2 -- 1),-0.1 (-0.27 -- -0.01),-7.3 (-137.3 -- -2.6)
Hawaii,2277 (220 -- 15579),Unsure,1.3 (0.9 -- 1.8),0.09 (-0.04 -- 0.2),7.8 (3.5 -- -17.2)
Idaho,3646 (1275 -- 9273),Unsure,1.1 (0.9 -- 1.2),0.02 (-0.03 -- 0.06),42.4 (11.1 -- -24.7)
Illinois,42129 (21366 -- 70085),Likely increasing,1.1 (1 -- 1.2),0.02 (-0.01 -- 0.05),27.8 (14.6 -- -60.4)
Indiana,20522 (12821 -- 34724),Increasing,1.1 (1 -- 1.2),0.02 (0 -- 0.05),27.9 (14.5 -- 156.4)
Iowa,15010 (8105 -- 30342),Increasing,1.2 (1 -- 1.3),0.04 (0.01 -- 0.08),15.8 (8.4 -- 51)
Kansas,5899 (1278 -- 28358),Unsure,1.1 (0.9 -- 1.4),0.02 (-0.04 -- 0.11),29.1 (6.6 -- -16.7)
Kentucky,7172 (3010 -- 19616),Likely increasing,1.1 (1 -- 1.3),0.03 (-0.01 -- 0.08),23.7 (8.9 -- -92.4)
Louisiana,6327 (2478 -- 17765),Likely increasing,1.1 (0.9 -- 1.3),0.02 (-0.02 -- 0.07),32.7 (10.4 -- -35.9)
Maine,1433 (120 -- 5696),Likely increasing,1.2 (0.7 -- 1.4),0.04 (-0.07 -- 0.11),16.9 (6.4 -- -9.3)
Maryland,10460 (5483 -- 17210),Likely increasing,1.1 (1 -- 1.2),0.04 (0 -- 0.06),19.2 (12.2 -- 578.5)
Massachusetts,11427 (6421 -- 23790),Likely increasing,1.1 (1 -- 1.3),0.03 (0.01 -- 0.07),23 (10.4 -- 88.2)
Michigan,52551 (19824 -- 106081),Likely increasing,1.2 (1 -- 1.3),0.05 (-0.01 -- 0.08),15.2 (8.2 -- -72)
Minnesota,14177 (7327 -- 23676),Likely increasing,1.1 (1 -- 1.1),0.02 (-0.01 -- 0.04),37.1 (17.5 -- -56.6)
Mississippi,6672 (2892 -- 18033),Likely increasing,1.1 (1 -- 1.3),0.02 (-0.01 -- 0.07),27.8 (9.3 -- -78.8)
Missouri,11958 (3322 -- 58817),Unsure,1.1 (0.9 -- 1.5),0.04 (-0.02 -- 0.13),19.6 (5.2 -- -35.2)
Montana,1459 (280 -- 4321),Unsure,1 (0.7 -- 1.1),-0.01 (-0.08 -- 0.04),-57.1 (19.2 -- -8.3)
Nebraska,10758 (4402 -- 28254),Likely increasing,1.2 (1 -- 1.4),0.05 (0.01 -- 0.11),13.5 (6.2 -- 76)
Nevada,11032 (4826 -- 28344),Likely increasing,1.2 (1 -- 1.4),0.05 (0.01 -- 0.1),13.4 (6.7 -- 66.2)
New Hampshire,4176 (1251 -- 14251),Likely increasing,1.4 (1.1 -- 1.7),0.1 (0.04 -- 0.17),7.2 (4 -- 19.3)
New Jersey,15025 (7377 -- 27995),Likely increasing,1.1 (1 -- 1.2),0.03 (0 -- 0.06),19.9 (11.5 -- -189.9)
New Mexico,7051 (3211 -- 13283),Likely increasing,1.1 (0.9 -- 1.2),0.02 (-0.02 -- 0.05),31.9 (13.5 -- -40.7)
New York,21629 (11320 -- 46282),Increasing,1.2 (1 -- 1.3),0.04 (0.01 -- 0.08),17.1 (9 -- 56.1)
North Carolina,11972 (5092 -- 34625),Unsure,1.1 (0.9 -- 1.3),0.02 (-0.01 -- 0.07),35.5 (9.6 -- -47.8)
North Dakota,1588 (619 -- 3397),Unsure,1 (0.8 -- 1.1),-0.01 (-0.06 -- 0.02),-54.4 (27.8 -- -12.5)
Ohio,33992 (18494 -- 69876),Increasing,1.2 (1.1 -- 1.3),0.05 (0.02 -- 0.08),14.9 (8.5 -- 36.5)
Oklahoma,6137 (2918 -- 15396),Likely increasing,1.1 (1 -- 1.3),0.03 (0 -- 0.07),26.7 (9.4 -- -163)
Oregon,9102 (3635 -- 24994),Likely increasing,1.2 (1.1 -- 1.4),0.06 (0.02 -- 0.11),11.6 (6.3 -- 39.5)
Pennsylvania,49168 (21106 -- 98055),Likely increasing,1.2 (1 -- 1.3),0.05 (0.01 -- 0.09),13.4 (7.9 -- 85.4)
Puerto Rico,3371 (933 -- 7447),Unsure,1.1 (0.8 -- 1.2),0.01 (-0.05 -- 0.05),47.6 (15.2 -- -14.4)
Rhode Island,2781 (1034 -- 7069),Likely increasing,1.1 (0.9 -- 1.3),0.04 (-0.01 -- 0.08),19.5 (8.4 -- -49.4)
South Carolina,12458 (3863 -- 42537),Unsure,1.2 (1 -- 1.5),0.05 (0 -- 0.12),14.3 (5.8 -- -267.8)
South Dakota,4549 (1301 -- 9878),Likely increasing,1.1 (0.9 -- 1.3),0.02 (-0.04 -- 0.07),33.2 (9.4 -- -16.6)
Tennessee,12682 (4723 -- 30518),Unsure,1 (0.9 -- 1.2),0.01 (-0.03 -- 0.05),58.7 (13.7 -- -21.3)
Texas,44760 (19494 -- 91415),Likely increasing,1.1 (0.9 -- 1.2),0.02 (-0.02 -- 0.05),33.2 (13.4 -- -41.5)
US,547553 (391267 -- 808954),Increasing,1.1 (1.1 -- 1.2),0.03 (0.02 -- 0.05),23.2 (14.6 -- 38.9)
Utah,1738 (298 -- 4952),Unsure,1 (0.7 -- 1.1),0 (-0.08 -- 0.04),-146.2 (19.8 -- -8.2)
Virginia,3810 (662 -- 14022),Unsure,1 (0.7 -- 1.2),0 (-0.08 -- 0.06),334.7 (11 -- -8.2)
Washington,10481 (3439 -- 42444),Likely increasing,1.2 (1 -- 1.5),0.05 (0 -- 0.12),15.4 (5.7 -- 93475.8)
West Virginia,4366 (1344 -- 10668),Likely increasing,1.1 (0.9 -- 1.3),0.03 (-0.03 -- 0.07),27.3 (9.6 -- -26)
Wisconsin,10012 (3639 -- 30019),Unsure,1 (0.9 -- 1.2),0.01 (-0.03 -- 0.07),59.8 (10.5 -- -21.2)
Wyoming,1014 (15 -- 5317),Unsure,1 (0.4 -- 1.3),0 (-0.18 -- 0.08),-928.2 (9.1 -- -4)
