region,estimate,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,metric,Expected change in daily cases
US,691717 (385633 -- 2615974),691717,991833,892784,385633,534415,615568,791195,1077715,2615974,New confirmed cases by infection date,Likely increasing
California,74132 (16802 -- 569898),74132,202721,910358,16802,42284,57828,94700,146317,569898,New confirmed cases by infection date,Unsure
Michigan,70247 (9849 -- 345100),70247,152694,510435,9849,38557,56763,85425,111769,345100,New confirmed cases by infection date,Likely increasing
Pennsylvania,55259 (8288 -- 258212),55259,101081,386732,8288,30096,44739,68209,94693,258212,New confirmed cases by infection date,Unsure
Illinois,51682 (13158 -- 175215),51682,68633,89976,13158,33206,43869,60106,74889,175215,New confirmed cases by infection date,Unsure
Texas,48995 (11511 -- 186592),48995,80551,229179,11511,32979,42454,56000,72516,186592,New confirmed cases by infection date,Likely increasing
Ohio,35868 (10960 -- 108881),35868,48707,80980,10960,24831,31284,41587,52349,108881,New confirmed cases by infection date,Likely increasing
Florida,23962 (3723 -- 94153),23962,35665,66911,3723,14353,20061,28409,38838,94153,New confirmed cases by infection date,Unsure
New York,23438 (8371 -- 92898),23438,36437,62037,8371,16519,20290,26861,35109,92898,New confirmed cases by infection date,Likely increasing
Indiana,23122 (10742 -- 60778),23122,28279,21401,10742,17993,21145,25830,31125,60778,New confirmed cases by infection date,Likely increasing
Colorado,23061 (4564 -- 126699),23061,45141,118934,4564,14080,19360,27699,36863,126699,New confirmed cases by infection date,Likely increasing
Arizona,22001 (5226 -- 230918),22001,74049,284578,5226,12523,16950,28990,49416,230918,New confirmed cases by infection date,Likely increasing
Iowa,21080 (6704 -- 120806),21080,43087,92340,6704,13787,17897,25509,37750,120806,New confirmed cases by infection date,Likely increasing
South Carolina,20526 (2946 -- 303545),20526,85049,313401,2946,8423,14388,30348,56062,303545,New confirmed cases by infection date,Unsure
Alabama,17408 (3232 -- 431222),17408,191886,1347081,3232,9130,13226,22187,40832,431222,New confirmed cases by infection date,Likely increasing
New Jersey,16777 (3581 -- 60879),16777,24499,46459,3581,10578,14403,19255,24490,60879,New confirmed cases by infection date,Likely increasing
Missouri,16453 (1856 -- 455824),16453,127888,836257,1856,6685,11486,25435,53477,455824,New confirmed cases by infection date,Unsure
Minnesota,15693 (4854 -- 43406),15693,20142,24036,4854,10271,13519,17910,22406,43406,New confirmed cases by infection date,Unsure
