date,confirm,region
2020-10-19,1,Alabama
2020-10-20,16,Alabama
2020-10-21,23,Alabama
2020-10-22,15,Alabama
2020-10-23,16,Alabama
2020-10-24,7,Alabama
2020-10-25,0,Alabama
2020-10-26,0,Alabama
2020-10-27,26,Alabama
2020-10-28,19,Alabama
2020-10-29,3,Alabama
2020-10-30,18,Alabama
2020-10-31,35,Alabama
2020-11-01,6,Alabama
2020-11-02,0,Alabama
2020-11-03,14,Alabama
2020-11-04,19,Alabama
2020-11-05,20,Alabama
2020-11-06,23,Alabama
2020-11-07,33,Alabama
2020-11-08,2,Alabama
2020-11-09,0,Alabama
2020-11-10,36,Alabama
2020-11-11,81,Alabama
2020-11-12,12,Alabama
2020-11-13,18,Alabama
2020-11-14,15,Alabama
2020-11-15,2,Alabama
2020-11-16,1,Alabama
2020-11-17,52,Alabama
2020-11-18,46,Alabama
2020-11-19,72,Alabama
2020-11-20,32,Alabama
2020-11-21,6,Alabama
2020-11-22,0,Alabama
2020-11-23,2,Alabama
2020-11-24,13,Alabama
2020-11-25,60,Alabama
2020-11-26,40,Alabama
2020-11-27,0,Alabama
2020-11-28,0,Alabama
2020-11-29,5,Alabama
2020-11-30,1,Alabama
2020-12-01,60,Alabama
2020-12-02,73,Alabama
2020-12-03,65,Alabama
2020-12-04,55,Alabama
2020-12-05,46,Alabama
2020-12-06,12,Alabama
2020-12-07,3,Alabama
2020-12-08,50,Alabama
2020-12-09,43,Alabama
2020-12-10,49,Alabama
2020-12-11,52,Alabama
2020-12-12,16,Alabama
2020-12-13,0,Alabama
2020-12-14,0,Alabama
2020-12-15,22,Alabama
2020-12-16,74,Alabama
2020-12-17,56,Alabama
2020-12-18,42,Alabama
2020-12-19,93,Alabama
2020-12-20,0,Alabama
2020-12-21,0,Alabama
2020-12-22,63,Alabama
2020-12-23,135,Alabama
2020-12-24,89,Alabama
2020-12-25,4,Alabama
2020-12-26,5,Alabama
2020-12-27,6,Alabama
2020-12-28,21,Alabama
2020-12-29,25,Alabama
2020-12-30,37,Alabama
2020-12-31,53,Alabama
2021-01-01,45,Alabama
2021-01-02,0,Alabama
2021-01-03,1,Alabama
2021-01-04,5,Alabama
2021-01-05,8,Alabama
2021-01-06,8,Alabama
2021-01-07,86,Alabama
2021-01-08,111,Alabama
2021-01-09,108,Alabama
2020-10-19,0,Alaska
2020-10-20,0,Alaska
2020-10-21,1,Alaska
2020-10-22,0,Alaska
2020-10-23,0,Alaska
2020-10-24,0,Alaska
2020-10-25,0,Alaska
2020-10-26,0,Alaska
2020-10-27,2,Alaska
2020-10-28,1,Alaska
2020-10-29,6,Alaska
2020-10-30,4,Alaska
2020-10-31,1,Alaska
2020-11-01,1,Alaska
2020-11-02,1,Alaska
2020-11-03,0,Alaska
2020-11-04,0,Alaska
2020-11-05,0,Alaska
2020-11-06,0,Alaska
2020-11-07,0,Alaska
2020-11-08,0,Alaska
2020-11-09,0,Alaska
2020-11-10,8,Alaska
2020-11-11,4,Alaska
2020-11-12,0,Alaska
2020-11-13,1,Alaska
2020-11-14,1,Alaska
2020-11-15,0,Alaska
2020-11-16,0,Alaska
2020-11-17,2,Alaska
2020-11-18,0,Alaska
2020-11-19,1,Alaska
2020-11-20,0,Alaska
2020-11-21,1,Alaska
2020-11-22,1,Alaska
2020-11-23,0,Alaska
2020-11-24,13,Alaska
2020-11-25,0,Alaska
2020-11-26,3,Alaska
2020-11-27,0,Alaska
2020-11-28,2,Alaska
2020-11-29,0,Alaska
2020-11-30,0,Alaska
2020-12-01,1,Alaska
2020-12-02,0,Alaska
2020-12-03,8,Alaska
2020-12-04,12,Alaska
2020-12-05,1,Alaska
2020-12-06,0,Alaska
2020-12-07,3,Alaska
2020-12-08,0,Alaska
2020-12-09,4,Alaska
2020-12-10,5,Alaska
2020-12-11,3,Alaska
2020-12-12,18,Alaska
2020-12-13,0,Alaska
2020-12-14,0,Alaska
2020-12-15,3,Alaska
2020-12-16,2,Alaska
2020-12-17,2,Alaska
2020-12-18,0,Alaska
2020-12-19,1,Alaska
2020-12-20,0,Alaska
2020-12-21,0,Alaska
2020-12-22,10,Alaska
2020-12-23,3,Alaska
2020-12-24,2,Alaska
2020-12-25,0,Alaska
2020-12-26,1,Alaska
2020-12-27,0,Alaska
2020-12-28,0,Alaska
2020-12-29,1,Alaska
2020-12-30,2,Alaska
2020-12-31,3,Alaska
2021-01-01,0,Alaska
2021-01-02,9,Alaska
2021-01-03,0,Alaska
2021-01-04,3,Alaska
2021-01-05,0,Alaska
2021-01-06,2,Alaska
2021-01-07,3,Alaska
2021-01-08,0,Alaska
2021-01-09,1,Alaska
2020-10-19,3,Arizona
2020-10-20,7,Arizona
2020-10-21,17,Arizona
2020-10-22,5,Arizona
2020-10-23,6,Arizona
2020-10-24,4,Arizona
2020-10-25,5,Arizona
2020-10-26,1,Arizona
2020-10-27,16,Arizona
2020-10-28,14,Arizona
2020-10-29,13,Arizona
2020-10-30,16,Arizona
2020-10-31,45,Arizona
2020-11-01,0,Arizona
2020-11-02,3,Arizona
2020-11-03,38,Arizona
2020-11-04,39,Arizona
2020-11-05,28,Arizona
2020-11-06,22,Arizona
2020-11-07,38,Arizona
2020-11-08,17,Arizona
2020-11-09,0,Arizona
2020-11-10,28,Arizona
2020-11-11,36,Arizona
2020-11-12,12,Arizona
2020-11-13,17,Arizona
2020-11-14,43,Arizona
2020-11-15,2,Arizona
2020-11-16,0,Arizona
2020-11-17,10,Arizona
2020-11-18,53,Arizona
2020-11-19,19,Arizona
2020-11-20,43,Arizona
2020-11-21,30,Arizona
2020-11-22,7,Arizona
2020-11-23,0,Arizona
2020-11-24,51,Arizona
2020-11-25,9,Arizona
2020-11-26,44,Arizona
2020-11-27,20,Arizona
2020-11-28,36,Arizona
2020-11-29,10,Arizona
2020-11-30,5,Arizona
2020-12-01,48,Arizona
2020-12-02,52,Arizona
2020-12-03,82,Arizona
2020-12-04,64,Arizona
2020-12-05,40,Arizona
2020-12-06,25,Arizona
2020-12-07,0,Arizona
2020-12-08,23,Arizona
2020-12-09,108,Arizona
2020-12-10,73,Arizona
2020-12-11,91,Arizona
2020-12-12,77,Arizona
2020-12-13,35,Arizona
2020-12-14,1,Arizona
2020-12-15,64,Arizona
2020-12-16,108,Arizona
2020-12-17,147,Arizona
2020-12-18,142,Arizona
2020-12-19,118,Arizona
2020-12-20,34,Arizona
2020-12-21,1,Arizona
2020-12-22,1,Arizona
2020-12-23,54,Arizona
2020-12-24,115,Arizona
2020-12-25,115,Arizona
2020-12-26,15,Arizona
2020-12-27,3,Arizona
2020-12-28,42,Arizona
2020-12-29,171,Arizona
2020-12-30,78,Arizona
2020-12-31,146,Arizona
2021-01-01,151,Arizona
2021-01-02,46,Arizona
2021-01-03,0,Arizona
2021-01-04,3,Arizona
2021-01-05,3,Arizona
2021-01-06,127,Arizona
2021-01-07,297,Arizona
2021-01-08,197,Arizona
2021-01-09,98,Arizona
2020-10-19,10,Arkansas
2020-10-20,14,Arkansas
2020-10-21,23,Arkansas
2020-10-22,21,Arkansas
2020-10-23,10,Arkansas
2020-10-24,15,Arkansas
2020-10-25,15,Arkansas
2020-10-26,21,Arkansas
2020-10-27,24,Arkansas
2020-10-28,18,Arkansas
2020-10-29,19,Arkansas
2020-10-30,6,Arkansas
2020-10-31,25,Arkansas
2020-11-01,33,Arkansas
2020-11-02,27,Arkansas
2020-11-03,18,Arkansas
2020-11-04,23,Arkansas
2020-11-05,11,Arkansas
2020-11-06,19,Arkansas
2020-11-07,12,Arkansas
