date,confirm,region
2020-11-16,1,Alabama
2020-11-17,52,Alabama
2020-11-18,46,Alabama
2020-11-19,72,Alabama
2020-11-20,32,Alabama
2020-11-21,6,Alabama
2020-11-22,0,Alabama
2020-11-23,2,Alabama
2020-11-24,13,Alabama
2020-11-25,60,Alabama
2020-11-26,40,Alabama
2020-11-27,0,Alabama
2020-11-28,0,Alabama
2020-11-29,5,Alabama
2020-11-30,1,Alabama
2020-12-01,60,Alabama
2020-12-02,73,Alabama
2020-12-03,65,Alabama
2020-12-04,55,Alabama
2020-12-05,46,Alabama
2020-12-06,12,Alabama
2020-12-07,3,Alabama
2020-12-08,50,Alabama
2020-12-09,43,Alabama
2020-12-10,49,Alabama
2020-12-11,52,Alabama
2020-12-12,16,Alabama
2020-12-13,0,Alabama
2020-12-14,0,Alabama
2020-12-15,22,Alabama
2020-12-16,74,Alabama
2020-12-17,56,Alabama
2020-12-18,42,Alabama
2020-12-19,93,Alabama
2020-12-20,0,Alabama
2020-12-21,0,Alabama
2020-12-22,63,Alabama
2020-12-23,135,Alabama
2020-12-24,89,Alabama
2020-12-25,4,Alabama
2020-12-26,5,Alabama
2020-12-27,6,Alabama
2020-12-28,21,Alabama
2020-12-29,25,Alabama
2020-12-30,37,Alabama
2020-12-31,53,Alabama
2021-01-01,45,Alabama
2021-01-02,0,Alabama
2021-01-03,1,Alabama
2021-01-04,5,Alabama
2021-01-05,8,Alabama
2021-01-06,108,Alabama
2021-01-07,86,Alabama
2021-01-08,111,Alabama
2021-01-09,108,Alabama
2021-01-10,35,Alabama
2021-01-11,13,Alabama
2021-01-12,226,Alabama
2021-01-13,187,Alabama
2021-01-14,185,Alabama
2021-01-15,85,Alabama
2021-01-16,89,Alabama
2021-01-17,1,Alabama
2021-01-18,1,Alabama
2021-01-19,5,Alabama
2021-01-20,157,Alabama
2021-01-21,96,Alabama
2021-01-22,107,Alabama
2021-01-23,171,Alabama
2021-01-24,3,Alabama
2021-01-25,2,Alabama
2021-01-26,234,Alabama
2021-01-27,276,Alabama
2021-01-28,168,Alabama
2021-01-29,226,Alabama
2021-01-30,0,Alabama
2021-01-31,122,Alabama
2021-02-01,0,Alabama
2021-02-02,206,Alabama
2021-02-03,309,Alabama
2021-02-04,162,Alabama
2021-02-05,84,Alabama
2021-02-06,64,Alabama
2020-11-16,0,Alaska
2020-11-17,2,Alaska
2020-11-18,0,Alaska
2020-11-19,1,Alaska
2020-11-20,0,Alaska
2020-11-21,1,Alaska
2020-11-22,1,Alaska
2020-11-23,0,Alaska
2020-11-24,13,Alaska
2020-11-25,0,Alaska
2020-11-26,3,Alaska
2020-11-27,0,Alaska
2020-11-28,2,Alaska
2020-11-29,0,Alaska
2020-11-30,0,Alaska
2020-12-01,1,Alaska
2020-12-02,0,Alaska
2020-12-03,8,Alaska
2020-12-04,12,Alaska
2020-12-05,1,Alaska
2020-12-06,0,Alaska
2020-12-07,3,Alaska
2020-12-08,0,Alaska
2020-12-09,4,Alaska
2020-12-10,5,Alaska
2020-12-11,3,Alaska
2020-12-12,18,Alaska
