region,estimate,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,metric,Expected change in daily cases,prob_control
Ohio,2171210 (78526 -- 19937200),2171210,5257290,8166810,78526,607099,1402300,3339370,6436680,19937200,New confirmed cases by infection date,Increasing,0.032
US,54110 (33227 -- 90071),54110,57134,19748,33227,45247,50607,57558,64941,90071,New confirmed cases by infection date,Likely decreasing,0.82
Virginia,8872 (215 -- 1160340),8872,203462,793795,215,2156,5146,16771,49005,1160340,New confirmed cases by infection date,Likely increasing,0.31
Texas,5327 (2097 -- 12710),5327,6240,4294,2097,3836,4711,6037,7403,12710,New confirmed cases by infection date,Likely decreasing,0.61
Florida,5120 (1400 -- 12037),5120,5793,3694,1400,3484,4484,5832,7230,12037,New confirmed cases by infection date,Likely decreasing,0.7
Michigan,4940 (1219 -- 22187),4940,7696,12541,1219,2949,4019,6071,8411,22187,New confirmed cases by infection date,Likely decreasing,0.75
Pennsylvania,4756 (984 -- 17454),4756,6981,16773,984,2816,3992,5613,7684,17454,New confirmed cases by infection date,Stable,0.57
Illinois,4713 (1723 -- 11686),4713,5543,4134,1723,3280,4108,5351,6542,11686,New confirmed cases by infection date,Likely increasing,0.39
California,4623 (1797 -- 12830),4623,5689,5230,1797,3262,4035,5244,6509,12830,New confirmed cases by infection date,Likely decreasing,0.78
New York,2984 (848 -- 7129),2984,3398,2291,848,1962,2570,3447,4292,7129,New confirmed cases by infection date,Likely decreasing,0.91
Oregon,2663 (454 -- 23326),2663,7286,23105,454,1311,1990,3390,5906,23326,New confirmed cases by infection date,Likely increasing,0.21
New Jersey,2407 (800 -- 5059),2407,2646,1959,800,1623,2108,2741,3289,5059,New confirmed cases by infection date,Likely decreasing,0.84
Colorado,2382 (612 -- 12228),2382,4320,9688,612,1444,1991,2887,4220,12228,New confirmed cases by infection date,Likely increasing,0.28
Minnesota,1964 (150 -- 19775),1964,8076,62516,150,876,1479,2723,4512,19775,New confirmed cases by infection date,Likely decreasing,0.66
Arkansas,1824 (220 -- 27836),1824,9838,62304,220,776,1330,2611,4940,27836,New confirmed cases by infection date,Likely increasing,0.3
Georgia,1639 (498 -- 3740),1639,1896,1511,498,1130,1442,1865,2265,3740,New confirmed cases by infection date,Likely decreasing,0.86
Missouri,1327 (105 -- 10513),1327,4661,32374,105,571,1003,1817,2801,10513,New confirmed cases by infection date,Stable,0.53
Massachusetts,1311 (310 -- 6921),1311,3135,28935,310,780,1075,1584,2293,6921,New confirmed cases by infection date,Likely decreasing,0.6
