Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Alabama,3187 (375 -- 19583),Unsure,1 (0.6 -- 1.5),0.0087 (-0.12 -- 0.13),80 (5.5 -- -5.8)
Alaska,283 (17 -- 1960),Unsure,1 (0.56 -- 1.4),0.012 (-0.13 -- 0.11),60 (6.4 -- -5.2)
Arizona,1597 (36 -- 15305),Unsure,0.81 (0.2 -- 1.4),-0.053 (-0.26 -- 0.11),-13 (6.5 -- -2.6)
Arkansas,2946 (1031 -- 15865),Unsure,1 (0.8 -- 1.7),0.0059 (-0.055 -- 0.18),120 (3.9 -- -13)
California,5026 (2376 -- 13710),Likely decreasing,0.96 (0.82 -- 1.2),-0.01 (-0.05 -- 0.061),-69 (11 -- -14)
Colorado,19144 (5130 -- 146357),Likely increasing,1.3 (1 -- 2.1),0.09 (0.0045 -- 0.28),7.7 (2.5 -- 150)
Connecticut,3328 (861 -- 13372),Likely increasing,1.1 (0.81 -- 1.4),0.035 (-0.054 -- 0.1),20 (6.8 -- -13)
Delaware,452 (33 -- 2163),Unsure,1 (0.54 -- 1.3),0.0022 (-0.14 -- 0.07),310 (9.9 -- -5.1)
District of Columbia,191 (31 -- 2257),Unsure,1 (0.68 -- 1.6),0.0056 (-0.095 -- 0.15),120 (4.7 -- -7.3)
Florida,7856 (2532 -- 48266),Unsure,0.97 (0.76 -- 1.5),-0.0071 (-0.068 -- 0.14),-97 (4.9 -- -10)
Georgia,4785 (1915 -- 16746),Unsure,1 (0.81 -- 1.3),-0.00023 (-0.053 -- 0.073),-3000 (9.5 -- -13)
Guam,274 (65 -- 2250),Unsure,1 (0.73 -- 1.5),0.0059 (-0.077 -- 0.13),120 (5.2 -- -9)
Hawaii,0 (0 -- 65),Likely decreasing,0.39 (0.027 -- 1.3),-0.19 (-0.36 -- 0.075),-3.7 (9.2 -- -1.9)
Idaho,1066 (80 -- 4032),Unsure,0.95 (0.44 -- 1.3),-0.013 (-0.17 -- 0.075),-53 (9.3 -- -4.1)
Illinois,31164 (14350 -- 88275),Increasing,1.2 (1 -- 1.5),0.055 (0.01 -- 0.14),13 (5.1 -- 68)
Indiana,7279 (2185 -- 17637),Unsure,1 (0.72 -- 1.2),0.007 (-0.079 -- 0.058),99 (12 -- -8.8)
Iowa,4305 (1783 -- 12684),Likely increasing,1.1 (0.87 -- 1.4),0.021 (-0.035 -- 0.097),33 (7.1 -- -20)
Kansas,1938 (302 -- 10067),Unsure,0.99 (0.66 -- 1.3),-0.0037 (-0.1 -- 0.081),-190 (8.6 -- -6.9)
Kentucky,1804 (449 -- 5203),Unsure,1 (0.71 -- 1.3),0.0043 (-0.084 -- 0.083),160 (8.3 -- -8.2)
Louisiana,1684 (488 -- 4619),Unsure,0.99 (0.71 -- 1.2),-0.0035 (-0.084 -- 0.05),-200 (14 -- -8.2)
Maine,1394 (106 -- 21851),Unsure,1.4 (0.67 -- 2.5),0.099 (-0.095 -- 0.35),7 (2 -- -7.3)
Maryland,3265 (1269 -- 10212),Unsure,1.1 (0.9 -- 1.4),0.033 (-0.027 -- 0.11),21 (6.2 -- -26)
Massachusetts,3654 (1829 -- 7709),Likely increasing,1 (0.91 -- 1.2),0.012 (-0.025 -- 0.054),58 (13 -- -28)
Michigan,54436 (10750 -- 626042),Likely increasing,1.3 (0.93 -- 2.3),0.089 (-0.02 -- 0.31),7.8 (2.2 -- -35)
Minnesota,9620 (4227 -- 22370),Likely increasing,1.1 (0.92 -- 1.4),0.038 (-0.022 -- 0.093),18 (7.5 -- -31)
Mississippi,1850 (366 -- 8141),Unsure,1 (0.66 -- 1.3),9.6e-05 (-0.098 -- 0.081),7200 (8.6 -- -7)
Missouri,5563 (1010 -- 24071),Unsure,1 (0.71 -- 1.3),0.002 (-0.085 -- 0.085),350 (8.1 -- -8.2)
Montana,2230 (150 -- 9887),Unsure,1 (0.5 -- 1.4),0.0072 (-0.15 -- 0.1),97 (6.9 -- -4.6)
Nebraska,2868 (617 -- 11978),Likely increasing,1.1 (0.78 -- 1.4),0.022 (-0.063 -- 0.11),31 (6.4 -- -11)
Nevada,3137 (838 -- 14882),Unsure,1.2 (0.88 -- 1.6),0.042 (-0.033 -- 0.16),16 (4.3 -- -21)
New Hampshire,255 (14 -- 58191),Unsure,1 (0.51 -- 4.3),0.0044 (-0.15 -- 0.8),160 (0.87 -- -4.7)
New Jersey,14329 (4148 -- 142383),Unsure,1.3 (1 -- 2.4),0.087 (0.0071 -- 0.33),8 (2.1 -- 98)
New Mexico,4223 (703 -- 14197),Unsure,1.1 (0.65 -- 1.5),0.026 (-0.1 -- 0.12),27 (5.9 -- -6.7)
New York,5827 (1416 -- 29962),Unsure,1.1 (0.76 -- 1.4),0.014 (-0.067 -- 0.11),50 (6.2 -- -10)
North Carolina,10193 (3950 -- 89779),Unsure,1.1 (0.91 -- 1.9),0.024 (-0.024 -- 0.23),28 (3 -- -29)
North Dakota,3843 (671 -- 15600),Likely increasing,1 (0.63 -- 1.3),0.0091 (-0.11 -- 0.08),76 (8.6 -- -6.4)
Ohio,12154 (1861 -- 61577),Unsure,1.1 (0.67 -- 1.6),0.032 (-0.098 -- 0.15),21 (4.5 -- -7.1)
Oklahoma,2905 (1331 -- 7849),Likely increasing,1.1 (0.9 -- 1.3),0.019 (-0.028 -- 0.091),37 (7.6 -- -25)
Oregon,927 (251 -- 3222),Unsure,1 (0.75 -- 1.3),0.0087 (-0.071 -- 0.075),80 (9.2 -- -9.7)
Pennsylvania,8165 (3673 -- 31065),Likely increasing,1.1 (0.95 -- 1.4),0.022 (-0.014 -- 0.12),32 (5.9 -- -49)
Puerto Rico,3239 (863 -- 17485),Unsure,1.2 (0.85 -- 1.7),0.043 (-0.041 -- 0.18),16 (3.9 -- -17)
Rhode Island,1176 (303 -- 4821),Likely increasing,1.1 (0.81 -- 1.4),0.017 (-0.054 -- 0.11),40 (6.5 -- -13)
South Carolina,2856 (893 -- 96448),Unsure,1 (0.77 -- 2.8),0.0016 (-0.067 -- 0.43),430 (1.6 -- -10)
South Dakota,6715 (1392 -- 33872),Likely increasing,1.1 (0.84 -- 1.5),0.037 (-0.044 -- 0.13),19 (5.3 -- -16)
Tennessee,7319 (3079 -- 20578),Likely increasing,1 (0.86 -- 1.3),0.012 (-0.04 -- 0.07),59 (9.9 -- -18)
Texas,23461 (7507 -- 91605),Unsure,1.1 (0.75 -- 1.5),0.021 (-0.071 -- 0.12),32 (5.7 -- -9.7)
US,214157 (136907 -- 379731),Likely increasing,1.1 (1 -- 1.2),0.026 (0.00095 -- 0.066),27 (11 -- 730)
Utah,1859 (489 -- 11027),Likely increasing,1.1 (0.77 -- 1.7),0.027 (-0.064 -- 0.17),26 (4.1 -- -11)
Virgin Islands,3 (0 -- 165),Unsure,0.88 (0.12 -- 1.8),-0.034 (-0.3 -- 0.2),-20 (3.5 -- -2.3)
Virginia,2026 (424 -- 14554),Unsure,0.97 (0.67 -- 1.6),-0.0071 (-0.097 -- 0.16),-97 (4.2 -- -7.1)
Washington,2965 (909 -- 16895),Unsure,1.1 (0.83 -- 1.4),0.015 (-0.049 -- 0.11),45 (6 -- -14)
West Virginia,4188 (551 -- 26190),Unsure,1.2 (0.64 -- 1.7),0.048 (-0.1 -- 0.18),14 (3.8 -- -6.6)
Wisconsin,1070 (151 -- 10590),Unsure,0.79 (0.41 -- 1.5),-0.059 (-0.18 -- 0.14),-12 (5 -- -3.9)
Wyoming,2024 (20 -- 35471),Unsure,1.2 (0.31 -- 2),0.043 (-0.22 -- 0.24),16 (2.9 -- -3.2)
