Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Alabama,3882 (2144 -- 7928),Unsure,1 (0.85 -- 1.3),0.0057 (-0.043 -- 0.088),120 (7.9 -- -16)
Alaska,398 (191 -- 849),Unsure,1.1 (0.81 -- 1.4),0.015 (-0.053 -- 0.1),47 (6.7 -- -13)
Arizona,4211 (2035 -- 10037),Unsure,1.2 (0.92 -- 1.5),0.044 (-0.024 -- 0.13),16 (5.2 -- -29)
Arkansas,3873 (2311 -- 6841),Unsure,1.1 (0.92 -- 1.3),0.021 (-0.022 -- 0.068),33 (10 -- -32)
California,12924 (7796 -- 26072),Unsure,0.97 (0.86 -- 1.2),-0.0083 (-0.039 -- 0.061),-83 (11 -- -18)
Colorado,4240 (2328 -- 8740),Unsure,1.3 (1.1 -- 1.7),0.082 (0.021 -- 0.17),8.5 (4.1 -- 34)
Connecticut,1031 (473 -- 2615),Unsure,1 (0.8 -- 1.3),0.013 (-0.056 -- 0.08),53 (8.7 -- -12)
Delaware,470 (214 -- 1021),Unsure,1 (0.77 -- 1.2),0.0035 (-0.066 -- 0.052),200 (13 -- -11)
District of Columbia,172 (97 -- 333),Unsure,0.98 (0.83 -- 1.2),-0.0044 (-0.047 -- 0.048),-160 (15 -- -15)
Florida,11643 (6723 -- 21413),Unsure,1 (0.84 -- 1.2),0.00051 (-0.045 -- 0.057),1400 (12 -- -15)
Georgia,6224 (4100 -- 9642),Unsure,0.99 (0.89 -- 1.1),-0.0015 (-0.03 -- 0.035),-470 (20 -- -23)
Guam,57 (7 -- 475),Unsure,0.74 (0.33 -- 1.6),-0.073 (-0.21 -- 0.15),-9.5 (4.5 -- -3.3)
Hawaii,276 (100 -- 846),Unsure,0.82 (0.53 -- 1.3),-0.05 (-0.14 -- 0.072),-14 (9.6 -- -5)
Idaho,2123 (1183 -- 4261),Unsure,1.2 (1 -- 1.6),0.062 (0.007 -- 0.15),11 (4.8 -- 100)
Illinois,6590 (4578 -- 10226),Unsure,0.98 (0.9 -- 1.1),-0.0062 (-0.027 -- 0.016),-110 (42 -- -26)
Indiana,2971 (1788 -- 5004),Unsure,0.96 (0.85 -- 1.1),-0.011 (-0.042 -- 0.017),-64 (41 -- -16)
Iowa,4348 (2139 -- 12787),Unsure,1.1 (0.88 -- 1.8),0.032 (-0.035 -- 0.19),22 (3.6 -- -20)
Kansas,7267 (2475 -- 52594),Likely increasing,1.3 (1 -- 2.8),0.09 (0.0036 -- 0.42),7.7 (1.6 -- 190)
Kentucky,2574 (1307 -- 5026),Unsure,0.99 (0.84 -- 1.2),-0.0026 (-0.044 -- 0.044),-270 (16 -- -16)
Louisiana,2137 (802 -- 4744),Unsure,0.93 (0.65 -- 1.2),-0.019 (-0.1 -- 0.055),-37 (13 -- -6.7)
Maine,130 (66 -- 279),Unsure,1 (0.87 -- 1.3),0.013 (-0.036 -- 0.073),55 (9.5 -- -19)
Maryland,1511 (750 -- 2715),Unsure,0.88 (0.65 -- 1.1),-0.033 (-0.1 -- 0.021),-21 (32 -- -6.8)
Massachusetts,1840 (1269 -- 3062),Increasing,1 (0.99 -- 1.2),0.011 (-0.0039 -- 0.043),61 (16 -- -180)
Michigan,4418 (2948 -- 7235),Likely increasing,1 (0.94 -- 1.1),0.007 (-0.015 -- 0.032),99 (22 -- -45)
Minnesota,3282 (2115 -- 6017),Unsure,1 (0.96 -- 1.2),0.0056 (-0.012 -- 0.054),120 (13 -- -55)
Mississippi,1515 (764 -- 3278),Unsure,0.98 (0.74 -- 1.3),-0.0058 (-0.076 -- 0.09),-120 (7.7 -- -9.1)
Missouri,6152 (3257 -- 12676),Unsure,1 (0.8 -- 1.3),0.0084 (-0.056 -- 0.077),82 (8.9 -- -12)
Montana,1105 (635 -- 2470),Likely increasing,1.2 (1 -- 1.7),0.057 (0.0073 -- 0.17),12 (4.2 -- 94)
Nebraska,1964 (1182 -- 3760),Likely increasing,1.1 (0.95 -- 1.3),0.023 (-0.014 -- 0.075),30 (9.2 -- -51)
Nevada,1224 (728 -- 2238),Unsure,1 (0.88 -- 1.3),0.011 (-0.032 -- 0.08),63 (8.7 -- -22)
New Hampshire,154 (74 -- 368),Unsure,1 (0.83 -- 1.3),0.011 (-0.05 -- 0.076),62 (9.2 -- -14)
