region,estimate,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,metric,Expected change in daily cases
US,90146 (43970 -- 214246),90146,106047,67750,43970,67801,81222,101624,124822,214246,New confirmed cases by infection date,Unsure
California,16913 (6170 -- 42654),16913,20305,14882,6170,11571,14934,19926,24729,42654,New confirmed cases by infection date,Unsure
Rhode Island,14863 (471 -- 981397),14863,297326,1897790,471,2905,7770,27271,76596,981397,New confirmed cases by infection date,Unsure
Texas,12125 (2037 -- 65046),12125,22025,49142,2037,6176,9450,15309,23312,65046,New confirmed cases by infection date,Unsure
Georgia,11699 (2239 -- 40860),11699,19606,87176,2239,6582,9578,13993,18225,40860,New confirmed cases by infection date,Unsure
Florida,6245 (1663 -- 23623),6245,8916,10921,1663,3790,5127,7452,10256,23623,New confirmed cases by infection date,Unsure
Tennessee,6028 (2065 -- 14256),6028,6911,4485,2065,4183,5207,6791,8458,14256,New confirmed cases by infection date,Likely increasing
Michigan,5398 (1318 -- 43811),5398,16727,98468,1318,2754,4125,7175,11642,43811,New confirmed cases by infection date,Unsure
New York,5080 (767 -- 117497),5080,48110,313628,767,2010,3415,7639,15391,117497,New confirmed cases by infection date,Unsure
Mississippi,4847 (1275 -- 17028),4847,7311,15738,1275,2970,4113,5679,7400,17028,New confirmed cases by infection date,Unsure
Alabama,4820 (1076 -- 95071),4820,56961,575023,1076,2605,3901,6568,11568,95071,New confirmed cases by infection date,Unsure
Arkansas,4606 (1612 -- 23553),4606,8113,16054,1612,2890,3780,5640,7982,23553,New confirmed cases by infection date,Likely increasing
Louisiana,3992 (527 -- 15208),3992,7689,74840,527,1947,3095,5091,7029,15208,New confirmed cases by infection date,Unsure
Virginia,3693 (1232 -- 21317),3693,8502,40039,1232,2286,2977,4652,6860,21317,New confirmed cases by infection date,Unsure
North Carolina,3056 (545 -- 13320),3056,4930,8409,545,1739,2588,3760,4996,13320,New confirmed cases by infection date,Unsure
South Carolina,2829 (675 -- 14826),2829,5910,45085,675,1600,2338,3531,5091,14826,New confirmed cases by infection date,Unsure
Missouri,2771 (810 -- 22947),2771,21002,270256,810,1683,2280,3418,5221,22947,New confirmed cases by infection date,Unsure
Arizona,2703 (277 -- 22589),2703,7268,25139,277,1215,2095,3723,5898,22589,New confirmed cases by infection date,Unsure
Ohio,2493 (464 -- 9704),2493,4150,18106,464,1471,2024,2918,3779,9704,New confirmed cases by infection date,Unsure
Massachusetts,2425 (898 -- 7862),2425,3258,4492,898,1615,2078,2828,3699,7862,New confirmed cases by infection date,Unsure
Hawaii,2107 (301 -- 34336),2107,18293,200154,301,924,1530,2949,5492,34336,New confirmed cases by infection date,Likely increasing
Illinois,2053 (484 -- 6895),2053,2701,2931,484,1249,1682,2427,3260,6895,New confirmed cases by infection date,Unsure
Iowa,1935 (781 -- 6110),1935,2706,3692,781,1420,1732,2198,2780,6110,New confirmed cases by infection date,Likely increasing
Oklahoma,1876 (442 -- 6140),1876,2494,2585,442,1136,1548,2235,2977,6140,New confirmed cases by infection date,Unsure
Kentucky,1682 (613 -- 5261),1682,2153,1939,613,1153,1444,1920,2509,5261,New confirmed cases by infection date,Likely increasing
West Virginia,1491 (119 -- 10670),1491,4657,53520,119,632,1130,1920,2855,10670,New confirmed cases by infection date,Likely increasing
Pennsylvania,1371 (327 -- 3431),1371,1598,1285,327,933,1210,1574,1921,3431,New confirmed cases by infection date,Unsure
Oregon,1126 (282 -- 5591),1126,4139,43256,282,726,955,1360,1905,5591,New confirmed cases by infection date,Unsure
Indiana,1117 (304 -- 2857),1117,1308,1026,304,741,975,1278,1597,2857,New confirmed cases by infection date,Unsure
Idaho,1031 (82 -- 10233),1031,3086,9424,82,428,737,1452,2569,10233,New confirmed cases by infection date,Unsure
Washington,902 (62 -- 4111),902,1490,3958,62,361,644,1203,1798,4111,New confirmed cases by infection date,Unsure
Nevada,811 (9 -- 4017),811,1880,24410,9,265,598,1121,1738,4017,New confirmed cases by infection date,Unsure
Maryland,746 (354 -- 2300),746,1070,3357,354,575,677,825,1005,2300,New confirmed cases by infection date,Unsure
New Mexico,628 (176 -- 3042),628,1219,5228,176,423,542,734,985,3042,New confirmed cases by infection date,Unsure
