region,estimate,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,metric,Expected change in daily cases
US,168723 (120715 -- 242996),168723,173383,40142,120715,144787,160065,177521,193943,242996,New confirmed cases by infection date,Unsure
California,35580 (20344 -- 76970),35580,40589,20522,20344,28103,32648,39478,46727,76970,New confirmed cases by infection date,Unsure
Texas,26161 (14609 -- 50509),26161,28810,12413,14609,20763,23940,28928,33977,50509,New confirmed cases by infection date,Unsure
Florida,13840 (7620 -- 26197),13840,14878,5783,7620,10827,12617,15138,17640,26197,New confirmed cases by infection date,Unsure
Georgia,11885 (6921 -- 20977),11885,12681,4693,6921,9593,10978,12860,14789,20977,New confirmed cases by infection date,Unsure
Illinois,6899 (3969 -- 11964),6899,7309,2556,3969,5583,6326,7524,8684,11964,New confirmed cases by infection date,Unsure
Tennessee,6514 (2831 -- 14324),6514,7412,3978,2831,4896,5836,7327,9043,14324,New confirmed cases by infection date,Unsure
Louisiana,5280 (2161 -- 12511),5280,6040,3619,2161,3666,4636,5967,7386,12511,New confirmed cases by infection date,Unsure
Alabama,4407 (2241 -- 8360),4407,4722,1922,2241,3400,4020,4806,5582,8360,New confirmed cases by infection date,Unsure
North Carolina,4151 (2689 -- 6331),4151,4290,1167,2689,3516,3894,4408,4928,6331,New confirmed cases by infection date,Unsure
Missouri,4051 (1528 -- 9292),4051,4530,2473,1528,2783,3502,4663,5713,9292,New confirmed cases by infection date,Unsure
Virginia,3714 (2024 -- 7397),3714,4075,1755,2024,2880,3385,4083,4873,7397,New confirmed cases by infection date,Unsure
Wisconsin,3713 (1912 -- 8415),3713,4273,2321,1912,2855,3331,4125,5002,8415,New confirmed cases by infection date,Unsure
Arkansas,3579 (2044 -- 6467),3579,3860,1577,2044,2863,3273,3880,4507,6467,New confirmed cases by infection date,Unsure
Indiana,3524 (2174 -- 6315),3524,3805,1318,2174,2919,3277,3822,4429,6315,New confirmed cases by infection date,Unsure
Ohio,3416 (2066 -- 5715),3416,3571,1157,2066,2754,3128,3656,4152,5715,New confirmed cases by infection date,Unsure
South Carolina,3222 (1609 -- 6822),3222,3576,1677,1609,2449,2884,3628,4275,6822,New confirmed cases by infection date,Unsure
Nevada,2679 (1218 -- 5725),2679,2969,1475,1218,1968,2403,2991,3586,5725,New confirmed cases by infection date,Unsure
Mississippi,2658 (1011 -- 5892),2658,2960,1572,1011,1830,2297,3030,3816,5892,New confirmed cases by infection date,Unsure
Pennsylvania,2633 (1661 -- 4516),2633,2800,929,1661,2187,2474,2816,3203,4516,New confirmed cases by infection date,Unsure
Minnesota,2558 (1638 -- 4287),2558,2709,837,1638,2120,2384,2768,3146,4287,New confirmed cases by infection date,Unsure
Washington,2512 (1158 -- 5154),2512,2750,1296,1158,1844,2246,2831,3369,5154,New confirmed cases by infection date,Unsure
Michigan,2460 (947 -- 6793),2460,3016,2236,947,1744,2166,2865,3637,6793,New confirmed cases by infection date,Unsure
Maryland,2410 (1267 -- 4510),2410,2623,1150,1267,1866,2203,2665,3183,4510,New confirmed cases by infection date,Unsure
New York,2248 (1503 -- 3453),2248,2323,611,1503,1887,2103,2393,2656,3453,New confirmed cases by infection date,Unsure
Idaho,2088 (455 -- 8850),2088,3044,3584,455,1123,1662,2565,3487,8850,New confirmed cases by infection date,Unsure
Arizona,2047 (840 -- 3985),2047,2164,991,840,1460,1819,2267,2692,3985,New confirmed cases by infection date,Unsure
