Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Alabama,14839 (9410 -- 26686),Likely increasing,1.1 (1 -- 1.2),0.02 (0 -- 0.06),29.3 (10.8 -- 530.4)
Alaska,3529 (2336 -- 5906),Increasing,1.1 (1 -- 1.2),0.02 (-0.01 -- 0.06),44.2 (11.1 -- -72.5)
Arizona,28958 (14717 -- 72629),Likely increasing,1.1 (0.9 -- 2.4),0.03 (-0.03 -- 0.34),21.2 (2 -- -22.3)
Arkansas,9529 (6432 -- 16719),Likely increasing,1.1 (1 -- 1.3),0.02 (-0.01 -- 0.08),41.3 (9.1 -- -90.4)
California,159584 (100536 -- 366430),Likely increasing,1.2 (1.1 -- 1.8),0.07 (0.03 -- 0.2),10.5 (3.4 -- 22.2)
Colorado,16250 (9580 -- 28417),Unsure,1 (0.8 -- 1.2),-0.01 (-0.05 -- 0.04),-56.3 (15.8 -- -12.6)
Connecticut,16748 (7661 -- 30573),Likely increasing,1.1 (0.9 -- 1.2),0.03 (-0.03 -- 0.06),24.5 (11.5 -- -24.6)
Delaware,3461 (2044 -- 5854),Likely increasing,1.1 (1 -- 1.3),0.04 (-0.01 -- 0.08),19.1 (8.6 -- -101.6)
District of Columbia,1242 (761 -- 2257),Likely increasing,1.1 (1 -- 1.4),0.03 (0 -- 0.09),20.5 (7.3 -- 257.8)
Florida,40530 (23550 -- 63512),Likely increasing,1 (0.9 -- 1.2),0.01 (-0.04 -- 0.04),60.2 (16 -- -18.9)
Georgia,22323 (10482 -- 61866),Unsure,1.1 (0.9 -- 1.5),0.03 (-0.03 -- 0.14),26.2 (5 -- -21.3)
Guam,14 (1 -- 70),Unsure,0.5 (0.2 -- 0.9),-0.14 (-0.26 -- -0.04),-5 (-16.9 -- -2.7)
Hawaii,378 (250 -- 633),Unsure,1 (0.9 -- 1.1),0 (-0.03 -- 0.03),-673.6 (21.1 -- -22.1)
Idaho,6268 (4193 -- 9769),Unsure,1 (0.9 -- 1.1),0 (-0.03 -- 0.02),-1040.3 (37.2 -- -27.1)
Illinois,38439 (20832 -- 78205),Unsure,1 (0.8 -- 1.4),0.01 (-0.05 -- 0.09),73.6 (7.4 -- -12.8)
Indiana,35739 (20661 -- 69669),Likely increasing,1.2 (1 -- 1.6),0.05 (-0.01 -- 0.16),13.3 (4.5 -- -67.9)
Iowa,6704 (2907 -- 17450),Unsure,0.9 (0.6 -- 1.4),-0.02 (-0.11 -- 0.1),-29.8 (7 -- -6.4)
Kansas,12040 (2441 -- 40971),Unsure,1 (0.6 -- 1.3),0 (-0.12 -- 0.08),457.2 (8.2 -- -5.9)
Kentucky,16827 (11202 -- 24332),Increasing,1.1 (1 -- 1.1),0.02 (-0.01 -- 0.03),34.5 (23.4 -- -53.5)
Louisiana,14111 (5361 -- 30933),Unsure,1.1 (0.8 -- 1.3),0.02 (-0.07 -- 0.08),35.2 (8.6 -- -10.5)
Maine,1415 (669 -- 3317),Unsure,1.1 (0.9 -- 1.6),0.04 (-0.04 -- 0.16),17.6 (4.4 -- -17.2)
Maryland,12096 (7085 -- 25993),Likely increasing,1.1 (0.9 -- 1.6),0.04 (-0.02 -- 0.16),19.7 (4.4 -- -39.4)
Massachusetts,25926 (17029 -- 47806),Increasing,1.1 (1.1 -- 1.4),0.04 (0.02 -- 0.1),18.3 (7.2 -- 37.3)
Michigan,31605 (14822 -- 60433),Unsure,1 (0.8 -- 1.2),-0.01 (-0.07 -- 0.04),-66.7 (16.7 -- -9.9)
Minnesota,16481 (8828 -- 31969),Unsure,0.8 (0.7 -- 1.1),-0.04 (-0.1 -- 0.02),-15.5 (45.7 -- -7)
Mississippi,9933 (6249 -- 18494),Increasing,1.1 (1 -- 1.3),0.03 (0 -- 0.09),23.2 (8.1 -- 375.6)
Missouri,14829 (6056 -- 32914),Unsure,1 (0.7 -- 1.2),-0.01 (-0.08 -- 0.04),-91.8 (16.1 -- -8.7)
Montana,2979 (1655 -- 5398),Unsure,0.9 (0.8 -- 1.1),-0.02 (-0.07 -- 0.02),-31.7 (31.9 -- -10.2)
Nebraska,6307 (3199 -- 12958),Unsure,1 (0.7 -- 1.3),-0.01 (-0.07 -- 0.07),-55.2 (9.4 -- -9.6)
Nevada,12409 (7514 -- 20386),Likely increasing,1.1 (0.9 -- 1.2),0.01 (-0.03 -- 0.04),49.2 (17 -- -25.4)
New Hampshire,3302 (1557 -- 6609),Likely increasing,1.1 (0.8 -- 1.3),0.03 (-0.05 -- 0.08),24.5 (8.5 -- -14.6)
New Jersey,23177 (14317 -- 38202),Likely increasing,1.1 (0.9 -- 1.2),0.02 (-0.02 -- 0.07),37.6 (10.6 -- -36.4)
New Mexico,4558 (2280 -- 9253),Unsure,0.8 (0.6 -- 1.1),-0.05 (-0.12 -- 0.02),-13.4 (36.8 -- -5.9)
New York,58334 (36002 -- 102420),Increasing,1.2 (1 -- 1.5),0.06 (0.01 -- 0.14),11.1 (4.9 -- 133.4)
North Carolina,22302 (14907 -- 37931),Increasing,1.1 (1 -- 1.2),0.02 (0.01 -- 0.06),29.3 (11 -- 104.1)
North Dakota,1247 (715 -- 2362),Unsure,0.8 (0.6 -- 1),-0.07 (-0.11 -- -0.01),-10.4 (-90.9 -- -6.3)
Northern Mariana Islands,1 (0 -- 9),Unsure,1 (0.7 -- 1.7),-0.01 (-0.08 -- 0.18),-84.6 (3.9 -- -9.1)
Ohio,25142 (16368 -- 39754),Unsure,0.9 (0.8 -- 1.1),-0.02 (-0.06 -- 0.02),-31.9 (31.7 -- -10.9)
Oklahoma,11677 (5534 -- 23895),Unsure,1 (0.7 -- 1.3),-0.01 (-0.07 -- 0.08),-109.7 (9 -- -9.4)
Oregon,5898 (3539 -- 9372),Likely increasing,1 (0.9 -- 1.1),0 (-0.04 -- 0.04),293.8 (18 -- -16.5)
Pennsylvania,46593 (29788 -- 88125),Increasing,1.1 (1 -- 1.5),0.04 (0 -- 0.12),18.8 (5.6 -- 1206.9)
Puerto Rico,3563 (1905 -- 7186),Likely increasing,1 (0.9 -- 1.2),0.01 (-0.03 -- 0.05),55.3 (13.5 -- -22.3)
Rhode Island,8513 (5083 -- 13918),Increasing,1.1 (1 -- 1.2),0.03 (0 -- 0.05),22.7 (13.2 -- -210.5)
South Carolina,11434 (7268 -- 20829),Likely increasing,1.1 (1 -- 1.3),0.03 (0 -- 0.08),22.3 (8.6 -- 201.9)
South Dakota,2476 (1478 -- 4391),Unsure,0.9 (0.7 -- 1),-0.04 (-0.08 -- 0),-18.9 (181 -- -9.2)
Tennessee,21424 (13091 -- 33283),Likely increasing,1.1 (0.9 -- 1.1),0.02 (-0.02 -- 0.04),41.6 (18.6 -- -45.6)
Texas,62918 (34838 -- 121174),Unsure,1.1 (0.9 -- 1.3),0.02 (-0.03 -- 0.07),45 (9.3 -- -22.3)
US,1141762 (715132 -- 2043340),Likely increasing,1.2 (1 -- 1.5),0.05 (0 -- 0.12),14.3 (5.6 -- 410.1)
Utah,11077 (6676 -- 19349),Unsure,1 (0.8 -- 1.2),-0.01 (-0.05 -- 0.04),-70.6 (16.4 -- -13.1)
Vermont,801 (355 -- 1517),Likely increasing,1.2 (0.9 -- 1.3),0.04 (-0.03 -- 0.09),16.5 (8.1 -- -23.3)
Virgin Islands,62 (9 -- 382),Unsure,1.1 (0.6 -- 1.8),0.03 (-0.12 -- 0.21),25.8 (3.3 -- -5.6)
Virginia,13570 (8950 -- 22680),Likely increasing,1.1 (1 -- 1.2),0.02 (-0.01 -- 0.06),28 (12 -- -94.7)
Washington,4684 (1727 -- 11411),Unsure,0.7 (0.5 -- 1),-0.07 (-0.16 -- 0),-9.4 (199.8 -- -4.3)
West Virginia,5511 (3334 -- 10199),Likely increasing,1.1 (0.9 -- 1.4),0.02 (-0.02 -- 0.09),35.7 (7.3 -- -34.9)
Wisconsin,16432 (8498 -- 33999),Unsure,0.9 (0.8 -- 1.1),-0.02 (-0.07 -- 0.04),-31.4 (18 -- -10.3)
Wyoming,1062 (450 -- 2376),Unsure,0.8 (0.5 -- 1),-0.07 (-0.14 -- -0.01),-10.1 (-102.8 -- -5)
