region,estimate,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,metric,Expected change in daily cases,prob_control
US,225388 (150628 -- 361681),225388,236292,67874,150628,190886,210932,239817,267177,361681,New confirmed cases by infection date,Stable,0.48
New York,23897 (14841 -- 40638),23897,25381,8307,14841,19512,22153,25833,29605,40638,New confirmed cases by infection date,Likely decreasing,0.9
New Jersey,19131 (12569 -- 31063),19131,20179,6231,12569,15925,17916,20457,23200,31063,New confirmed cases by infection date,Likely increasing,0.17
Michigan,18809 (7741 -- 55243),18809,23289,18291,7741,13087,16302,21397,27480,55243,New confirmed cases by infection date,Likely increasing,0.11
Florida,14984 (9288 -- 28158),14984,16388,6523,9288,12306,13859,16252,18762,28158,New confirmed cases by infection date,Likely decreasing,0.83
Pennsylvania,14107 (9027 -- 23633),14107,14809,4575,9027,11725,13089,15044,16967,23633,New confirmed cases by infection date,Likely increasing,0.092
Texas,11448 (4818 -- 24653),11448,12845,8127,4818,8208,10231,12772,15364,24653,New confirmed cases by infection date,Likely decreasing,0.84
Georgia,9676 (4100 -- 24985),9676,11491,7108,4100,6745,8373,11091,14322,24985,New confirmed cases by infection date,Likely increasing,0.2
California,7728 (4621 -- 12772),7728,8091,2564,4621,6307,7146,8307,9472,12772,New confirmed cases by infection date,Likely decreasing,0.93
Virginia,7345 (4401 -- 13936),7345,8005,3020,4401,5980,6785,7989,9275,13936,New confirmed cases by infection date,Likely increasing,0.17
Massachusetts,7179 (3848 -- 16170),7179,8232,4359,3848,5467,6458,8113,9813,16170,New confirmed cases by infection date,Likely increasing,0.36
Illinois,7058 (3745 -- 13917),7058,7752,3490,3745,5389,6404,7744,9300,13917,New confirmed cases by infection date,Stable,0.45
Minnesota,5940 (3135 -- 12286),5940,6601,3052,3135,4546,5349,6679,7813,12286,New confirmed cases by infection date,Likely increasing,0.19
North Carolina,5408 (2397 -- 14888),5408,6906,7314,2397,3935,4753,6109,7720,14888,New confirmed cases by infection date,Likely decreasing,0.79
