Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Alabama,2850 (1567 -- 5303),Unsure,0.89 (0.73 -- 1.1),-0.032 (-0.079 -- 0.03),-22 (23 -- -8.8)
Alaska,278 (129 -- 676),Unsure,0.91 (0.71 -- 1.3),-0.025 (-0.084 -- 0.071),-28 (9.8 -- -8.3)
Arizona,2156 (1158 -- 4714),Unsure,0.8 (0.64 -- 1),-0.057 (-0.11 -- 0.0084),-12 (82 -- -6.5)
Arkansas,2217 (1188 -- 4116),Unsure,0.9 (0.75 -- 1),-0.027 (-0.071 -- 0.0099),-25 (70 -- -9.7)
California,31271 (18110 -- 61469),Unsure,0.99 (0.84 -- 1.2),-0.0018 (-0.046 -- 0.056),-380 (12 -- -15)
Colorado,1030 (537 -- 2149),Unsure,0.86 (0.67 -- 1.1),-0.041 (-0.097 -- 0.027),-17 (26 -- -7.2)
Connecticut,424 (149 -- 1412),Unsure,0.95 (0.67 -- 1.5),-0.013 (-0.095 -- 0.12),-53 (5.6 -- -7.3)
Delaware,394 (161 -- 908),Unsure,0.99 (0.74 -- 1.3),-0.0023 (-0.076 -- 0.08),-300 (8.6 -- -9.1)
District of Columbia,219 (108 -- 490),Unsure,0.94 (0.71 -- 1.2),-0.016 (-0.084 -- 0.064),-43 (11 -- -8.3)
Florida,11266 (6341 -- 19821),Unsure,0.82 (0.64 -- 0.99),-0.052 (-0.11 -- -0.0017),-13 (-410 -- -6.6)
Georgia,7296 (3736 -- 13012),Unsure,0.86 (0.64 -- 1),-0.04 (-0.11 -- 0.0058),-17 (120 -- -6.6)
Guam,142 (19 -- 1187),Unsure,1.2 (0.53 -- 2.5),0.066 (-0.14 -- 0.35),11 (2 -- -5)
Hawaii,1755 (570 -- 4211),Likely increasing,1.2 (0.81 -- 1.5),0.06 (-0.056 -- 0.13),12 (5.2 -- -12)
Idaho,1221 (264 -- 4777),Unsure,0.89 (0.49 -- 1.4),-0.03 (-0.15 -- 0.1),-23 (6.8 -- -4.6)
Illinois,7180 (4300 -- 12752),Unsure,1 (0.84 -- 1.3),0.009 (-0.044 -- 0.078),77 (8.9 -- -16)
Indiana,3123 (1880 -- 5479),Unsure,0.96 (0.81 -- 1.1),-0.01 (-0.053 -- 0.034),-68 (20 -- -13)
Iowa,2201 (1268 -- 4507),Unsure,1 (0.89 -- 1.3),0.011 (-0.03 -- 0.089),65 (7.8 -- -23)
Kansas,4589 (2187 -- 11086),Likely increasing,1.3 (1 -- 1.9),0.088 (0.01 -- 0.22),7.9 (3.2 -- 69)
Kentucky,3193 (1619 -- 7925),Unsure,1.1 (0.87 -- 1.4),0.016 (-0.036 -- 0.11),43 (6.1 -- -19)
Louisiana,2289 (918 -- 5161),Unsure,0.78 (0.55 -- 1),-0.063 (-0.13 -- 0.0035),-11 (200 -- -5.2)
