Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Alabama,1606 (1412 -- 1929),Unsure,0.8 (0.7 -- 0.8),-0.07 (-0.09 -- -0.05),-10.2 (-12.6 -- -7.9)
Alaska,200 (171 -- 239),Unsure,1 (0.9 -- 1),-0.01 (-0.02 -- 0.01),-120.4 (72.8 -- -31)
Arizona,1415 (1228 -- 1798),Unsure,0.7 (0.7 -- 0.8),-0.07 (-0.09 -- -0.06),-9.8 (-12.1 -- -7.3)
Arkansas,1218 (1064 -- 1573),Unsure,0.8 (0.7 -- 0.9),-0.06 (-0.08 -- -0.04),-12.4 (-16.1 -- -8.8)
California,15477 (13629 -- 18937),Unsure,1 (0.9 -- 1),-0.01 (-0.03 -- 0),-84.9 (181.9 -- -25.7)
Colorado,2424 (2085 -- 3137),Unsure,0.8 (0.7 -- 0.8),-0.06 (-0.09 -- -0.05),-10.8 (-14 -- -7.8)
Connecticut,809 (685 -- 1062),Unsure,0.7 (0.6 -- 0.8),-0.07 (-0.1 -- -0.06),-9.3 (-11.7 -- -6.8)
Delaware,200 (176 -- 236),Unsure,0.9 (0.9 -- 1),-0.02 (-0.03 -- 0),-38.8 (-428.4 -- -21.4)
District of Columbia,200 (173 -- 240),Unsure,1 (0.9 -- 1),0 (-0.02 -- 0.01),-194.7 (66.6 -- -32.5)
Florida,7192 (5360 -- 10528),Unsure,0.8 (0.7 -- 0.9),-0.06 (-0.09 -- -0.03),-12.6 (-24.8 -- -7.6)
Georgia,2410 (2068 -- 2921),Unsure,0.8 (0.7 -- 0.9),-0.06 (-0.08 -- -0.04),-12.2 (-16.1 -- -9)
Guam,199 (169 -- 231),Unsure,1 (1 -- 1.1),0 (-0.01 -- 0.02),4554 (39.4 -- -53.6)
Hawaii,200 (171 -- 237),Unsure,1 (0.9 -- 1),-0.01 (-0.02 -- 0.01),-116.4 (76.8 -- -29.2)
Idaho,602 (525 -- 732),Unsure,0.7 (0.7 -- 0.8),-0.07 (-0.1 -- -0.06),-9.4 (-11.7 -- -7.3)
Illinois,18317 (14930 -- 23727),Unsure,0.9 (0.8 -- 0.9),-0.03 (-0.06 -- -0.02),-21.8 (-44.4 -- -12.2)
Indiana,5324 (4554 -- 6885),Unsure,0.8 (0.7 -- 0.9),-0.05 (-0.07 -- -0.04),-14.6 (-19.5 -- -9.3)
Iowa,1477 (1213 -- 2215),Unsure,0.7 (0.6 -- 0.8),-0.08 (-0.12 -- -0.07),-8.3 (-10.6 -- -5.8)
Kansas,1601 (1377 -- 1892),Unsure,0.8 (0.7 -- 0.9),-0.06 (-0.07 -- -0.04),-12.5 (-16.9 -- -9.6)
Kentucky,806 (705 -- 1018),Unsure,0.8 (0.7 -- 0.9),-0.06 (-0.08 -- -0.05),-11.5 (-14.6 -- -8.4)
Louisiana,601 (524 -- 730),Unsure,0.6 (0.6 -- 0.7),-0.11 (-0.14 -- -0.09),-6.3 (-7.6 -- -5.1)
Maine,400 (342 -- 486),Unsure,1 (0.9 -- 1),0 (-0.02 -- 0.01),-140.9 (67.9 -- -29.5)
Maryland,1065 (678 -- 1758),Unsure,0.7 (0.5 -- 0.8),-0.1 (-0.15 -- -0.06),-7 (-11.4 -- -4.8)
Massachusetts,1258 (1030 -- 1810),Unsure,0.7 (0.6 -- 0.8),-0.08 (-0.11 -- -0.06),-8.6 (-11.2 -- -6.1)
Michigan,8940 (7652 -- 11843),Unsure,0.8 (0.7 -- 0.9),-0.05 (-0.08 -- -0.04),-12.8 (-17.7 -- -8.9)
Minnesota,3137 (2428 -- 4382),Unsure,0.8 (0.6 -- 0.8),-0.07 (-0.1 -- -0.05),-9.9 (-14.1 -- -6.7)
Mississippi,605 (524 -- 766),Unsure,0.7 (0.6 -- 0.8),-0.09 (-0.11 -- -0.07),-8.1 (-10 -- -6.3)
Missouri,1804 (1578 -- 2160),Likely decreasing,0.8 (0.8 -- 0.9),-0.05 (-0.06 -- -0.03),-15.1 (-20.8 -- -10.8)
Montana,200 (175 -- 237),Unsure,0.6 (0.5 -- 0.7),-0.11 (-0.14 -- -0.09),-6.1 (-7.4 -- -5.1)
