region,estimate,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,metric,Expected change in daily cases
US,510884 (336064 -- 839241),510884,539623,164905,336064,434295,478859,550724,614474,839241,New confirmed cases by infection date,Increasing
Pennsylvania,79553 (24539 -- NA),79553,,,24539,48690,64624,100747,,,New confirmed cases by infection date,Increasing
California,69739 (27617 -- 207655),69739,87625,68537,27617,47538,60453,80342,104581,207655,New confirmed cases by infection date,Unsure
Michigan,53238 (14176 -- 150500),53238,69785,119700,14176,33321,44844,61065,75617,150500,New confirmed cases by infection date,Likely increasing
Illinois,37944 (14469 -- 90535),37944,44179,34125,14469,26191,33667,43615,53869,90535,New confirmed cases by infection date,Likely increasing
Texas,34073 (12214 -- 131890),34073,59094,328931,12214,22511,29511,39036,52066,131890,New confirmed cases by infection date,Unsure
Florida,24163 (3660 -- 94378),24163,34521,51904,3660,12914,19176,29170,40473,94378,New confirmed cases by infection date,Unsure
New York,23693 (9777 -- 84817),23693,33570,40127,9777,15913,20551,27468,36084,84817,New confirmed cases by infection date,Increasing
Indiana,21607 (10283 -- 44967),21607,23889,11465,10283,16322,19453,24155,28893,44967,New confirmed cases by infection date,Increasing
Colorado,19827 (5903 -- 70974),19827,30051,59337,5903,12915,16897,23611,31082,70974,New confirmed cases by infection date,Likely increasing
Arkansas,18510 (6052 -- 73474),18510,26728,29444,6052,11320,15471,22083,29862,73474,New confirmed cases by infection date,Unsure
Wisconsin,18429 (3274 -- 113125),18429,37263,94275,3274,9883,14885,23140,35253,113125,New confirmed cases by infection date,Unsure
Tennessee,17862 (7705 -- 75449),17862,31791,146167,7705,12283,15636,20843,27745,75449,New confirmed cases by infection date,Likely increasing
Arizona,17558 (5986 -- 119856),17558,45592,241029,5986,10813,14280,21594,33623,119856,New confirmed cases by infection date,Likely increasing
New Jersey,17017 (7761 -- 38894),17017,19327,10967,7761,12909,15220,18779,22718,38894,New confirmed cases by infection date,Increasing
Ohio,16957 (2951 -- 54837),16957,22687,35919,2951,9557,13783,19789,26021,54837,New confirmed cases by infection date,Unsure
Minnesota,15506 (6979 -- 42385),15506,19717,20638,6979,11353,13830,17479,21467,42385,New confirmed cases by infection date,Likely increasing
Iowa,14595 (4807 -- 56561),14595,23003,63292,4807,9873,12640,17413,24251,56561,New confirmed cases by infection date,Likely increasing
Massachusetts,12500 (5749 -- 31671),12500,14892,10570,5749,9103,11070,14020,17262,31671,New confirmed cases by infection date,Likely increasing
Connecticut,12158 (4742 -- 34805),12158,14979,11400,4742,8527,10721,14214,17648,34805,New confirmed cases by infection date,Increasing
Nevada,10693 (2863 -- 38143),10693,16371,50897,2863,6688,8905,12693,17350,38143,New confirmed cases by infection date,Likely increasing
Alabama,9538 (2601 -- 34045),9538,14218,23957,2601,6265,8095,11044,15035,34045,New confirmed cases by infection date,Likely increasing
Nebraska,8788 (2517 -- 33889),8788,13327,25134,2517,5803,7572,10377,13665,33889,New confirmed cases by infection date,Likely increasing
North Carolina,8673 (3594 -- 23948),8673,12400,51813,3594,6249,7640,9955,12242,23948,New confirmed cases by infection date,Likely increasing
Louisiana,8263 (3179 -- 33092),8263,15082,55929,3179,5575,7064,9906,13322,33092,New confirmed cases by infection date,Likely increasing
Mississippi,8227 (3284 -- 32979),8227,12096,14684,3284,5541,6965,9824,13304,32979,New confirmed cases by infection date,Likely increasing
South Carolina,7933 (2552 -- 47155),7933,15348,31909,2552,4679,6548,9712,14618,47155,New confirmed cases by infection date,Unsure
Maryland,7301 (2154 -- 15220),7301,7893,4888,2154,4954,6389,8195,9959,15220,New confirmed cases by infection date,Likely increasing
New Mexico,7223 (1757 -- 32877),7223,12621,39777,1757,4154,5811,8771,12199,32877,New confirmed cases by infection date,Likely increasing
Kansas,7077 (978 -- 82648),7077,47995,686412,978,3458,5418,9478,16851,82648,New confirmed cases by infection date,Unsure
Missouri,6710 (1480 -- 37943),6710,15381,146135,1480,4035,5431,8173,12088,37943,New confirmed cases by infection date,Unsure
Wyoming,6682 (356 -- 416830),6682,362411,4356920,356,2368,4362,9757,22500,416830,New confirmed cases by infection date,Likely increasing
Oklahoma,6415 (2989 -- 21936),6415,8623,10380,2989,4612,5656,7240,9346,21936,New confirmed cases by infection date,Likely increasing
Georgia,6299 (1309 -- 19196),6299,7892,7377,1309,3801,5311,7379,9858,19196,New confirmed cases by infection date,Unsure
Virginia,6149 (1752 -- 24897),6149,10187,45310,1752,3863,5178,7452,10252,24897,New confirmed cases by infection date,Unsure
Idaho,6054 (2241 -- 24984),6054,9351,14272,2241,4088,5190,7015,9790,24984,New confirmed cases by infection date,Likely increasing
Kentucky,5928 (2375 -- 16507),5928,7320,8951,2375,4096,5129,6705,8495,16507,New confirmed cases by infection date,Likely increasing
Oregon,5490 (977 -- 20511),5490,7959,18698,977,3194,4533,6537,8945,20511,New confirmed cases by infection date,Likely increasing
Washington,5301 (885 -- 24048),5301,9542,25565,885,3189,4375,6743,9781,24048,New confirmed cases by infection date,Likely increasing
Utah,5237 (1791 -- 24645),5237,8872,15097,1791,3377,4418,6387,8663,24645,New confirmed cases by infection date,Likely increasing
South Dakota,4875 (556 -- 21509),4875,8501,26017,556,2451,3864,6119,8756,21509,New confirmed cases by infection date,Unsure
North Dakota,4423 (1434 -- 18500),4423,6949,17749,1434,2839,3758,5270,7203,18500,New confirmed cases by infection date,Unsure
