date,confirm,region
2020-10-26,1215,Alabama
2020-10-27,1329,Alabama
2020-10-28,1508,Alabama
2020-10-29,1338,Alabama
2020-10-30,1819,Alabama
2020-10-31,1681,Alabama
2020-11-01,845,Alabama
2020-11-02,1234,Alabama
2020-11-03,1812,Alabama
2020-11-04,1423,Alabama
2020-11-05,1601,Alabama
2020-11-06,1603,Alabama
2020-11-07,1387,Alabama
2020-11-08,1147,Alabama
2020-11-09,1858,Alabama
2020-11-10,39,Alabama
2020-11-11,2075,Alabama
2020-11-12,2000,Alabama
2020-11-13,2980,Alabama
2020-11-14,2226,Alabama
2020-11-15,1979,Alabama
2020-11-16,1410,Alabama
2020-11-17,1616,Alabama
2020-11-18,2638,Alabama
2020-11-19,2424,Alabama
2020-11-20,2463,Alabama
2020-11-21,2335,Alabama
2020-11-22,1798,Alabama
2020-11-23,1574,Alabama
2020-11-24,2785,Alabama
2020-11-25,2453,Alabama
2020-11-26,2639,Alabama
2020-11-27,917,Alabama
2020-11-28,2119,Alabama
2020-11-29,2236,Alabama
2020-11-30,2295,Alabama
2020-12-01,3376,Alabama
2020-12-02,3928,Alabama
2020-12-03,3531,Alabama
2020-12-04,3840,Alabama
2020-12-05,3390,Alabama
2020-12-06,2288,Alabama
2020-12-07,2352,Alabama
2020-12-08,4436,Alabama
2020-12-09,3522,Alabama
2020-12-10,4735,Alabama
2020-12-11,3853,Alabama
2020-12-12,4066,Alabama
2020-12-13,2790,Alabama
2020-12-14,2264,Alabama
2020-12-15,3638,Alabama
2020-12-16,4107,Alabama
2020-12-17,4695,Alabama
2020-12-18,5348,Alabama
2020-12-19,4221,Alabama
2020-12-20,2548,Alabama
2020-12-21,2380,Alabama
2020-12-22,4979,Alabama
2020-12-23,4758,Alabama
2020-12-24,4232,Alabama
2020-12-25,3625,Alabama
2020-12-26,1032,Alabama
2020-12-27,2170,Alabama
2020-12-28,2269,Alabama
2020-12-29,3907,Alabama
2020-12-30,5016,Alabama
2020-12-31,4406,Alabama
2021-01-01,4521,Alabama
2021-01-02,3711,Alabama
2021-01-03,2476,Alabama
2021-01-04,2161,Alabama
2021-01-05,5498,Alabama
2021-01-06,4591,Alabama
2021-01-07,5046,Alabama
2021-01-08,5057,Alabama
2021-01-09,4863,Alabama
2021-01-10,2750,Alabama
2021-01-11,2100,Alabama
2021-01-12,3848,Alabama
2021-01-13,3147,Alabama
2021-01-14,3588,Alabama
2021-01-15,2945,Alabama
2021-01-16,3153,Alabama
2020-10-26,347,Alaska
2020-10-27,381,Alaska
2020-10-28,357,Alaska
2020-10-29,367,Alaska
2020-10-30,386,Alaska
2020-10-31,447,Alaska
2020-11-01,350,Alaska
2020-11-02,352,Alaska
2020-11-03,391,Alaska
2020-11-04,412,Alaska
2020-11-05,314,Alaska
2020-11-06,525,Alaska
2020-11-07,607,Alaska
2020-11-08,520,Alaska
2020-11-09,474,Alaska
