Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Alabama,7 (2 -- 13),Unsure,0.8 (0.5 -- 1.2),-0.05 (-0.15 -- 0.06),-14.1 (12.3 -- -4.7)
Alaska,1 (0 -- 2),Unsure,1.1 (0.6 -- 1.4),0.02 (-0.11 -- 0.11),34.5 (6.3 -- -6.2)
Arizona,9 (3 -- 16),Likely decreasing,0.6 (0.3 -- 1),-0.1 (-0.2 -- 0),-6.7 (-267.4 -- -3.4)
Arkansas,20 (12 -- 30),Unsure,1.1 (0.8 -- 1.4),0.02 (-0.05 -- 0.1),29.5 (6.9 -- -13.3)
California,87 (46 -- 133),Unsure,1 (0.7 -- 1.4),0.01 (-0.08 -- 0.1),69.1 (6.9 -- -9)
Colorado,8 (2 -- 19),Likely increasing,1.5 (0.8 -- 2.3),0.12 (-0.06 -- 0.31),5.7 (2.2 -- -11.9)
Connecticut,2 (1 -- 3),Unsure,1.1 (0.8 -- 1.3),0.01 (-0.05 -- 0.08),47.5 (8.9 -- -12.9)
Delaware,2 (1 -- 4),Likely increasing,1.1 (0.9 -- 1.4),0.03 (-0.04 -- 0.1),20.9 (7.3 -- -18.6)
District of Columbia,1 (0 -- 2),Unsure,1.1 (0.7 -- 1.5),0.03 (-0.07 -- 0.13),26.4 (5.3 -- -10.5)
Florida,108 (52 -- 184),Unsure,1.2 (0.8 -- 1.6),0.05 (-0.07 -- 0.16),15.1 (4.2 -- -10.6)
Georgia,33 (14 -- 55),Unsure,0.9 (0.5 -- 1.3),-0.04 (-0.13 -- 0.08),-19.1 (8.2 -- -5.3)
Guam,1 (0 -- 3),Unsure,1 (0.6 -- 1.3),0.01 (-0.12 -- 0.08),83.3 (8.4 -- -6)
Hawaii,4 (2 -- 7),Likely increasing,1.1 (0.9 -- 1.6),0.04 (-0.03 -- 0.15),17.8 (4.5 -- -27.1)
