region,estimate,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,metric,Expected change in daily cases
US,846 (721 -- 1028),846,857,94,721,791,825,869,910,1028,New confirmed cases by infection date,Unsure
Texas,76 (52 -- 133),76,82,26,52,66,72,81,92,133,New confirmed cases by infection date,Unsure
Illinois,51 (38 -- 71),51,52,10,38,46,49,53,58,71,New confirmed cases by infection date,Likely increasing
Florida,50 (31 -- 83),50,53,16,31,41,47,55,62,83,New confirmed cases by infection date,Likely decreasing
Wisconsin,43 (0 -- 69),43,36,23,0,15,39,46,52,69,New confirmed cases by infection date,Unsure
California,40 (29 -- 56),40,41,8,29,36,38,42,46,56,New confirmed cases by infection date,Likely decreasing
Indiana,39 (30 -- 55),39,40,7,30,35,38,41,44,55,New confirmed cases by infection date,Increasing
North Carolina,36 (27 -- 52),36,37,7,27,32,35,38,42,52,New confirmed cases by infection date,Likely increasing
Tennessee,31 (22 -- 47),31,33,8,22,27,30,33,36,47,New confirmed cases by infection date,Unsure
Michigan,30 (19 -- 50),30,32,10,19,25,28,32,37,50,New confirmed cases by infection date,Likely increasing
Missouri,30 (14 -- 72),30,35,21,14,22,27,34,42,72,New confirmed cases by infection date,Unsure
Alabama,25 (12 -- 75),25,33,26,12,18,22,30,38,75,New confirmed cases by infection date,Likely increasing
Pennsylvania,23 (14 -- 37),23,24,7,14,19,22,25,28,37,New confirmed cases by infection date,Unsure
Georgia,22 (14 -- 31),22,22,5,14,18,20,23,25,31,New confirmed cases by infection date,Likely decreasing
Arkansas,21 (15 -- 29),21,21,4,15,18,20,22,24,29,New confirmed cases by infection date,Unsure
Massachusetts,21 (16 -- 30),21,22,4,16,19,20,22,24,30,New confirmed cases by infection date,Likely increasing
Minnesota,19 (14 -- 27),19,20,4,14,17,18,20,22,27,New confirmed cases by infection date,Likely increasing
South Carolina,18 (11 -- 29),18,19,5,11,15,17,19,21,29,New confirmed cases by infection date,Unsure
Iowa,17 (12 -- 27),17,18,4,12,15,16,18,20,27,New confirmed cases by infection date,Likely increasing
New York,17 (8 -- 42),17,20,13,8,12,15,19,24,42,New confirmed cases by infection date,Unsure
Mississippi,16 (9 -- 33),16,18,8,9,12,14,17,20,33,New confirmed cases by infection date,Unsure
Ohio,16 (10 -- 28),16,17,6,10,13,14,17,20,28,New confirmed cases by infection date,Unsure
Arizona,15 (9 -- 26),15,16,5,9,12,13,16,18,26,New confirmed cases by infection date,Likely increasing
Oklahoma,14 (10 -- 21),14,14,3,10,12,13,15,16,21,New confirmed cases by infection date,Likely increasing
Kentucky,12 (7 -- 18),12,12,3,7,10,11,12,14,18,New confirmed cases by infection date,Unsure
Louisiana,11 (8 -- 16),11,12,2,8,10,11,12,13,16,New confirmed cases by infection date,Unsure
Montana,11 (6 -- 23),11,13,5,6,9,11,13,15,23,New confirmed cases by infection date,Likely increasing
North Dakota,11 (7 -- 17),11,12,3,7,9,10,12,13,17,New confirmed cases by infection date,Unsure
South Dakota,11 (6 -- 23),11,13,8,6,8,10,12,15,23,New confirmed cases by infection date,Likely increasing
Colorado,10 (5 -- 19),10,11,4,5,8,9,11,13,19,New confirmed cases by infection date,Unsure
New Jersey,10 (7 -- 17),10,11,3,7,9,10,11,13,17,New confirmed cases by infection date,Unsure
Idaho,9 (5 -- 17),9,10,4,5,7,8,10,12,17,New confirmed cases by infection date,Likely increasing
Kansas,9 (4 -- 19),9,10,4,4,7,8,10,13,19,New confirmed cases by infection date,Unsure
Maryland,9 (5 -- 14),9,9,2,5,7,8,9,10,14,New confirmed cases by infection date,Unsure
Nebraska,9 (5 -- 18),9,10,4,5,7,8,10,12,18,New confirmed cases by infection date,Likely increasing
New Mexico,9 (5 -- 17),9,10,3,5,8,9,10,12,17,New confirmed cases by infection date,Likely increasing
Washington,9 (4 -- 19),9,10,5,4,7,8,10,12,19,New confirmed cases by infection date,Unsure
Virginia,7 (4 -- 15),7,8,3,4,5,7,8,10,15,New confirmed cases by infection date,Likely decreasing
Connecticut,6 (3 -- 11),6,6,2,3,5,5,7,8,11,New confirmed cases by infection date,Likely increasing
Utah,6 (3 -- 12),6,7,2,3,5,6,7,8,12,New confirmed cases by infection date,Unsure
West Virginia,6 (3 -- 11),6,6,2,3,4,5,6,7,11,New confirmed cases by infection date,Likely increasing
Oregon,5 (3 -- 11),5,6,2,3,4,5,6,7,11,New confirmed cases by infection date,Unsure
Puerto Rico,5 (3 -- 8),5,5,1,3,4,4,5,6,8,New confirmed cases by infection date,Unsure
Nevada,4 (2 -- 8),4,4,1,2,3,4,5,5,8,New confirmed cases by infection date,Unsure
Rhode Island,3 (1 -- 8),3,4,2,1,2,3,4,5,8,New confirmed cases by infection date,Unsure
Alabama,1.3 (1 -- 2.5),1.3,1.4,0.6,1,1.1,1.2,1.4,1.6,2.5,Effective reproduction no.,Likely increasing
New Mexico,1.3 (1 -- 1.7),1.3,1.3,0.2,1,1.2,1.2,1.3,1.4,1.7,Effective reproduction no.,Likely increasing
West Virginia,1.3 (0.9 -- 1.8),1.3,1.3,0.3,0.9,1.1,1.2,1.3,1.5,1.8,Effective reproduction no.,Likely increasing
Arizona,1.2 (0.9 -- 1.6),1.2,1.2,0.2,0.9,1,1.1,1.2,1.3,1.6,Effective reproduction no.,Likely increasing
Connecticut,1.2 (0.8 -- 1.4),1.2,1.1,0.2,0.8,1,1.1,1.2,1.2,1.4,Effective reproduction no.,Likely increasing
Idaho,1.2 (0.9 -- 1.5),1.2,1.2,0.2,0.9,1.1,1.1,1.2,1.3,1.5,Effective reproduction no.,Likely increasing
Montana,1.2 (0.8 -- 1.6),1.2,1.2,0.2,0.8,1.1,1.1,1.2,1.3,1.6,Effective reproduction no.,Likely increasing
Wisconsin,1.2 (0.2 -- 1.4),1.2,1,0.4,0.2,0.7,1.1,1.2,1.2,1.4,Effective reproduction no.,Unsure
Colorado,1.1 (0.8 -- 1.5),1.1,1.1,0.2,0.8,1,1.1,1.1,1.2,1.5,Effective reproduction no.,Unsure
Guam,1.1 (0.7 -- 1.7),1.1,1.1,0.3,0.7,0.9,1,1.1,1.2,1.7,Effective reproduction no.,Unsure
Illinois,1.1 (1 -- 1.2),1.1,1.1,0.1,1,1.1,1.1,1.1,1.1,1.2,Effective reproduction no.,Likely increasing
Indiana,1.1 (1 -- 1.3),1.1,1.1,0.1,1,1.1,1.1,1.1,1.2,1.3,Effective reproduction no.,Increasing
Iowa,1.1 (1 -- 1.3),1.1,1.1,0.1,1,1,1.1,1.1,1.1,1.3,Effective reproduction no.,Likely increasing
Maryland,1.1 (0.9 -- 1.3),1.1,1.1,0.1,0.9,1,1,1.1,1.2,1.3,Effective reproduction no.,Unsure
Michigan,1.1 (0.9 -- 1.3),1.1,1.1,0.1,0.9,1,1.1,1.1,1.2,1.3,Effective reproduction no.,Likely increasing
Minnesota,1.1 (1 -- 1.2),1.1,1.1,0.1,1,1.1,1.1,1.1,1.1,1.2,Effective reproduction no.,Likely increasing
Mississippi,1.1 (0.9 -- 1.6),1.1,1.2,0.2,0.9,1,1.1,1.2,1.3,1.6,Effective reproduction no.,Unsure
Nebraska,1.1 (0.9 -- 1.4),1.1,1.1,0.2,0.9,1.1,1.1,1.1,1.2,1.4,Effective reproduction no.,Likely increasing
New Jersey,1.1 (0.8 -- 1.3),1.1,1.1,0.1,0.8,1,1,1.1,1.1,1.3,Effective reproduction no.,Unsure
New York,1.1 (0.9 -- 1.8),1.1,1.2,0.3,0.9,1,1.1,1.2,1.3,1.8,Effective reproduction no.,Unsure
North Carolina,1.1 (0.9 -- 1.3),1.1,1.1,0.1,0.9,1,1.1,1.1,1.1,1.3,Effective reproduction no.,Likely increasing
North Dakota,1.1 (0.9 -- 1.4),1.1,1.1,0.1,0.9,1,1.1,1.1,1.2,1.4,Effective reproduction no.,Unsure
Oklahoma,1.1 (0.9 -- 1.3),1.1,1.1,0.1,0.9,1,1.1,1.1,1.1,1.3,Effective reproduction no.,Likely increasing
Oregon,1.1 (0.9 -- 1.4),1.1,1.1,0.2,0.9,1,1.1,1.1,1.2,1.4,Effective reproduction no.,Unsure
South Dakota,1.1 (0.9 -- 1.5),1.1,1.2,0.2,0.9,1,1.1,1.2,1.2,1.5,Effective reproduction no.,Likely increasing
Utah,1.1 (0.9 -- 1.5),1.1,1.1,0.2,0.9,1,1.1,1.1,1.2,1.5,Effective reproduction no.,Unsure
Arkansas,1 (0.9 -- 1.2),1,1.1,0.1,0.9,1,1,1.1,1.1,1.2,Effective reproduction no.,Unsure
Guam,1 (0 -- 3),1,1,1,0,0,1,1,1,3,New confirmed cases by infection date,Unsure
Hawaii,1 (0 -- 3),1,1,0,0,1,1,1,2,3,New confirmed cases by infection date,Likely decreasing
Kentucky,1 (0.8 -- 1.2),1,1,0.1,0.8,1,1,1.1,1.1,1.2,Effective reproduction no.,Unsure
Louisiana,1 (0.7 -- 1.1),1,0.9,0.1,0.7,0.9,0.9,1,1,1.1,Effective reproduction no.,Unsure
Massachusetts,1 (0.9 -- 1.2),1,1.1,0.1,0.9,1,1,1.1,1.1,1.2,Effective reproduction no.,Likely increasing
Missouri,1 (0.7 -- 1.4),1,1,0.2,0.7,0.8,0.9,1,1.1,1.4,Effective reproduction no.,Unsure
Ohio,1 (0.8 -- 1.3),1,1,0.1,0.8,0.9,1,1,1.1,1.3,Effective reproduction no.,Unsure
Pennsylvania,1 (0.8 -- 1.2),1,1,0.1,0.8,0.9,1,1,1.1,1.2,Effective reproduction no.,Unsure
Puerto Rico,1 (0.8 -- 1.3),1,1,0.2,0.8,0.9,1,1,1.1,1.3,Effective reproduction no.,Unsure
Rhode Island,1 (0.7 -- 1.4),1,1,0.3,0.7,0.9,1,1.1,1.2,1.4,Effective reproduction no.,Unsure
South Carolina,1 (0.8 -- 1.2),1,1,0.1,0.8,0.9,1,1,1.1,1.2,Effective reproduction no.,Unsure
Tennessee,1 (0.9 -- 1.2),1,1,0.1,0.9,1,1,1,1.1,1.2,Effective reproduction no.,Unsure
Texas,1 (0.9 -- 1.4),1,1.1,0.2,0.9,1,1,1.1,1.2,1.4,Effective reproduction no.,Unsure
US,1 (1 -- 1.1),1,1,0,1,1,1,1,1.1,1.1,Effective reproduction no.,Unsure
Washington,1 (0.7 -- 1.4),1,1,0.2,0.7,0.9,1,1.1,1.1,1.4,Effective reproduction no.,Unsure
California,0.9 (0.8 -- 1.1),0.9,0.9,0.1,0.8,0.9,0.9,0.9,1,1.1,Effective reproduction no.,Likely decreasing
Florida,0.9 (0.7 -- 1),0.9,0.9,0.1,0.7,0.8,0.8,0.9,0.9,1,Effective reproduction no.,Likely decreasing
Georgia,0.9 (0.7 -- 1),0.9,0.9,0.1,0.7,0.9,0.9,0.9,1,1,Effective reproduction no.,Likely decreasing
Kansas,0.9 (0.6 -- 1.3),0.9,0.9,0.2,0.6,0.8,0.9,1,1,1.3,Effective reproduction no.,Unsure
Nevada,0.9 (0.7 -- 1.2),0.9,1,0.2,0.7,0.9,0.9,1,1,1.2,Effective reproduction no.,Unsure
Hawaii,0.8 (0.5 -- 1.1),0.8,0.8,0.2,0.5,0.7,0.8,0.9,0.9,1.1,Effective reproduction no.,Likely decreasing
Virginia,0.7 (0.4 -- 1),0.7,0.7,0.2,0.4,0.5,0.6,0.7,0.8,1,Effective reproduction no.,Likely decreasing
