Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Alabama,2207 (495 -- 25009),Likely increasing,1.2 (0.87 -- 2.7),0.063 (-0.037 -- 0.41),11 (1.7 -- -19)
Alaska,164 (51 -- 876),Likely increasing,1.1 (0.8 -- 1.6),0.019 (-0.058 -- 0.15),37 (4.5 -- -12)
Arizona,2597 (1377 -- 5888),Likely increasing,1 (0.91 -- 1.3),0.012 (-0.026 -- 0.068),58 (10 -- -27)
Arkansas,3744 (1427 -- 11865),Likely increasing,1.2 (0.9 -- 1.5),0.042 (-0.029 -- 0.13),17 (5.3 -- -24)
California,11169 (5164 -- 32586),Likely increasing,1.2 (1 -- 1.7),0.059 (0.00068 -- 0.17),12 (4 -- 1000)
Colorado,2076 (1269 -- 3883),Likely increasing,1.1 (0.95 -- 1.3),0.019 (-0.013 -- 0.083),36 (8.4 -- -54)
Connecticut,405 (147 -- 1353),Likely increasing,1.1 (0.85 -- 1.6),0.035 (-0.042 -- 0.15),20 (4.5 -- -16)
Delaware,110 (45 -- 312),Likely increasing,1 (0.83 -- 1.5),0.012 (-0.047 -- 0.12),59 (5.6 -- -15)
District of Columbia,24 (10 -- 92),Likely decreasing,0.91 (0.76 -- 1.3),-0.024 (-0.069 -- 0.071),-29 (9.7 -- -10)
Florida,8391 (790 -- 177185),Likely increasing,1.6 (0.67 -- 3.9),0.15 (-0.095 -- 0.65),4.7 (1.1 -- -7.3)
Georgia,1892 (831 -- 5321),Likely increasing,1 (0.85 -- 1.4),0.012 (-0.041 -- 0.1),59 (6.9 -- -17)
Guam,29 (12 -- 88),Stable,1 (0.81 -- 1.3),0.007 (-0.053 -- 0.093),99 (7.5 -- -13)
Hawaii,323 (178 -- 904),Likely increasing,1.1 (0.97 -- 1.6),0.028 (-0.009 -- 0.15),25 (4.6 -- -77)
Idaho,329 (169 -- 987),Stable,0.98 (0.87 -- 1.3),-0.0048 (-0.037 -- 0.089),-150 (7.8 -- -19)
Illinois,1563 (461 -- 8355),Likely increasing,1.1 (0.8 -- 1.7),0.02 (-0.058 -- 0.18),35 (3.8 -- -12)
Indiana,968 (402 -- 3269),Likely decreasing,0.94 (0.72 -- 1.3),-0.016 (-0.081 -- 0.079),-43 (8.8 -- -8.5)
Iowa,829 (354 -- 2212),Likely increasing,1.2 (0.92 -- 1.6),0.051 (-0.022 -- 0.15),14 (4.7 -- -31)
Kansas,2460 (619 -- 17402),Likely increasing,1.3 (0.92 -- 2.2),0.078 (-0.022 -- 0.28),8.9 (2.5 -- -32)
Kentucky,467 (199 -- 1420),Likely decreasing,0.92 (0.78 -- 1.2),-0.021 (-0.062 -- 0.06),-33 (12 -- -11)
Louisiana,3722 (1405 -- 12947),Likely increasing,1.2 (0.96 -- 1.6),0.041 (-0.012 -- 0.16),17 (4.3 -- -59)
Maine,48 (25 -- 107),Likely decreasing,0.92 (0.76 -- 1.2),-0.023 (-0.069 -- 0.044),-30 (16 -- -10)
Maryland,622 (359 -- 1194),Increasing,1.3 (1.1 -- 1.7),0.088 (0.028 -- 0.17),7.8 (4.1 -- 25)
Massachusetts,408 (132 -- 1647),Likely increasing,1.1 (0.8 -- 1.8),0.033 (-0.056 -- 0.19),21 (3.7 -- -12)
Michigan,493 (147 -- 3099),Likely decreasing,0.95 (0.71 -- 1.6),-0.015 (-0.085 -- 0.16),-47 (4.4 -- -8.2)
Minnesota,350 (141 -- 1038),Stable,1 (0.76 -- 1.4),-0.00091 (-0.069 -- 0.1),-760 (6.8 -- -10)
Mississippi,1841 (666 -- 6272),Likely increasing,1.2 (0.92 -- 1.7),0.053 (-0.021 -- 0.18),13 (3.8 -- -33)
Missouri,8063 (4411 -- 16672),Likely increasing,1.2 (0.99 -- 1.4),0.043 (-0.0019 -- 0.11),16 (6.6 -- -360)
Montana,117 (51 -- 310),Likely decreasing,0.92 (0.76 -- 1.1),-0.021 (-0.069 -- 0.038),-33 (18 -- -10)
Nebraska,414 (77 -- 2634),Likely increasing,1.2 (0.66 -- 2.1),0.053 (-0.1 -- 0.26),13 (2.7 -- -7)
Nevada,2631 (1166 -- 7329),Likely increasing,1.1 (0.88 -- 1.4),0.028 (-0.032 -- 0.11),25 (6.5 -- -21)
New Hampshire,62 (19 -- 301),Stable,0.95 (0.68 -- 1.5),-0.013 (-0.092 -- 0.12),-55 (5.8 -- -7.5)
New Jersey,995 (372 -- 2856),Stable,1 (0.76 -- 1.4),0.0075 (-0.069 -- 0.11),93 (6.1 -- -10)
New Mexico,285 (151 -- 838),Likely decreasing,0.97 (0.86 -- 1.3),-0.0074 (-0.039 -- 0.081),-94 (8.6 -- -18)
New York,4130 (2516 -- 7503),Increasing,1.5 (1.2 -- 1.9),0.12 (0.057 -- 0.22),5.7 (3.1 -- 12)
North Carolina,1971 (721 -- 8733),Likely increasing,1.1 (0.85 -- 1.6),0.016 (-0.042 -- 0.15),43 (4.5 -- -17)
North Dakota,121 (43 -- 422),Likely increasing,1.3 (0.95 -- 2.2),0.091 (-0.014 -- 0.3),7.6 (2.3 -- -49)
Northern Mariana Islands,0 (0 -- 0),Likely decreasing,0.21 (0.00041 -- 2),-0.26 (-0.39 -- 0.25),-2.7 (2.8 -- -1.8)
Ohio,920 (482 -- 2040),Stable,1 (0.86 -- 1.3),-0.00081 (-0.039 -- 0.071),-860 (9.7 -- -18)
Oklahoma,2186 (830 -- 6925),Likely increasing,1.2 (0.92 -- 1.6),0.048 (-0.023 -- 0.15),14 (4.6 -- -31)
Oregon,435 (248 -- 819),Likely decreasing,0.91 (0.8 -- 1),-0.026 (-0.057 -- 0.011),-26 (64 -- -12)
Pennsylvania,868 (477 -- 1666),Likely increasing,1.1 (0.93 -- 1.4),0.037 (-0.019 -- 0.12),19 (6 -- -37)
Puerto Rico,533 (188 -- 2144),Likely increasing,1.3 (0.91 -- 1.9),0.069 (-0.023 -- 0.22),10 (3.1 -- -30)
Rhode Island,37 (16 -- 124),Likely decreasing,0.87 (0.71 -- 1.2),-0.036 (-0.083 -- 0.048),-19 (14 -- -8.4)
South Carolina,1113 (302 -- 6096),Likely increasing,1.2 (0.78 -- 1.9),0.045 (-0.063 -- 0.22),16 (3.2 -- -11)
South Dakota,18 (4 -- 79),Likely decreasing,0.86 (0.55 -- 1.2),-0.039 (-0.13 -- 0.057),-18 (12 -- -5.2)
Tennessee,1355 (360 -- 7429),Stable,1 (0.71 -- 1.5),0.012 (-0.083 -- 0.14),58 (5.1 -- -8.4)
Texas,7338 (4190 -- 16516),Likely increasing,1.1 (0.94 -- 1.4),0.021 (-0.016 -- 0.099),33 (7 -- -44)
US,105110 (60788 -- 206701),Increasing,1.2 (1 -- 1.5),0.056 (0.0087 -- 0.13),12 (5.2 -- 79)
Utah,1583 (758 -- 3522),Likely increasing,1 (0.83 -- 1.2),0.0061 (-0.046 -- 0.061),110 (11 -- -15)
Vermont,21 (6 -- 99),Stable,1.1 (0.75 -- 1.7),0.016 (-0.071 -- 0.17),43 (4 -- -9.7)
Virgin Islands,46 (14 -- 196),Stable,1 (0.74 -- 1.4),-0.00099 (-0.073 -- 0.1),-700 (6.8 -- -9.5)
Virginia,1089 (554 -- 2265),Likely increasing,1.1 (0.88 -- 1.4),0.031 (-0.033 -- 0.1),23 (6.8 -- -21)
Washington,1037 (445 -- 2695),Likely decreasing,0.92 (0.75 -- 1.1),-0.023 (-0.07 -- 0.037),-30 (19 -- -9.9)
West Virginia,99 (34 -- 556),Likely decreasing,0.88 (0.67 -- 1.4),-0.033 (-0.097 -- 0.096),-21 (7.2 -- -7.1)
