region,estimate,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,metric,Expected change in daily cases
US,313279 (251020 -- 416754),313279,321032,51348,251020,284463,301239,325502,349526,416754,New confirmed cases by infection date,Increasing
Michigan,32733 (20011 -- 54084),32733,34081,11052,20011,26648,30251,34940,39006,54084,New confirmed cases by infection date,Increasing
Texas,28954 (18869 -- 44525),28954,29997,8201,18869,24256,26976,30849,34574,44525,New confirmed cases by infection date,Likely increasing
Illinois,27992 (20969 -- 39036),27992,28676,5655,20969,24651,26712,29397,31792,39036,New confirmed cases by infection date,Increasing
Pennsylvania,22509 (15101 -- 36887),22509,23894,7174,15101,19076,21120,24121,27301,36887,New confirmed cases by infection date,Increasing
California,22213 (14426 -- 36585),22213,23381,7071,14426,18430,20526,24183,27171,36585,New confirmed cases by infection date,Likely increasing
Florida,15371 (10648 -- 23691),15371,16028,4140,10648,13134,14468,16374,18224,23691,New confirmed cases by infection date,Unsure
Ohio,15147 (10106 -- 23646),15147,15811,4263,10106,12779,14252,16213,18041,23646,New confirmed cases by infection date,Increasing
Indiana,12447 (9133 -- 17644),12447,12780,2677,9133,10867,11843,13080,14267,17644,New confirmed cases by infection date,Increasing
Colorado,11086 (7006 -- 17682),11086,11579,3413,7006,9218,10364,11955,13401,17682,New confirmed cases by infection date,Increasing
New York,10154 (7078 -- 15258),10154,10567,2662,7078,8791,9585,10748,11994,15258,New confirmed cases by infection date,Increasing
Minnesota,9847 (7462 -- 13320),9847,10042,1808,7462,8802,9439,10294,11044,13320,New confirmed cases by infection date,Increasing
Tennessee,9640 (5911 -- 17114),9640,10346,3712,5911,7831,8867,10452,11989,17114,New confirmed cases by infection date,Likely increasing
Iowa,8796 (5871 -- 14231),8796,9219,2668,5871,7395,8201,9379,10513,14231,New confirmed cases by infection date,Increasing
Arizona,8631 (5284 -- 16291),8631,9473,3879,5284,6876,7855,9433,11058,16291,New confirmed cases by infection date,Increasing
New Jersey,8343 (5784 -- 12594),8343,8658,2111,5784,7190,7917,8811,9795,12594,New confirmed cases by infection date,Increasing
Wisconsin,8291 (4642 -- 16192),8291,9052,3754,4642,6560,7603,9055,10675,16192,New confirmed cases by infection date,Unsure
North Carolina,8099 (5001 -- 14641),8099,8672,3186,5001,6482,7408,8727,10010,14641,New confirmed cases by infection date,Unsure
Alabama,7949 (4449 -- 17049),7949,9011,4351,4449,6165,7164,8833,10527,17049,New confirmed cases by infection date,Likely increasing
Georgia,7603 (4959 -- 13291),7603,8197,2890,4959,6298,7076,8201,9401,13291,New confirmed cases by infection date,Likely increasing
Missouri,6957 (3686 -- 16811),6957,8180,4733,3686,5204,6214,7879,9658,16811,New confirmed cases by infection date,Unsure
South Carolina,6760 (3311 -- 14520),6760,7613,4017,3311,5054,6065,7474,8989,14520,New confirmed cases by infection date,Unsure
Massachusetts,6402 (4555 -- 9505),6402,6642,1544,4555,5586,6085,6755,7428,9505,New confirmed cases by infection date,Increasing
