region,point,lower,upper,mid_lower,mid_upper,metric,Expected change in daily cases
US,951,310,1859,597,1100,New confirmed cases by infection date,Unsure
Texas,317,69,655,157,370,New confirmed cases by infection date,Likely increasing
Florida,208,21,485,110,247,New confirmed cases by infection date,Likely increasing
Arizona,138,9,375,52,155,New confirmed cases by infection date,Likely increasing
California,99,38,189,63,112,New confirmed cases by infection date,Unsure
South Carolina,55,7,129,24,62,New confirmed cases by infection date,Likely increasing
Alabama,28,3,86,11,32,New confirmed cases by infection date,Unsure
Louisiana,24,3,61,9,27,New confirmed cases by infection date,Unsure
Georgia,19,4,44,11,22,New confirmed cases by infection date,Unsure
Mississippi,18,4,38,10,20,New confirmed cases by infection date,Unsure
New Jersey,17,3,32,12,22,New confirmed cases by infection date,Likely decreasing
Tennessee,17,6,35,12,20,New confirmed cases by infection date,Likely increasing
North Carolina,15,4,30,10,17,New confirmed cases by infection date,Unsure
Ohio,15,5,43,9,17,New confirmed cases by infection date,Unsure
Nevada,13,0,44,4,15,New confirmed cases by infection date,Unsure
New York,11,2,22,7,13,New confirmed cases by infection date,Likely decreasing
Iowa,10,0,36,1,10,New confirmed cases by infection date,Unsure
Pennsylvania,10,2,24,6,12,New confirmed cases by infection date,Likely decreasing
Massachusetts,9,4,16,7,11,New confirmed cases by infection date,Likely decreasing
Washington,8,1,17,4,9,New confirmed cases by infection date,Unsure
Idaho,7,0,33,0,7,New confirmed cases by infection date,Likely increasing
Illinois,7,1,17,3,8,New confirmed cases by infection date,Likely decreasing
Kentucky,6,2,15,3,6,New confirmed cases by infection date,Unsure
Michigan,6,0,16,2,7,New confirmed cases by infection date,Unsure
Oklahoma,6,0,18,2,7,New confirmed cases by infection date,Unsure
Arkansas,5,0,11,3,7,New confirmed cases by infection date,Unsure
Maryland,5,2,10,4,6,New confirmed cases by infection date,Likely decreasing
Oregon,5,0,16,1,6,New confirmed cases by infection date,Unsure
Utah,5,1,11,2,5,New confirmed cases by infection date,Unsure
Minnesota,4,0,12,1,4,New confirmed cases by infection date,Unsure
Missouri,4,0,10,2,5,New confirmed cases by infection date,Unsure
Puerto Rico,4,0,15,0,4,New confirmed cases by infection date,Unsure
Virginia,4,0,14,0,4,New confirmed cases by infection date,Likely decreasing
Montana,3,0,8,0,3,New confirmed cases by infection date,Likely increasing
New Mexico,3,1,6,2,3,New confirmed cases by infection date,Unsure
Colorado,2,0,8,0,2,New confirmed cases by infection date,Unsure
Connecticut,2,0,11,1,3,New confirmed cases by infection date,Unsure
Nebraska,2,0,6,0,2,New confirmed cases by infection date,Unsure
Wisconsin,2,0,6,1,3,New confirmed cases by infection date,Unsure
Wyoming,1.34,0.39,2.89,0.74,1.48,Effective reproduction no.,Unsure
Idaho,1.33,0.61,2.03,1.03,1.49,Effective reproduction no.,Likely increasing
Hawaii,1.27,0.33,2.43,0.94,1.61,Effective reproduction no.,Unsure
Montana,1.26,0.77,1.64,1.14,1.35,Effective reproduction no.,Likely increasing
Texas,1.21,0.9,1.57,1.09,1.33,Effective reproduction no.,Likely increasing
Florida,1.2,0.85,1.51,1.07,1.29,Effective reproduction no.,Likely increasing
Puerto Rico,1.18,0.57,1.75,0.94,1.33,Effective reproduction no.,Unsure
South Carolina,1.18,0.85,1.53,1.06,1.27,Effective reproduction no.,Likely increasing
Arizona,1.16,0.84,1.56,1.02,1.24,Effective reproduction no.,Likely increasing
Iowa,1.15,0.53,1.77,0.93,1.34,Effective reproduction no.,Unsure
Nevada,1.12,0.74,1.6,0.96,1.25,Effective reproduction no.,Unsure
Oklahoma,1.11,0.68,1.58,0.95,1.23,Effective reproduction no.,Unsure
Oregon,1.1,0.7,1.61,0.96,1.24,Effective reproduction no.,Unsure
