Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Alabama,28 (3 -- 86),Unsure,1.09 (0.77 -- 1.44),0.02 (-0.06 -- 0.12),28.6 (5.7 -- -12.1)
Alaska,0 (0 -- 2),Unsure,1.03 (0.16 -- 1.62),0.01 (-0.25 -- 0.18),76 (3.8 -- -2.8)
Arizona,138 (9 -- 375),Likely increasing,1.16 (0.84 -- 1.56),0.04 (-0.04 -- 0.15),16.2 (4.6 -- -19.3)
Arkansas,5 (0 -- 11),Unsure,1.02 (0.65 -- 1.25),0.01 (-0.08 -- 0.08),115.3 (8.2 -- -8.5)
California,99 (38 -- 189),Unsure,1.03 (0.87 -- 1.24),0.01 (-0.04 -- 0.06),79 (10.9 -- -18.7)
Colorado,2 (0 -- 8),Unsure,0.9 (0.53 -- 1.33),-0.03 (-0.14 -- 0.09),-24.2 (7.8 -- -5)
Connecticut,2 (0 -- 11),Unsure,0.89 (0.62 -- 1.36),-0.03 (-0.11 -- 0.1),-23.5 (7.2 -- -6.4)
Delaware,0 (0 -- 1),Likely decreasing,0.69 (0.16 -- 1.16),-0.09 (-0.27 -- 0.05),-7.8 (14.5 -- -2.5)
District of Columbia,1 (0 -- 1),Likely decreasing,0.88 (0.72 -- 1.08),-0.03 (-0.08 -- 0.02),-21.3 (29.9 -- -8.9)
Florida,208 (21 -- 485),Likely increasing,1.2 (0.85 -- 1.51),0.05 (-0.02 -- 0.15),12.9 (4.6 -- -33)
Georgia,19 (4 -- 44),Unsure,0.98 (0.8 -- 1.25),0 (-0.06 -- 0.07),-151.9 (10.6 -- -11.7)
Hawaii,1 (0 -- 14),Unsure,1.27 (0.33 -- 2.43),0.07 (-0.21 -- 0.34),9.8 (2 -- -3.3)
Idaho,7 (0 -- 33),Likely increasing,1.33 (0.61 -- 2.03),0.09 (-0.09 -- 0.28),8 (2.5 -- -7.9)
Illinois,7 (1 -- 17),Likely decreasing,0.86 (0.62 -- 1.1),-0.04 (-0.1 -- 0.04),-17.2 (18.3 -- -6.8)
Iowa,10 (0 -- 36),Unsure,1.15 (0.53 -- 1.77),0.04 (-0.11 -- 0.22),17.1 (3.2 -- -6.3)
Kansas,1 (0 -- 4),Unsure,0.97 (0.64 -- 1.3),-0.01 (-0.11 -- 0.08),-83.5 (8.7 -- -6.5)
Kentucky,6 (2 -- 15),Unsure,1.01 (0.81 -- 1.29),0 (-0.05 -- 0.08),211 (8.8 -- -13.1)
Louisiana,24 (3 -- 61),Unsure,1.07 (0.79 -- 1.43),0.02 (-0.05 -- 0.12),37.3 (5.8 -- -13.3)
Maine,1 (0 -- 3),Unsure,0.98 (0.49 -- 1.67),0 (-0.15 -- 0.17),-163.2 (4 -- -4.5)
Maryland,5 (2 -- 10),Likely decreasing,0.9 (0.75 -- 1.07),-0.03 (-0.07 -- 0.02),-24.5 (33.2 -- -9.7)
