Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Alabama,765 (25 -- 4362),Likely decreasing,0.92 (0.39 -- 1.2),-0.023 (-0.19 -- 0.061),-31 (11 -- -3.7)
Alaska,9 (0 -- 333),Likely decreasing,0.82 (0.21 -- 1.7),-0.049 (-0.26 -- 0.17),-14 (4 -- -2.7)
Arizona,1733 (548 -- 5709),Stable,0.99 (0.79 -- 1.3),-0.0015 (-0.06 -- 0.069),-460 (10 -- -12)
Arkansas,330 (109 -- 1474),Likely decreasing,0.97 (0.75 -- 1.3),-0.0079 (-0.072 -- 0.083),-87 (8.3 -- -9.7)
California,5889 (2019 -- 39893),Likely increasing,1.1 (0.88 -- 1.8),0.025 (-0.034 -- 0.19),27 (3.6 -- -20)
Colorado,898 (140 -- 3490),Likely decreasing,0.93 (0.6 -- 1.2),-0.018 (-0.12 -- 0.044),-37 (16 -- -5.9)
Connecticut,87 (11 -- 478),Likely decreasing,0.86 (0.57 -- 1.2),-0.04 (-0.13 -- 0.056),-17 (12 -- -5.4)
Delaware,177 (30 -- 2275),Stable,0.98 (0.66 -- 1.6),-0.0059 (-0.1 -- 0.15),-120 (4.6 -- -6.9)
District of Columbia,5 (0 -- 92),Likely decreasing,0.75 (0.14 -- 1.3),-0.072 (-0.29 -- 0.085),-9.6 (8.2 -- -2.4)
Florida,950 (58 -- 29890),Likely decreasing,0.85 (0.45 -- 2.1),-0.041 (-0.17 -- 0.28),-17 (2.5 -- -4.1)
Georgia,1284 (76 -- 5517),Likely decreasing,0.88 (0.38 -- 1.2),-0.035 (-0.19 -- 0.047),-20 (15 -- -3.6)
Guam,0 (0 -- 14),Likely decreasing,0.28 (0.00016 -- 2.6),-0.23 (-0.4 -- 0.39),-3 (1.8 -- -1.7)
Hawaii,141 (22 -- 1382),Stable,1 (0.67 -- 1.6),0.0062 (-0.095 -- 0.16),110 (4.5 -- -7.3)
Idaho,410 (59 -- 5498),Stable,1 (0.61 -- 1.8),0.0059 (-0.11 -- 0.19),120 (3.6 -- -6.2)
Illinois,388 (38 -- 1847),Decreasing,0.72 (0.36 -- 0.99),-0.081 (-0.2 -- -0.0033),-8.6 (-210 -- -3.5)
Indiana,560 (60 -- 2223),Likely decreasing,0.9 (0.54 -- 1.1),-0.028 (-0.14 -- 0.031),-25 (22 -- -5)
Iowa,374 (76 -- 2016),Likely decreasing,0.96 (0.67 -- 1.4),-0.011 (-0.098 -- 0.094),-64 (7.4 -- -7.1)
Kansas,474 (36 -- 3611),Stable,0.99 (0.54 -- 1.4),-0.0033 (-0.14 -- 0.11),-210 (6.6 -- -5)
