region,estimate,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,metric,Expected change in daily cases,prob_control
US,181324 (91108 -- 319798),181324,190454,72542,91108,142964,165950,197210,225138,319798,New confirmed cases by infection date,Likely decreasing,0.76
New York,24457 (16291 -- 38543),24457,25713,7243,16291,20690,23011,26176,29586,38543,New confirmed cases by infection date,Stable,0.54
Texas,22584 (9823 -- 56637),22584,26893,17205,9823,16394,20070,25921,32597,56637,New confirmed cases by infection date,Likely decreasing,0.6
Florida,17110 (10472 -- 29001),17110,18010,5768,10472,13864,15900,18422,21072,29001,New confirmed cases by infection date,Likely decreasing,0.71
California,15993 (9437 -- 30523),15993,17554,8324,9437,12636,14639,17509,20509,30523,New confirmed cases by infection date,Likely decreasing,0.67
New Jersey,13057 (8175 -- 22191),13057,13802,4534,8175,10721,12090,14025,15801,22191,New confirmed cases by infection date,Likely increasing,0.31
Pennsylvania,8153 (5442 -- 13509),8153,8640,2727,5442,6809,7584,8740,9778,13509,New confirmed cases by infection date,Stable,0.57
Michigan,7112 (3639 -- 17559),7112,8375,5077,3639,5332,6369,7947,9928,17559,New confirmed cases by infection date,Likely increasing,0.31
North Carolina,6480 (3778 -- 11506),6480,6913,2433,3778,5280,5963,7023,8113,11506,New confirmed cases by infection date,Likely decreasing,0.89
Georgia,6292 (2961 -- 11448),6292,6643,2673,2961,4734,5699,6921,8103,11448,New confirmed cases by infection date,Likely decreasing,0.92
Illinois,6260 (3880 -- 11147),6260,6739,2398,3880,5109,5811,6774,7829,11147,New confirmed cases by infection date,Likely increasing,0.35
Arizona,6115 (2956 -- 15735),6115,7312,5062,2956,4489,5416,6943,8540,15735,New confirmed cases by infection date,Likely increasing,0.24
Massachusetts,4936 (2928 -- 8384),4936,5231,1833,2928,4012,4589,5354,6128,8384,New confirmed cases by infection date,Likely decreasing,0.64
Ohio,4767 (3238 -- 7308),4767,4977,1315,3238,4077,4491,5118,5700,7308,New confirmed cases by infection date,Likely decreasing,0.88
Colorado,4487 (2730 -- 7450),4487,4739,1593,2730,3679,4161,4844,5477,7450,New confirmed cases by infection date,Likely increasing,0.35
Virginia,4360 (2607 -- 8033),4360,4726,1881,2607,3497,3973,4744,5521,8033,New confirmed cases by infection date,Likely decreasing,0.78
Connecticut,3431 (1558 -- 9224),3431,4119,2707,1558,2491,3049,3831,4804,9224,New confirmed cases by infection date,Likely decreasing,0.72
Tennessee,3369 (2072 -- 6967),3369,3766,1663,2072,2708,3107,3704,4322,6967,New confirmed cases by infection date,Likely decreasing,0.88
Alabama,3205 (1557 -- 6899),3205,3631,1894,1557,2463,2898,3600,4328,6899,New confirmed cases by infection date,Stable,0.56
Oklahoma,3056 (1508 -- 8192),3056,3740,2668,1508,2190,2682,3445,4376,8192,New confirmed cases by infection date,Likely increasing,0.35
South Carolina,2924 (1643 -- 4957),2924,3067,1042,1643,2357,2676,3170,3642,4957,New confirmed cases by infection date,Decreasing,0.98
Maryland,2823 (1776 -- 4865),2823,3006,998,1776,2341,2637,3047,3464,4865,New confirmed cases by infection date,Likely increasing,0.32
Indiana,2802 (1647 -- 5928),2802,3166,1525,1647,2239,2561,3071,3659,5928,New confirmed cases by infection date,Stable,0.48
Washington,2779 (1266 -- 6808),2779,3231,2047,1266,2007,2456,3133,3801,6808,New confirmed cases by infection date,Likely decreasing,0.78
Kentucky,2535 (1467 -- 4540),2535,2730,1054,1467,2053,2353,2766,3185,4540,New confirmed cases by infection date,Likely decreasing,0.88
Minnesota,2534 (1460 -- 4253),2534,2654,927,1460,2023,2340,2728,3123,4253,New confirmed cases by infection date,Stable,0.53
Louisiana,2125 (1018 -- 5169),2125,2487,1416,1018,1584,1900,2430,2983,5169,New confirmed cases by infection date,Likely decreasing,0.81
