date,confirm,region
2021-02-01,0,Alabama
2021-02-02,206,Alabama
2021-02-03,309,Alabama
2021-02-04,162,Alabama
2021-02-05,84,Alabama
2021-02-06,64,Alabama
2021-02-07,2,Alabama
2021-02-08,8,Alabama
2021-02-09,56,Alabama
2021-02-10,309,Alabama
2021-02-11,133,Alabama
2021-02-12,159,Alabama
2021-02-13,62,Alabama
2021-02-14,0,Alabama
2021-02-15,2,Alabama
2021-02-16,13,Alabama
2021-02-17,89,Alabama
2021-02-18,78,Alabama
2021-02-19,149,Alabama
2021-02-20,17,Alabama
2021-02-21,2,Alabama
2021-02-22,0,Alabama
2021-02-23,68,Alabama
2021-02-24,84,Alabama
2021-02-25,87,Alabama
2021-02-26,38,Alabama
2021-02-27,61,Alabama
2021-02-28,0,Alabama
2021-03-01,2,Alabama
2021-03-02,60,Alabama
2021-03-03,38,Alabama
2021-03-04,65,Alabama
2021-03-05,28,Alabama
2021-03-06,27,Alabama
2021-03-07,0,Alabama
2021-03-08,0,Alabama
2021-03-09,38,Alabama
2021-03-10,36,Alabama
2021-03-11,52,Alabama
2021-03-12,25,Alabama
2021-03-13,28,Alabama
2021-03-14,0,Alabama
2021-03-15,2,Alabama
2021-03-16,8,Alabama
2021-03-17,26,Alabama
2021-03-18,28,Alabama
2021-03-19,34,Alabama
2021-03-20,11,Alabama
2021-03-21,0,Alabama
2021-03-22,0,Alabama
2021-03-23,14,Alabama
2021-03-24,37,Alabama
2021-03-25,17,Alabama
2021-03-26,19,Alabama
2021-03-27,3,Alabama
2021-03-28,0,Alabama
2021-03-29,0,Alabama
2021-03-30,1,Alabama
2021-03-31,27,Alabama
2021-04-01,0,Alabama
2021-04-02,54,Alabama
2021-04-03,30,Alabama
2021-04-04,0,Alabama
2021-04-05,1,Alabama
2021-04-06,14,Alabama
2021-04-07,0,Alabama
2021-04-08,23,Alabama
2021-04-09,11,Alabama
2021-04-10,26,Alabama
2021-04-11,0,Alabama
2021-04-12,0,Alabama
