region,estimate,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,metric,Expected change in daily cases
US,103541 (63291 -- 181811),103541,111272,41197,63291,85286,95967,112504,128571,181811,New confirmed cases by infection date,Unsure
Florida,80467 (19054 -- 1008850),80467,321606,1555920,19054,40763,60762,109144,184486,1008850,New confirmed cases by infection date,Unsure
Wisconsin,11488 (4459 -- 31410),11488,14937,38325,4459,7831,9915,13382,17054,31410,New confirmed cases by infection date,Unsure
Texas,10491 (3592 -- 37719),10491,14532,18534,3592,6848,8894,12281,16054,37719,New confirmed cases by infection date,Likely decreasing
Georgia,6810 (1971 -- 25022),6810,9661,13351,1971,4349,5656,7968,10802,25022,New confirmed cases by infection date,Unsure
Tennessee,5099 (2009 -- 12813),5099,6015,4084,2009,3688,4547,5766,7149,12813,New confirmed cases by infection date,Unsure
Utah,5077 (659 -- 35915),5077,11361,35366,659,2361,3848,6818,10731,35915,New confirmed cases by infection date,Unsure
Missouri,4864 (1223 -- 19393),4864,7848,16727,1223,3068,4115,5838,7964,19393,New confirmed cases by infection date,Unsure
Pennsylvania,4671 (1587 -- 16844),4671,6981,12487,1587,3100,3970,5368,7201,16844,New confirmed cases by infection date,Unsure
Illinois,4629 (2449 -- 9505),4629,5108,2338,2449,3661,4249,5102,6056,9505,New confirmed cases by infection date,Likely increasing
Arkansas,4585 (1291 -- 14917),4585,6284,8063,1291,3250,4048,5266,7014,14917,New confirmed cases by infection date,Likely increasing
California,4544 (800 -- 12552),4544,5444,4263,800,2521,3651,5560,7254,12552,New confirmed cases by infection date,Likely decreasing
Indiana,3860 (1560 -- 11099),3860,4865,4697,1560,2689,3339,4420,5772,11099,New confirmed cases by infection date,Unsure
North Dakota,3504 (857 -- 13430),3504,5014,5554,857,2116,2904,4321,5958,13430,New confirmed cases by infection date,Likely increasing
Iowa,3395 (1075 -- 17669),3395,5924,10910,1075,2085,2819,4206,6255,17669,New confirmed cases by infection date,Unsure
New Hampshire,2545 (164 -- 62309),2545,22810,131081,164,844,1592,3894,9053,62309,New confirmed cases by infection date,Unsure
Kansas,2471 (422 -- 20391),2471,10061,60474,422,1352,2014,3090,4746,20391,New confirmed cases by infection date,Unsure
Massachusetts,2458 (926 -- 7364),2458,3173,3238,926,1749,2163,2817,3620,7364,New confirmed cases by infection date,Unsure
Michigan,2183 (439 -- 12694),2183,4421,11517,439,1251,1785,2707,4000,12694,New confirmed cases by infection date,Unsure
South Dakota,2182 (230 -- 20114),2182,12266,215653,230,992,1603,2970,5167,20114,New confirmed cases by infection date,Unsure
North Carolina,2123 (441 -- 5348),2123,2423,1806,441,1271,1780,2492,3096,5348,New confirmed cases by infection date,Unsure
New York,2089 (120 -- 11799),2089,4260,11751,120,917,1623,2609,3838,11799,New confirmed cases by infection date,Unsure
Puerto Rico,2087 (456 -- 15577),2087,4135,5642,456,1166,1638,2685,4855,15577,New confirmed cases by infection date,Unsure
Minnesota,1794 (490 -- 7094),1794,2732,7131,490,1201,1517,2112,2843,7094,New confirmed cases by infection date,Unsure
Mississippi,1707 (527 -- 5584),1707,2594,15933,527,1123,1438,1969,2604,5584,New confirmed cases by infection date,Likely decreasing
Louisiana,1566 (721 -- 4005),1566,1912,1869,721,1147,1380,1728,2109,4005,New confirmed cases by infection date,Likely decreasing
South Carolina,1560 (543 -- 3623),1560,1835,1548,543,1098,1360,1743,2160,3623,New confirmed cases by infection date,Likely decreasing
Alabama,1383 (380 -- 9256),1383,3426,15388,380,852,1120,1709,2605,9256,New confirmed cases by infection date,Likely decreasing
Oklahoma,1360 (579 -- 3887),1360,1741,1896,579,998,1207,1552,1976,3887,New confirmed cases by infection date,Unsure
Colorado,1352 (319 -- 6848),1352,2314,3784,319,779,1072,1740,2607,6848,New confirmed cases by infection date,Unsure
Ohio,1320 (135 -- 4428),1320,1717,2025,135,656,1065,1616,2194,4428,New confirmed cases by infection date,Likely decreasing
Kentucky,1099 (294 -- 4019),1099,1798,9565,294,675,914,1307,1820,4019,New confirmed cases by infection date,Unsure
Nebraska,1040 (170 -- 6552),1040,2198,7740,170,564,816,1317,1909,6552,New confirmed cases by infection date,Unsure
Nevada,819 (236 -- 2929),819,1289,3025,236,541,699,969,1340,2929,New confirmed cases by infection date,Likely decreasing
Maryland,744 (321 -- 2325),744,1009,1199,321,545,658,854,1107,2325,New confirmed cases by infection date,Likely decreasing
Washington,636 (31 -- 4865),636,1437,3798,31,296,481,841,1277,4865,New confirmed cases by infection date,Likely decreasing
