Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Alabama,38 (32 -- 44),Unsure,1.2 (1.1 -- 1.3),0.05 (0.03 -- 0.07),14.3 (10.3 -- 22.8)
Alaska,70 (57 -- 82),Unsure,2.1 (1.8 -- 2.5),0.28 (0.21 -- 0.48),2.5 (1.5 -- 3.3)
Arizona,12 (10 -- 15),Unsure,1.1 (1 -- 1.2),0.03 (0.01 -- 0.05),25.5 (14.8 -- 70.2)
Arkansas,17 (14 -- 19),Unsure,1 (0.9 -- 1),-0.01 (-0.02 -- 0.01),-129.2 (76.1 -- -32.5)
California,49 (40 -- 60),Likely decreasing,1 (0.9 -- 1.1),-0.01 (-0.03 -- 0.01),-85.5 (47.6 -- -25.4)
Colorado,30 (26 -- 35),Likely increasing,1.3 (1.2 -- 1.4),0.07 (0.05 -- 0.09),10 (7.4 -- 12.7)
Connecticut,1 (0 -- 1),Unsure,0.8 (0.8 -- 0.9),-0.04 (-0.06 -- -0.02),-15.6 (-30.9 -- -11.7)
Delaware,1 (1 -- 2),Unsure,1 (0.9 -- 1.1),0 (-0.01 -- 0.01),9697.4 (47.1 -- -48.9)
District of Columbia,0 (0 -- 1),Unsure,1 (0.9 -- 1.1),0 (-0.01 -- 0.02),7040.8 (44.1 -- -48.8)
Florida,79 (67 -- 94),Unsure,0.9 (0.9 -- 1),-0.02 (-0.04 -- -0.01),-32.7 (-93.1 -- -17.4)
Georgia,17 (14 -- 20),Likely decreasing,0.9 (0.8 -- 0.9),-0.04 (-0.06 -- -0.02),-18.2 (-31.2 -- -12.2)
Guam,0 (0 -- 1),Unsure,1 (1 -- 1.1),0 (-0.01 -- 0.02),-3153.4 (36.1 -- -50)
Hawaii,12 (10 -- 14),Unsure,1.4 (1.3 -- 1.5),0.1 (0.08 -- 0.13),7 (5.2 -- 8.6)
Idaho,2 (1 -- 2),Unsure,1 (0.9 -- 1),0 (-0.02 -- 0.01),-156.3 (63.2 -- -35)
Illinois,66 (56 -- 76),Likely increasing,1.2 (1.1 -- 1.3),0.05 (0.04 -- 0.07),13.9 (9.9 -- 19.2)
Indiana,30 (27 -- 34),Likely increasing,1.1 (1 -- 1.2),0.03 (0.01 -- 0.04),26.2 (17.9 -- 48.2)
Iowa,7 (6 -- 9),Unsure,0.9 (0.9 -- 1),-0.02 (-0.04 -- -0.01),-32.1 (-102.2 -- -18.8)
Kansas,12 (10 -- 13),Unsure,1 (0.9 -- 1),0 (-0.02 -- 0.01),-164.5 (59.2 -- -38.4)
Kentucky,32 (27 -- 37),Unsure,1.3 (1.2 -- 1.5),0.09 (0.07 -- 0.12),7.7 (5.6 -- 9.4)
Louisiana,22 (18 -- 28),Unsure,1.1 (1 -- 1.2),0.03 (0.01 -- 0.05),23.8 (13.1 -- 60.1)
Maine,9 (7 -- 12),Unsure,1.8 (1.6 -- 2.1),0.21 (0.16 -- 0.35),3.3 (2 -- 4.2)
Maryland,6 (5 -- 7),Unsure,1 (1 -- 1.1),0 (-0.01 -- 0.02),993.6 (40.9 -- -61)
Massachusetts,60 (52 -- 69),Likely increasing,1.3 (1.2 -- 1.4),0.08 (0.07 -- 0.1),8.6 (6.6 -- 10.5)
Michigan,43 (37 -- 49),Likely increasing,1.2 (1.1 -- 1.3),0.06 (0.04 -- 0.08),11.7 (8.7 -- 16.2)
Minnesota,51 (42 -- 57),Likely increasing,1.3 (1.2 -- 1.5),0.09 (0.08 -- 0.13),7.5 (5.5 -- 9.2)
Mississippi,7 (6 -- 8),Likely decreasing,0.9 (0.8 -- 0.9),-0.04 (-0.05 -- -0.02),-18.3 (-32.2 -- -13.6)
Missouri,24 (21 -- 28),Unsure,0.9 (0.9 -- 1),-0.02 (-0.03 -- 0),-39.5 (-184 -- -21.8)
Montana,12 (10 -- 14),Likely increasing,1.2 (1.2 -- 1.3),0.07 (0.05 -- 0.09),10.6 (7.9 -- 13.7)
Nebraska,18 (16 -- 21),Likely increasing,1.3 (1.2 -- 1.4),0.09 (0.07 -- 0.11),7.9 (6 -- 9.6)
Nevada,15 (13 -- 18),Unsure,1.2 (1.1 -- 1.3),0.05 (0.04 -- 0.07),13.4 (9.4 -- 18.4)
New Hampshire,2 (2 -- 3),Unsure,1.1 (1 -- 1.2),0.03 (0.01 -- 0.05),21 (12.9 -- 50.4)
New Jersey,4 (4 -- 5),Unsure,1 (1 -- 1),0 (-0.01 -- 0.01),-1542.8 (53.9 -- -57.4)
New Mexico,5 (5 -- 6),Unsure,1.1 (1 -- 1.1),0.01 (0 -- 0.03),47.2 (22.6 -- 230.5)
New York,12 (10 -- 13),Unsure,1 (0.9 -- 1),0 (-0.02 -- 0.01),-3522.2 (57.9 -- -46.2)
North Carolina,42 (35 -- 49),Unsure,1.1 (1.1 -- 1.2),0.04 (0.02 -- 0.06),18.9 (11.5 -- 31.6)
North Dakota,8 (7 -- 9),Unsure,1 (0.9 -- 1),-0.01 (-0.02 -- 0),-62.4 (634.8 -- -28.4)
Ohio,5 (5 -- 6),Likely decreasing,0.9 (0.9 -- 1),-0.02 (-0.03 -- 0),-36.4 (-226.1 -- -20.9)
Oklahoma,26 (22 -- 30),Unsure,1.3 (1.2 -- 1.4),0.07 (0.06 -- 0.1),9.6 (7 -- 12.1)
Oregon,0 (0 -- 1),Unsure,0.6 (0.6 -- 0.7),-0.11 (-0.13 -- -0.09),-6.3 (-7.7 -- -5.3)
Pennsylvania,16 (14 -- 18),Unsure,1 (0.9 -- 1),-0.01 (-0.03 -- 0),-55.1 (-1377.1 -- -26.9)
Puerto Rico,2 (1 -- 2),Unsure,0.6 (0.6 -- 0.7),-0.1 (-0.13 -- -0.09),-6.7 (-8.1 -- -5.2)
Rhode Island,42 (36 -- 48),Unsure,1.6 (1.4 -- 1.8),0.16 (0.13 -- 0.22),4.4 (3.1 -- 5.4)
South Carolina,6 (6 -- 8),Likely decreasing,0.8 (0.8 -- 0.9),-0.05 (-0.07 -- -0.04),-13.5 (-18.5 -- -10.3)
South Dakota,1 (1 -- 2),Unsure,0.8 (0.8 -- 0.9),-0.05 (-0.06 -- -0.03),-15.1 (-24.5 -- -11.3)
Tennessee,9 (7 -- 10),Unsure,0.8 (0.7 -- 0.8),-0.06 (-0.08 -- -0.05),-11.1 (-14.1 -- -8.8)
Texas,36 (30 -- 43),Likely decreasing,0.8 (0.8 -- 0.9),-0.05 (-0.06 -- -0.03),-15.2 (-23.6 -- -10.8)
US,734 (548 -- 984),Unsure,1 (0.9 -- 1.1),0 (-0.03 -- 0.03),2735.5 (20.9 -- -22.5)
Utah,2 (1 -- 2),Unsure,0.8 (0.7 -- 0.9),-0.06 (-0.07 -- -0.04),-12.5 (-17.4 -- -10)
Virginia,4 (3 -- 4),Likely decreasing,0.8 (0.7 -- 0.9),-0.05 (-0.07 -- -0.04),-13.1 (-18.2 -- -10.1)
Washington,12 (10 -- 15),Unsure,1.1 (1 -- 1.2),0.03 (0.01 -- 0.04),26.1 (16 -- 57.4)
West Virginia,0 (0 -- 1),Unsure,0.6 (0.5 -- 0.6),-0.13 (-0.16 -- -0.1),-5.4 (-6.7 -- -4.3)
Wisconsin,65 (57 -- 73),Likely increasing,1.2 (1.1 -- 1.3),0.06 (0.04 -- 0.07),12.2 (9.5 -- 16.1)
