region,estimate,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,metric,Expected change in daily cases,prob_control
Ohio,2822820 (133208 -- 16367600),2822820,4809990,5867780,133208,867981,1890120,4025210,6416400,16367600,New confirmed cases by infection date,Increasing,0.004
Missouri,30798 (1110 -- 1512140),30798,384485,1876300,1110,6662,16713,55396,147233,1512140,New confirmed cases by infection date,Likely increasing,0.092
US,19813 (9059 -- 36569),19813,21000,9532,9059,15050,17853,21682,25340,36569,New confirmed cases by infection date,Likely decreasing,0.92
Texas,4410 (2274 -- 15030),4410,6308,8734,2274,3250,3879,5069,6709,15030,New confirmed cases by infection date,Stable,0.48
California,2404 (429 -- 7926),2404,3135,3194,429,1540,2047,2801,3761,7926,New confirmed cases by infection date,Likely decreasing,0.76
Arizona,1424 (324 -- 4651),1424,1943,3014,324,904,1204,1661,2192,4651,New confirmed cases by infection date,Likely decreasing,0.64
Utah,1410 (139 -- 20177),1410,5566,20160,139,581,1000,1978,3821,20177,New confirmed cases by infection date,Likely increasing,0.37
Florida,1113 (77 -- 90661),1113,43424,414325,77,359,726,1916,6276,90661,New confirmed cases by infection date,Stable,0.55
Washington,968 (171 -- 3326),968,1291,1817,171,551,795,1158,1513,3326,New confirmed cases by infection date,Likely decreasing,0.72
Pennsylvania,939 (253 -- 3886),939,1402,2275,253,575,792,1125,1513,3886,New confirmed cases by infection date,Likely decreasing,0.84
Colorado,932 (192 -- 3146),932,1256,1554,192,564,776,1110,1449,3146,New confirmed cases by infection date,Likely decreasing,0.72
Indiana,815 (168 -- 3399),815,1412,4635,168,505,702,972,1346,3399,New confirmed cases by infection date,Likely decreasing,0.74
Minnesota,805 (276 -- 2689),805,1095,1196,276,531,685,963,1278,2689,New confirmed cases by infection date,Likely decreasing,0.76
Nevada,763 (207 -- 3930),763,1425,4098,207,432,615,956,1445,3930,New confirmed cases by infection date,Likely increasing,0.38
Louisiana,621 (264 -- 1624),621,779,944,264,460,554,698,865,1624,New confirmed cases by infection date,Likely decreasing,0.64
Wisconsin,611 (34 -- 3973),611,1816,24719,34,228,437,859,1338,3973,New confirmed cases by infection date,Likely decreasing,0.81
Tennessee,539 (153 -- 4283),539,1267,3984,153,332,442,661,995,4283,New confirmed cases by infection date,Likely decreasing,0.67
New Jersey,531 (189 -- 1788),531,710,657,189,373,456,615,818,1788,New confirmed cases by infection date,Likely decreasing,0.75
Virginia,462 (48 -- 1304),462,546,503,48,259,378,552,716,1304,New confirmed cases by infection date,Likely decreasing,0.91
Idaho,417 (32 -- 4542),417,3914,81729,32,211,331,569,932,4542,New confirmed cases by infection date,Stable,0.43
Michigan,376 (16 -- 1948),376,677,1927,16,140,266,515,797,1948,New confirmed cases by infection date,Decreasing,0.95
Arkansas,333 (98 -- 1345),333,486,595,98,221,285,391,525,1345,New confirmed cases by infection date,Stable,0.57
Mississippi,333 (78 -- 1393),333,591,2507,78,215,287,397,533,1393,New confirmed cases by infection date,Likely decreasing,0.63
Georgia,320 (4 -- 2161),320,1554,37318,4,77,194,485,800,2161,New confirmed cases by infection date,Likely decreasing,0.89
New York,294 (55 -- 793),294,352,292,55,182,247,349,457,793,New confirmed cases by infection date,Decreasing,0.95
Wyoming,294 (10 -- 3040),294,1169,8834,10,111,206,393,658,3040,New confirmed cases by infection date,Likely increasing,0.33
Iowa,283 (31 -- 1831),283,684,3566,31,166,233,343,485,1831,New confirmed cases by infection date,Likely decreasing,0.68
South Carolina,266 (52 -- 2081),266,673,2862,52,149,215,336,510,2081,New confirmed cases by infection date,Likely decreasing,0.76
Kansas,248 (5 -- 1707),248,666,4572,5,100,187,317,490,1707,New confirmed cases by infection date,Likely decreasing,0.7
West Virginia,248 (24 -- 1529),248,593,3170,24,134,200,324,480,1529,New confirmed cases by infection date,Likely decreasing,0.75
Illinois,229 (26 -- 1306),229,387,603,26,106,173,293,458,1306,New confirmed cases by infection date,Likely decreasing,0.92
New Mexico,190 (10 -- 1214),190,381,973,10,78,134,254,380,1214,New confirmed cases by infection date,Likely decreasing,0.81
Oregon,189 (18 -- 1628),189,521,1975,18,81,139,249,427,1628,New confirmed cases by infection date,Likely decreasing,0.73
Alabama,188 (2 -- 1785),188,863,7894,2,54,120,283,501,1785,New confirmed cases by infection date,Likely decreasing,0.85
Kentucky,187 (7 -- 4965),187,2737,20648,7,55,123,288,574,4965,New confirmed cases by infection date,Likely decreasing,0.76
South Dakota,171 (21 -- 5584),171,6030,87800,21,77,121,250,531,5584,New confirmed cases by infection date,Stable,0.51
Maryland,118 (3 -- 2722),118,3254,45425,3,34,73,180,354,2722,New confirmed cases by infection date,Likely decreasing,0.77
Massachusetts,90 (7 -- 424),90,173,914,7,44,69,114,172,424,New confirmed cases by infection date,Likely decreasing,0.93
North Carolina,77 (1 -- 893),77,229,709,1,18,48,119,241,893,New confirmed cases by infection date,Likely decreasing,0.94
Vermont,74 (0 -- 70084),74,14804,78596,0,8,28,221,1366,70084,New confirmed cases by infection date,Likely increasing,0.34
Hawaii,69 (4 -- 513),69,160,569,4,30,51,93,145,513,New confirmed cases by infection date,Likely decreasing,0.64
Puerto Rico,55 (5 -- 636),55,247,1437,5,24,41,75,132,636,New confirmed cases by infection date,Likely decreasing,0.77
Delaware,54 (1 -- 427),54,155,745,1,20,40,72,112,427,New confirmed cases by infection date,Likely decreasing,0.81
Connecticut,42 (2 -- 214),42,79,223,2,18,31,51,78,214,New confirmed cases by infection date,Likely decreasing,0.87
Alaska,41 (2 -- 2304),41,1733,28625,2,14,29,59,134,2304,New confirmed cases by infection date,Likely decreasing,0.6
Rhode Island,34 (1 -- 306),34,243,2844,1,14,25,44,69,306,New confirmed cases by infection date,Likely decreasing,0.8
Maine,30 (0 -- 226),30,99,773,0,8,19,43,73,226,New confirmed cases by infection date,Likely decreasing,0.83
Montana,27 (0 -- 381),27,310,7175,0,3,13,48,104,381,New confirmed cases by infection date,Likely decreasing,0.84
New Hampshire,24 (0 -- 165),24,55,258,0,8,17,31,51,165,New confirmed cases by infection date,Likely decreasing,0.87
Oklahoma,24 (0 -- 2320),24,6767,123257,0,2,10,52,177,2320,New confirmed cases by infection date,Likely decreasing,0.81
North Dakota,20 (0 -- 192),20,69,538,0,4,13,30,51,192,New confirmed cases by infection date,Likely decreasing,0.83
Nebraska,15 (0 -- 236),15,119,1025,0,4,9,21,38,236,New confirmed cases by infection date,Likely decreasing,0.84
Ohio,6.2 (2.2 -- 9.4),6.2,6.1,2.3,2.2,4.4,5.5,7,8,9.4,Effective reproduction no.,Increasing,0.004
Guam,3 (0 -- 1848),3,1719,16838,0,0,1,9,37,1848,New confirmed cases by infection date,Stable,0.53
Missouri,1.9 (0.95 -- 5.4),1.9,2.4,1.5,0.95,1.3,1.7,2.3,2.9,5.4,Effective reproduction no.,Likely increasing,0.092
Vermont,1.3 (0.61 -- 5.6),1.3,2,1.7,0.61,0.9,1.1,1.6,2.4,5.6,Effective reproduction no.,Likely increasing,0.34
Utah,1.1 (0.49 -- 1.9),1.1,1.1,0.43,0.49,0.94,1,1.1,1.3,1.9,Effective reproduction no.,Likely increasing,0.37
Wyoming,1.1 (0.46 -- 1.6),1.1,1.1,0.37,0.46,0.94,1,1.1,1.2,1.6,Effective reproduction no.,Likely increasing,0.33
Idaho,1 (0.51 -- 1.6),1,1.1,0.43,0.51,0.93,0.99,1.1,1.1,1.6,Effective reproduction no.,Stable,0.43
Nevada,1 (0.75 -- 1.5),1,1.1,0.26,0.75,0.95,1,1.1,1.2,1.5,Effective reproduction no.,Likely increasing,0.38
South Dakota,1 (0.67 -- 2.2),1,1.2,0.61,0.67,0.9,0.96,1.1,1.2,2.2,Effective reproduction no.,Stable,0.51
Texas,1 (0.91 -- 1.4),1,1.1,0.18,0.91,0.96,0.98,1,1.1,1.4,Effective reproduction no.,Stable,0.48
Virgin Islands,1 (0 -- 159),1,95,1369,0,0,0,5,17,159,New confirmed cases by infection date,Likely decreasing,0.68
Arkansas,0.99 (0.72 -- 1.3),0.99,1,0.19,0.72,0.93,0.97,1,1.1,1.3,Effective reproduction no.,Stable,0.57
