region,estimate,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,metric,Expected change in daily cases
US,152183 (112861 -- 210342),152183,155300,31314,112861,133243,144626,159375,172452,210342,New confirmed cases by infection date,Unsure
California,17478 (9952 -- 31338),17478,18658,6864,9952,13999,16069,19234,22147,31338,New confirmed cases by infection date,Unsure
Texas,15497 (8813 -- 28795),15497,16810,6441,8813,12392,14351,16946,19876,28795,New confirmed cases by infection date,Unsure
Alabama,8562 (4176 -- 19539),8562,9838,5596,4176,6350,7584,9579,11666,19539,New confirmed cases by infection date,Unsure
Florida,8170 (4773 -- 14238),8170,8658,3058,4773,6549,7514,8818,10128,14238,New confirmed cases by infection date,Unsure
North Carolina,7225 (4321 -- 11657),7225,7478,2317,4321,5893,6692,7709,8688,11657,New confirmed cases by infection date,Unsure
Illinois,6934 (4980 -- 9973),6934,7097,1552,4980,5988,6605,7304,7915,9973,New confirmed cases by infection date,Likely increasing
Iowa,6549 (3315 -- 13248),6549,7210,3517,3315,4943,5823,7271,8531,13248,New confirmed cases by infection date,Likely increasing
Tennessee,5841 (3119 -- 12032),5841,6512,2959,3119,4464,5271,6554,7773,12032,New confirmed cases by infection date,Unsure
South Carolina,5742 (3233 -- 11460),5742,6341,2702,3233,4449,5209,6348,7573,11460,New confirmed cases by infection date,Unsure
Missouri,5454 (2900 -- 12788),5454,6344,3739,2900,4208,4953,6082,7316,12788,New confirmed cases by infection date,Unsure
Georgia,5420 (3394 -- 8932),5420,5711,1739,3394,4522,5089,5825,6548,8932,New confirmed cases by infection date,Unsure
Ohio,4780 (3226 -- 7570),4780,5004,1384,3226,4007,4480,5109,5749,7570,New confirmed cases by infection date,Unsure
Michigan,4707 (2694 -- 9266),4707,5192,2108,2694,3794,4318,5220,6091,9266,New confirmed cases by infection date,Likely increasing
Oklahoma,4579 (2315 -- 10873),4579,5299,2913,2315,3357,4045,5154,6370,10873,New confirmed cases by infection date,Unsure
Indiana,4062 (2384 -- 7865),4062,4465,1800,2384,3305,3754,4462,5177,7865,New confirmed cases by infection date,Unsure
Virginia,4046 (2495 -- 6868),4046,4287,1441,2495,3287,3744,4346,4994,6868,New confirmed cases by infection date,Unsure
Minnesota,3772 (2351 -- 6550),3772,4037,1340,2351,3113,3484,4082,4682,6550,New confirmed cases by infection date,Unsure
Louisiana,2956 (1393 -- 6947),2956,3415,1869,1393,2176,2632,3316,4113,6947,New confirmed cases by infection date,Unsure
South Dakota,2677 (1448 -- 6088),2677,3092,1585,1448,2035,2419,3031,3691,6088,New confirmed cases by infection date,Likely increasing
Kentucky,2658 (1319 -- 5043),2658,2856,1211,1319,2045,2422,2904,3412,5043,New confirmed cases by infection date,Unsure
New York,2486 (1818 -- 3967),2486,2632,713,1818,2139,2344,2631,2959,3967,New confirmed cases by infection date,Unsure
Pennsylvania,2435 (1616 -- 4420),2435,2647,896,1616,2055,2272,2633,3020,4420,New confirmed cases by infection date,Unsure
Arkansas,2201 (1414 -- 3868),2201,2368,823,1414,1824,2051,2380,2699,3868,New confirmed cases by infection date,Unsure
Mississippi,2176 (1068 -- 4664),2176,2463,1296,1068,1638,1962,2432,2931,4664,New confirmed cases by infection date,Unsure
Maryland,1922 (1058 -- 3714),1922,2093,861,1058,1500,1755,2105,2489,3714,New confirmed cases by infection date,Unsure
Kansas,1889 (863 -- 3653),1889,2034,901,863,1418,1699,2096,2505,3653,New confirmed cases by infection date,Unsure
Wisconsin,1736 (991 -- 2748),1736,1793,565,991,1406,1619,1856,2124,2748,New confirmed cases by infection date,Unsure
Nebraska,1724 (958 -- 3969),1724,2019,1110,958,1316,1539,1958,2396,3969,New confirmed cases by infection date,Unsure
Utah,1715 (1098 -- 2889),1715,1826,575,1098,1418,1610,1863,2101,2889,New confirmed cases by infection date,Unsure
Washington,1431 (810 -- 2791),1431,1568,640,810,1145,1326,1572,1817,2791,New confirmed cases by infection date,Unsure
North Dakota,1378 (663 -- 2886),1378,1523,711,663,1025,1249,1533,1851,2886,New confirmed cases by infection date,Likely increasing
Guam,1359 (234 -- 8026),1359,2481,4550,234,734,1080,1710,2509,8026,New confirmed cases by infection date,Unsure
Massachusetts,1296 (919 -- 1931),1296,1341,314,919,1117,1230,1363,1504,1931,New confirmed cases by infection date,Unsure
Nevada,1279 (736 -- 2248),1279,1367,508,736,1028,1178,1387,1618,2248,New confirmed cases by infection date,Unsure
New Jersey,1221 (699 -- 2530),1221,1378,766,699,981,1127,1337,1546,2530,New confirmed cases by infection date,Unsure
Arizona,1170 (599 -- 2383),1170,1304,679,599,888,1062,1301,1540,2383,New confirmed cases by infection date,Unsure
Hawaii,972 (334 -- 2684),972,1183,871,334,635,827,1123,1451,2684,New confirmed cases by infection date,Unsure
Colorado,906 (504 -- 1657),906,974,371,504,725,833,991,1161,1657,New confirmed cases by infection date,Unsure
Idaho,830 (322 -- 2498),830,1058,909,322,562,721,967,1258,2498,New confirmed cases by infection date,Unsure
Puerto Rico,776 (217 -- 2818),776,1087,1329,217,470,643,949,1277,2818,New confirmed cases by infection date,Unsure
Connecticut,735 (373 -- 2207),735,994,1345,373,548,660,832,1063,2207,New confirmed cases by infection date,Unsure
