date,confirm,region
2020-06-08,491,Alabama
2020-06-09,566,Alabama
2020-06-10,825,Alabama
2020-06-11,711,Alabama
2020-06-12,1035,Alabama
2020-06-13,959,Alabama
2020-06-14,818,Alabama
2020-06-15,303,Alabama
2020-06-16,549,Alabama
2020-06-17,907,Alabama
2020-06-18,735,Alabama
2020-06-19,549,Alabama
2020-06-20,458,Alabama
2020-06-21,439,Alabama
2020-06-22,649,Alabama
2020-06-23,1118,Alabama
2020-06-24,989,Alabama
2020-06-25,1002,Alabama
2020-06-26,1023,Alabama
2020-06-27,180,Alabama
2020-06-28,1420,Alabama
2020-06-29,1086,Alabama
2020-06-30,888,Alabama
2020-07-01,1170,Alabama
2020-07-02,1693,Alabama
2020-07-03,915,Alabama
2020-07-04,961,Alabama
2020-07-05,806,Alabama
2020-07-06,910,Alabama
2020-07-07,1416,Alabama
2020-07-08,1801,Alabama
2020-07-09,1546,Alabama
2020-07-10,1634,Alabama
2020-07-11,1473,Alabama
2020-07-12,1979,Alabama
2020-07-13,1387,Alabama
2020-07-14,2116,Alabama
2020-07-15,1910,Alabama
2020-07-16,1934,Alabama
2020-07-17,2024,Alabama
2020-07-18,2029,Alabama
2020-07-19,1552,Alabama
2020-07-20,1503,Alabama
2020-07-21,1364,Alabama
2020-07-22,1994,Alabama
2020-07-23,2091,Alabama
2020-07-24,2110,Alabama
2020-07-25,1393,Alabama
2020-07-26,1760,Alabama
2020-07-27,1308,Alabama
2020-07-28,1442,Alabama
2020-07-29,1954,Alabama
2020-07-30,2012,Alabama
2020-07-31,1602,Alabama
2020-08-01,2033,Alabama
2020-08-02,1159,Alabama
2020-08-03,1044,Alabama
2020-08-04,955,Alabama
2020-08-05,1866,Alabama
2020-08-06,1721,Alabama
2020-08-07,1851,Alabama
2020-08-08,959,Alabama
2020-08-09,1612,Alabama
2020-08-10,925,Alabama
2020-08-11,1094,Alabama
2020-08-12,734,Alabama
2020-08-13,757,Alabama
2020-08-14,1120,Alabama
2020-08-15,830,Alabama
2020-08-16,741,Alabama
2020-08-17,1425,Alabama
2020-08-18,1323,Alabama
2020-08-19,1281,Alabama
2020-08-20,1041,Alabama
2020-08-21,1475,Alabama
2020-08-22,597,Alabama
2020-08-23,676,Alabama
2020-08-24,560,Alabama
2020-08-25,2145,Alabama
2020-08-26,1714,Alabama
2020-08-27,1137,Alabama
2020-08-28,1838,Alabama
2020-08-29,1276,Alabama
2020-08-30,789,Alabama
2020-08-31,1556,Alabama
2020-06-08,19,Alaska
2020-06-09,13,Alaska
2020-06-10,22,Alaska
2020-06-11,27,Alaska
2020-06-12,21,Alaska
2020-06-13,34,Alaska
2020-06-14,12,Alaska
2020-06-15,4,Alaska
2020-06-16,14,Alaska
2020-06-17,25,Alaska
2020-06-18,19,Alaska
2020-06-19,28,Alaska
