region,estimate,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,metric,Expected change in daily cases
US,194415 (146647 -- 268105),194415,199120,38388,146647,171530,185896,203922,220355,268105,New confirmed cases by infection date,Unsure
Illinois,14691 (9806 -- 25041),14691,15716,4975,9806,12401,13752,15865,18152,25041,New confirmed cases by infection date,Likely increasing
Florida,13925 (8551 -- 27133),13925,15436,6403,8551,11130,12764,15271,17691,27133,New confirmed cases by infection date,Unsure
Texas,12688 (4731 -- 25153),12688,13481,6830,4731,8994,11369,14108,16648,25153,New confirmed cases by infection date,Unsure
California,11414 (7207 -- 18983),11414,12052,3869,7207,9414,10646,12283,13932,18983,New confirmed cases by infection date,Unsure
Tennessee,10718 (6213 -- 21909),10718,12013,5678,6213,8409,9806,11720,14030,21909,New confirmed cases by infection date,Unsure
Wisconsin,10603 (6200 -- 20202),10603,11529,4342,6200,8590,9803,11582,13513,20202,New confirmed cases by infection date,Unsure
North Carolina,9787 (5679 -- 19686),9787,10772,4514,5679,7744,8912,10757,12667,19686,New confirmed cases by infection date,Unsure
Indiana,9279 (5897 -- 15900),9279,9850,3222,5897,7623,8590,10006,11411,15900,New confirmed cases by infection date,Unsure
Ohio,8036 (5279 -- 12760),8036,8383,2414,5279,6691,7490,8600,9710,12760,New confirmed cases by infection date,Unsure
Michigan,6652 (4327 -- 11463),6652,7096,2339,4327,5496,6171,7149,8143,11463,New confirmed cases by infection date,Likely increasing
Pennsylvania,5906 (3832 -- 9221),5906,6155,1771,3832,4987,5523,6321,7064,9221,New confirmed cases by infection date,Unsure
Oklahoma,5848 (3309 -- 11646),5848,6477,3025,3309,4647,5393,6412,7464,11646,New confirmed cases by infection date,Unsure
Missouri,5759 (3258 -- 10192),5759,6149,2438,3258,4655,5310,6232,7108,10192,New confirmed cases by infection date,Unsure
Kentucky,5376 (3205 -- 9281),5376,5698,2007,3205,4350,4953,5821,6626,9281,New confirmed cases by infection date,Unsure
Minnesota,5297 (2523 -- 10639),5297,5804,2831,2523,4085,4786,5848,6761,10639,New confirmed cases by infection date,Unsure
