forecast_date,target,target_end_date,location,type,quantile,value
22/06/2020,1 wk ahead inc death,27/06/2020,4,quantile,0.01,48.66666667
22/06/2020,1 wk ahead inc death,27/06/2020,4,quantile,0.03,61.33333333
22/06/2020,1 wk ahead inc death,27/06/2020,4,quantile,0.05,70
22/06/2020,1 wk ahead inc death,27/06/2020,4,quantile,0.1,79.33333333
22/06/2020,1 wk ahead inc death,27/06/2020,4,quantile,0.15,85
22/06/2020,1 wk ahead inc death,27/06/2020,4,quantile,0.2,90.66666667
22/06/2020,1 wk ahead inc death,27/06/2020,4,quantile,0.25,96
22/06/2020,1 wk ahead inc death,27/06/2020,4,quantile,0.3,101
22/06/2020,1 wk ahead inc death,27/06/2020,4,quantile,0.35,105
22/06/2020,1 wk ahead inc death,27/06/2020,4,quantile,0.4,109.3333333
22/06/2020,1 wk ahead inc death,27/06/2020,4,quantile,0.45,112.6666667
22/06/2020,1 wk ahead inc death,27/06/2020,4,quantile,0.5,116.3333333
22/06/2020,1 wk ahead inc death,27/06/2020,4,quantile,0.55,120.6666667
22/06/2020,1 wk ahead inc death,27/06/2020,4,quantile,0.6,124.3333333
22/06/2020,1 wk ahead inc death,27/06/2020,4,quantile,0.65,128.3333333
22/06/2020,1 wk ahead inc death,27/06/2020,4,quantile,0.7,132.6666667
22/06/2020,1 wk ahead inc death,27/06/2020,4,quantile,0.75,138
22/06/2020,1 wk ahead inc death,27/06/2020,4,quantile,0.8,143.3333333
22/06/2020,1 wk ahead inc death,27/06/2020,4,quantile,0.85,151
22/06/2020,1 wk ahead inc death,27/06/2020,4,quantile,0.9,160
22/06/2020,1 wk ahead inc death,27/06/2020,4,quantile,0.95,173
22/06/2020,1 wk ahead inc death,27/06/2020,4,quantile,0.98,186
22/06/2020,1 wk ahead inc death,27/06/2020,4,quantile,0.99,197
22/06/2020,2 wk ahead inc death,04/07/2020,4,quantile,0.01,35
22/06/2020,2 wk ahead inc death,04/07/2020,4,quantile,0.03,45.33333333
