forecast_date,target,target_end_date,location,type,quantile,value
2020-06-15,1 wk ahead inc death,2020-06-20,01,quantile,0.01,35
2020-06-15,1 wk ahead inc death,2020-06-20,01,quantile,0.025,52
2020-06-15,1 wk ahead inc death,2020-06-20,01,quantile,0.05,62
2020-06-15,1 wk ahead inc death,2020-06-20,01,quantile,0.1,74
2020-06-15,1 wk ahead inc death,2020-06-20,01,quantile,0.15,81
2020-06-15,1 wk ahead inc death,2020-06-20,01,quantile,0.2,87
2020-06-15,1 wk ahead inc death,2020-06-20,01,quantile,0.25,93
2020-06-15,1 wk ahead inc death,2020-06-20,01,quantile,0.3,99
2020-06-15,1 wk ahead inc death,2020-06-20,01,quantile,0.35,105
2020-06-15,1 wk ahead inc death,2020-06-20,01,quantile,0.4,113
2020-06-15,1 wk ahead inc death,2020-06-20,01,quantile,0.45,118
2020-06-15,1 wk ahead inc death,2020-06-20,01,quantile,0.5,124
2020-06-15,1 wk ahead inc death,2020-06-20,01,quantile,0.55,132
2020-06-15,1 wk ahead inc death,2020-06-20,01,quantile,0.6,139
2020-06-15,1 wk ahead inc death,2020-06-20,01,quantile,0.65,149
2020-06-15,1 wk ahead inc death,2020-06-20,01,quantile,0.7,160
2020-06-15,1 wk ahead inc death,2020-06-20,01,quantile,0.75,173
2020-06-15,1 wk ahead inc death,2020-06-20,01,quantile,0.8,189
2020-06-15,1 wk ahead inc death,2020-06-20,01,quantile,0.85,206
2020-06-15,1 wk ahead inc death,2020-06-20,01,quantile,0.9,233
2020-06-15,1 wk ahead inc death,2020-06-20,01,quantile,0.95,272
2020-06-15,1 wk ahead inc death,2020-06-20,01,quantile,0.975,329
2020-06-15,1 wk ahead inc death,2020-06-20,01,quantile,0.99,387
2020-06-15,2 wk ahead inc death,2020-06-27,01,quantile,0.01,23
2020-06-15,2 wk ahead inc death,2020-06-27,01,quantile,0.025,34
2020-06-15,2 wk ahead inc death,2020-06-27,01,quantile,0.05,44
2020-06-15,2 wk ahead inc death,2020-06-27,01,quantile,0.1,62
2020-06-15,2 wk ahead inc death,2020-06-27,01,quantile,0.15,78
2020-06-15,2 wk ahead inc death,2020-06-27,01,quantile,0.2,87
2020-06-15,2 wk ahead inc death,2020-06-27,01,quantile,0.25,96
2020-06-15,2 wk ahead inc death,2020-06-27,01,quantile,0.3,106
2020-06-15,2 wk ahead inc death,2020-06-27,01,quantile,0.35,115
2020-06-15,2 wk ahead inc death,2020-06-27,01,quantile,0.4,128
2020-06-15,2 wk ahead inc death,2020-06-27,01,quantile,0.45,140
2020-06-15,2 wk ahead inc death,2020-06-27,01,quantile,0.5,154
2020-06-15,2 wk ahead inc death,2020-06-27,01,quantile,0.55,167
2020-06-15,2 wk ahead inc death,2020-06-27,01,quantile,0.6,180
2020-06-15,2 wk ahead inc death,2020-06-27,01,quantile,0.65,198
2020-06-15,2 wk ahead inc death,2020-06-27,01,quantile,0.7,220
2020-06-15,2 wk ahead inc death,2020-06-27,01,quantile,0.75,244
2020-06-15,2 wk ahead inc death,2020-06-27,01,quantile,0.8,277
2020-06-15,2 wk ahead inc death,2020-06-27,01,quantile,0.85,323
2020-06-15,2 wk ahead inc death,2020-06-27,01,quantile,0.9,398
2020-06-15,2 wk ahead inc death,2020-06-27,01,quantile,0.95,515
2020-06-15,2 wk ahead inc death,2020-06-27,01,quantile,0.975,697
2020-06-15,2 wk ahead inc death,2020-06-27,01,quantile,0.99,875
