date,confirm,region
2020-10-05,759,Alabama
2020-10-06,1009,Alabama
2020-10-07,600,Alabama
2020-10-08,1598,Alabama
2020-10-09,1214,Alabama
2020-10-10,801,Alabama
2020-10-11,716,Alabama
2020-10-12,1100,Alabama
2020-10-13,882,Alabama
2020-10-14,1224,Alabama
2020-10-15,1225,Alabama
2020-10-16,1312,Alabama
2020-10-17,980,Alabama
2020-10-18,865,Alabama
2020-10-19,1076,Alabama
2020-10-20,1132,Alabama
2020-10-21,1395,Alabama
2020-10-22,3832,Alabama
2020-10-23,2130,Alabama
2020-10-24,1264,Alabama
2020-10-25,892,Alabama
2020-10-26,1215,Alabama
2020-10-27,1329,Alabama
2020-10-28,1508,Alabama
2020-10-29,1338,Alabama
2020-10-30,1819,Alabama
2020-10-31,1681,Alabama
2020-11-01,845,Alabama
2020-11-02,1234,Alabama
2020-11-03,1812,Alabama
2020-11-04,1423,Alabama
2020-11-05,1601,Alabama
2020-11-06,1603,Alabama
2020-11-07,1387,Alabama
2020-11-08,1147,Alabama
2020-11-09,1858,Alabama
2020-11-10,39,Alabama
2020-11-11,2075,Alabama
2020-11-12,2000,Alabama
2020-11-13,2980,Alabama
2020-11-14,2226,Alabama
2020-11-15,1979,Alabama
2020-11-16,1410,Alabama
2020-11-17,1616,Alabama
2020-11-18,2638,Alabama
2020-11-19,2424,Alabama
2020-11-20,2463,Alabama
2020-11-21,2335,Alabama
2020-11-22,1798,Alabama
2020-11-23,1574,Alabama
2020-11-24,2785,Alabama
2020-11-25,2453,Alabama
2020-11-26,2639,Alabama
2020-11-27,917,Alabama
2020-11-28,2119,Alabama
2020-11-29,2236,Alabama
2020-11-30,2295,Alabama
2020-12-01,3376,Alabama
2020-12-02,3928,Alabama
2020-12-03,3531,Alabama
2020-12-04,3840,Alabama
2020-12-05,3390,Alabama
2020-12-06,2288,Alabama
2020-12-07,2352,Alabama
2020-12-08,4436,Alabama
2020-12-09,3522,Alabama
2020-12-10,4735,Alabama
2020-12-11,3853,Alabama
2020-12-12,4066,Alabama
2020-12-13,2790,Alabama
2020-12-14,2264,Alabama
2020-12-15,3638,Alabama
2020-12-16,4107,Alabama
2020-12-17,4695,Alabama
2020-12-18,5348,Alabama
2020-12-19,4221,Alabama
2020-12-20,2548,Alabama
2020-12-21,2380,Alabama
2020-12-22,4979,Alabama
2020-12-23,4758,Alabama
2020-12-24,4232,Alabama
2020-12-25,3625,Alabama
2020-12-26,1032,Alabama
2020-12-27,2170,Alabama
2020-10-05,199,Alaska
2020-10-06,151,Alaska
2020-10-07,122,Alaska
2020-10-08,140,Alaska
2020-10-09,189,Alaska
2020-10-10,233,Alaska
2020-10-11,250,Alaska
2020-10-12,196,Alaska
2020-10-13,159,Alaska
2020-10-14,168,Alaska
2020-10-15,170,Alaska
2020-10-16,224,Alaska
2020-10-17,210,Alaska
2020-10-18,214,Alaska
2020-10-19,204,Alaska
2020-10-20,233,Alaska
2020-10-21,224,Alaska
2020-10-22,237,Alaska
2020-10-23,252,Alaska
2020-10-24,357,Alaska
2020-10-25,525,Alaska
2020-10-26,347,Alaska
2020-10-27,381,Alaska
2020-10-28,357,Alaska
2020-10-29,367,Alaska
2020-10-30,386,Alaska
2020-10-31,447,Alaska
2020-11-01,350,Alaska
2020-11-02,352,Alaska
2020-11-03,391,Alaska
2020-11-04,412,Alaska
2020-11-05,314,Alaska
2020-11-06,525,Alaska
2020-11-07,607,Alaska
2020-11-08,520,Alaska
2020-11-09,474,Alaska
2020-11-10,532,Alaska
2020-11-11,499,Alaska
2020-11-12,481,Alaska
2020-11-13,593,Alaska
2020-11-14,748,Alaska
2020-11-15,661,Alaska
2020-11-16,585,Alaska
2020-11-17,642,Alaska
2020-11-18,547,Alaska
2020-11-19,493,Alaska
2020-11-20,463,Alaska
2020-11-21,680,Alaska
2020-11-22,549,Alaska
2020-11-23,500,Alaska
2020-11-24,590,Alaska
2020-11-25,680,Alaska
2020-11-26,559,Alaska
2020-11-27,674,Alaska
2020-11-28,668,Alaska
2020-11-29,621,Alaska
2020-11-30,511,Alaska
2020-12-01,539,Alaska
2020-12-02,687,Alaska
2020-12-03,761,Alaska
2020-12-04,762,Alaska
2020-12-05,946,Alaska
2020-12-06,765,Alaska
2020-12-07,503,Alaska
2020-12-08,577,Alaska
2020-12-09,591,Alaska
2020-12-10,638,Alaska
2020-12-11,630,Alaska
2020-12-12,522,Alaska
2020-12-13,646,Alaska
2020-12-14,430,Alaska
2020-12-15,285,Alaska
2020-12-16,615,Alaska
2020-12-17,383,Alaska
2020-12-18,496,Alaska
2020-12-19,336,Alaska
2020-12-20,183,Alaska
2020-12-21,152,Alaska
