region,estimate,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,metric,Expected change in daily cases
US,124934 (76941 -- 209230),124934,130986,40525,76941,102093,116125,134114,152003,209230,New confirmed cases by infection date,Unsure
California,17140 (11242 -- 29900),17140,18624,6689,11242,14368,16027,18512,21124,29900,New confirmed cases by infection date,Increasing
Florida,17092 (7906 -- 40863),17092,19807,11248,7906,12437,15240,19297,23611,40863,New confirmed cases by infection date,Unsure
Texas,12650 (5328 -- 30270),12650,14651,9836,5328,9009,11112,14280,17826,30270,New confirmed cases by infection date,Unsure
Arizona,9342 (3464 -- 19762),9342,10258,5146,3464,6923,8388,10560,12584,19762,New confirmed cases by infection date,Likely increasing
North Carolina,7482 (4802 -- 11777),7482,7749,2153,4802,6205,7008,7932,8828,11777,New confirmed cases by infection date,Increasing
South Carolina,5591 (2500 -- 13642),5591,6456,4035,2500,4022,4924,6208,7581,13642,New confirmed cases by infection date,Unsure
Georgia,5020 (2617 -- 10373),5020,5601,2970,2617,3756,4496,5510,6619,10373,New confirmed cases by infection date,Unsure
Louisiana,4348 (1373 -- 16248),4348,6063,6147,1373,2758,3622,5205,6935,16248,New confirmed cases by infection date,Unsure
Alabama,4078 (2365 -- 8830),4078,4653,2507,2365,3184,3710,4506,5396,8830,New confirmed cases by infection date,Increasing
Arkansas,3258 (1386 -- 8077),3258,3915,3092,1386,2277,2881,3771,4673,8077,New confirmed cases by infection date,Likely increasing
Indiana,2767 (1281 -- 8475),2767,3717,3603,1281,1992,2447,3163,4212,8475,New confirmed cases by infection date,Unsure
Tennessee,2688 (1597 -- 5111),2688,2957,1294,1597,2206,2482,2919,3393,5111,New confirmed cases by infection date,Likely increasing
New York,2061 (1195 -- 3873),2061,2231,861,1195,1661,1897,2257,2596,3873,New confirmed cases by infection date,Likely decreasing
Utah,1869 (998 -- 3440),1869,2011,832,998,1478,1715,2035,2375,3440,New confirmed cases by infection date,Likely increasing
Washington,1833 (899 -- 3637),1833,2017,974,899,1406,1663,2038,2394,3637,New confirmed cases by infection date,Unsure
Illinois,1774 (925 -- 4132),1774,2061,1200,925,1337,1598,1991,2411,4132,New confirmed cases by infection date,Unsure
Pennsylvania,1726 (729 -- 4015),1726,1997,1177,729,1237,1522,1990,2492,4015,New confirmed cases by infection date,Unsure
Oregon,1691 (614 -- 4997),1691,2140,1650,614,1105,1457,2005,2672,4997,New confirmed cases by infection date,Unsure
Virginia,1589 (728 -- 3946),1589,1895,1211,728,1159,1420,1823,2250,3946,New confirmed cases by infection date,Unsure
Maryland,1522 (644 -- 5202),1522,2862,9516,644,1085,1346,1733,2219,5202,New confirmed cases by infection date,Unsure
Ohio,1518 (772 -- 3315),1518,1723,903,772,1159,1365,1702,2041,3315,New confirmed cases by infection date,Unsure
Oklahoma,1508 (670 -- 4357),1508,1869,1340,670,1037,1317,1728,2262,4357,New confirmed cases by infection date,Unsure
Mississippi,1487 (818 -- 2575),1487,1572,564,818,1184,1381,1614,1863,2575,New confirmed cases by infection date,Unsure
Iowa,1065 (425 -- 2558),1065,1222,727,425,719,926,1220,1517,2558,New confirmed cases by infection date,Unsure
