region,estimate,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,metric,Expected change in daily cases
US,442916 (328950 -- 630096),442916,456265,94769,328950,390205,422045,464830,508248,630096,New confirmed cases by infection date,Unsure
Texas,98950 (42689 -- 290469),98950,125786,102719,42689,68507,85000,114967,147284,290469,New confirmed cases by infection date,Unsure
Illinois,41507 (27925 -- 66140),41507,43680,12313,27925,35116,38882,44432,50023,66140,New confirmed cases by infection date,Unsure
Michigan,26735 (17363 -- 44829),26735,28375,8857,17363,22202,24831,28785,32553,44829,New confirmed cases by infection date,Likely increasing
Florida,22987 (14541 -- 39073),22987,24590,8623,14541,19123,21501,24931,28297,39073,New confirmed cases by infection date,Unsure
Iowa,22601 (10814 -- 54680),22601,26299,14915,10814,16484,20248,25499,31546,54680,New confirmed cases by infection date,Likely increasing
California,18197 (11803 -- 27838),18197,18815,5097,11803,15293,17062,19384,21573,27838,New confirmed cases by infection date,Unsure
Ohio,16364 (10998 -- 26310),16364,17239,5023,10998,13691,15278,17544,19817,26310,New confirmed cases by infection date,Unsure
Wisconsin,16229 (5119 -- 35523),16229,17867,9961,5119,10809,14093,18731,23298,35523,New confirmed cases by infection date,Unsure
Indiana,16053 (10136 -- 25828),16053,16743,5014,10136,13280,14857,17214,19340,25828,New confirmed cases by infection date,Unsure
Minnesota,15047 (9024 -- 27550),15047,16295,6327,9024,12141,13856,16267,18984,27550,New confirmed cases by infection date,Likely increasing
Colorado,14899 (8461 -- 26571),14899,15941,6017,8461,11797,13666,16260,18837,26571,New confirmed cases by infection date,Likely increasing
Pennsylvania,10832 (7466 -- 17285),10832,11380,3254,7466,9225,10173,11503,12869,17285,New confirmed cases by infection date,Likely increasing
Missouri,10678 (6619 -- 22987),10678,12389,7218,6619,8503,9830,11834,13921,22987,New confirmed cases by infection date,Likely increasing
New York,10278 (6185 -- 17068),10278,10813,3466,6185,8300,9516,11142,12688,17068,New confirmed cases by infection date,Likely increasing
North Carolina,9943 (5844 -- 16750),9943,10527,3708,5844,8117,9219,10726,12379,16750,New confirmed cases by infection date,Unsure
Tennessee,9905 (4904 -- 18239),9905,10576,4402,4904,7748,9005,10774,12633,18239,New confirmed cases by infection date,Unsure
Kentucky,8943 (5286 -- 16158),8943,9571,3513,5286,7231,8241,9690,11196,16158,New confirmed cases by infection date,Likely increasing
New Jersey,8191 (4969 -- 13932),8191,8698,2941,4969,6712,7679,8807,10090,13932,New confirmed cases by infection date,Likely increasing
