Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Alabama,3798 (222 -- 18359),Unsure,1 (0.5 -- 1.3),0.0026 (-0.15 -- 0.082),270 (8.4 -- -4.8)
Alaska,366 (28 -- 3329),Unsure,1 (0.57 -- 1.6),0.0099 (-0.12 -- 0.15),70 (4.8 -- -5.6)
Arizona,7977 (711 -- 264181),Unsure,1.1 (0.54 -- 2.9),0.029 (-0.14 -- 0.43),24 (1.6 -- -5)
Arkansas,3544 (1035 -- 9186),Unsure,1 (0.75 -- 1.2),-0.0013 (-0.07 -- 0.048),-520 (14 -- -9.8)
California,13733 (3339 -- 44938),Unsure,1 (0.67 -- 1.3),0.0095 (-0.097 -- 0.084),73 (8.2 -- -7.1)
Colorado,12778 (1999 -- 52455),Likely increasing,1.1 (0.68 -- 1.4),0.033 (-0.094 -- 0.096),21 (7.2 -- -7.4)
Connecticut,6335 (2294 -- 20154),Increasing,1.2 (0.96 -- 1.5),0.045 (-0.011 -- 0.12),16 (5.6 -- -64)
Delaware,600 (129 -- 3611),Unsure,1 (0.75 -- 1.5),0.01 (-0.073 -- 0.12),69 (5.8 -- -9.6)
District of Columbia,306 (19 -- 2379),Unsure,1 (0.49 -- 1.5),0.013 (-0.15 -- 0.14),52 (4.9 -- -4.5)
Florida,35680 (8430 -- 259787),Unsure,1.2 (0.8 -- 1.9),0.047 (-0.055 -- 0.21),15 (3.2 -- -13)
Georgia,6130 (1688 -- 23798),Unsure,0.99 (0.7 -- 1.3),-0.0016 (-0.086 -- 0.071),-430 (9.7 -- -8.1)
Guam,126 (8 -- 619),Unsure,0.96 (0.49 -- 1.2),-0.01 (-0.15 -- 0.065),-68 (11 -- -4.5)
Hawaii,1756 (40 -- 67090),Unsure,1.3 (0.37 -- 3.4),0.091 (-0.19 -- 0.54),7.6 (1.3 -- -3.6)
Idaho,2293 (388 -- 8657),Unsure,1.1 (0.67 -- 1.4),0.014 (-0.094 -- 0.11),49 (6.3 -- -7.4)
Illinois,39500 (12215 -- 91475),Likely increasing,1.1 (0.8 -- 1.3),0.027 (-0.056 -- 0.072),26 (9.6 -- -12)
Indiana,10940 (4417 -- 21960),Likely increasing,1.1 (0.86 -- 1.2),0.014 (-0.039 -- 0.047),50 (15 -- -18)
Iowa,8263 (3751 -- 18905),Increasing,1.1 (0.93 -- 1.3),0.025 (-0.019 -- 0.07),27 (10 -- -36)
Kansas,2569 (570 -- 19871),Unsure,1 (0.74 -- 1.5),0.0032 (-0.073 -- 0.14),210 (5.1 -- -9.5)
Kentucky,3545 (1697 -- 10813),Likely increasing,1.1 (0.91 -- 1.3),0.017 (-0.025 -- 0.084),40 (8.3 -- -28)
Louisiana,3272 (1019 -- 10264),Unsure,1 (0.74 -- 1.3),0.0077 (-0.074 -- 0.071),90 (9.8 -- -9.4)
