region,estimate,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,metric,Expected change in daily cases
US,337918 (153437 -- 631786),337918,357663,163408,153437,255244,305841,364898,426830,631786,New confirmed cases by infection date,Unsure
Michigan,75595 (19914 -- 295404),75595,113040,173789,19914,46054,63563,90892,129151,295404,New confirmed cases by infection date,Likely increasing
Illinois,39500 (12215 -- 91475),39500,44630,27785,12215,27147,34511,45160,56094,91475,New confirmed cases by infection date,Likely increasing
Florida,35680 (8430 -- 259787),35680,75589,201116,8430,19843,28756,45217,68841,259787,New confirmed cases by infection date,Unsure
Ohio,24493 (5744 -- 107262),24493,45995,251625,5744,14106,19862,30391,41734,107262,New confirmed cases by infection date,Unsure
Pennsylvania,22078 (3785 -- 81184),22078,30391,30651,3785,13303,18212,26656,37871,81184,New confirmed cases by infection date,Likely increasing
New York,17009 (3794 -- 85886),17009,30519,65808,3794,9537,13673,21394,31763,85886,New confirmed cases by infection date,Unsure
Texas,14116 (137 -- 67771),14116,21101,27128,137,771,8798,19493,29906,67771,New confirmed cases by infection date,Unsure
Minnesota,13917 (5199 -- 30748),13917,15582,8917,5199,10232,12450,15530,18908,30748,New confirmed cases by infection date,Likely increasing
California,13733 (3339 -- 44938),13733,18039,19957,3339,8478,11447,16137,21426,44938,New confirmed cases by infection date,Unsure
Colorado,12778 (1999 -- 52455),12778,19770,37501,1999,7225,10321,15065,21366,52455,New confirmed cases by infection date,Likely increasing
Indiana,10940 (4417 -- 21960),10940,11965,7006,4417,8052,9878,12244,14556,21960,New confirmed cases by infection date,Likely increasing
Maryland,10501 (3962 -- 25697),10501,12242,7835,3962,7311,9216,11969,15027,25697,New confirmed cases by infection date,Likely increasing
Tennessee,10305 (3088 -- 29710),10305,12840,11874,3088,7122,8914,11822,14937,29710,New confirmed cases by infection date,Likely increasing
Nevada,8706 (2149 -- 43034),8706,14700,26237,2149,4943,6911,10983,15979,43034,New confirmed cases by infection date,Unsure
