Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Alabama,2545 (497 -- 22040),Likely increasing,1 (0.72 -- 1.6),0.0098 (-0.078 -- 0.14),71 (4.8 -- -8.8)
Alaska,266 (5 -- 1000280),Likely increasing,1.1 (0.54 -- 7.8),0.036 (-0.14 -- 1.3),19 (0.55 -- -5.1)
Arizona,1354 (273 -- 6483),Likely decreasing,0.98 (0.7 -- 1.4),-0.0051 (-0.088 -- 0.11),-140 (6.4 -- -7.9)
Arkansas,191 (28 -- 824),Likely decreasing,0.93 (0.59 -- 1.3),-0.019 (-0.12 -- 0.084),-37 (8.3 -- -5.8)
California,1975 (900 -- 4871),Likely decreasing,0.93 (0.77 -- 1.1),-0.019 (-0.065 -- 0.038),-37 (18 -- -11)
Colorado,2393 (760 -- 11162),Likely increasing,1 (0.83 -- 1.3),0.0081 (-0.048 -- 0.086),85 (8 -- -14)
Connecticut,137 (14 -- 781),Likely decreasing,0.84 (0.48 -- 1.2),-0.046 (-0.15 -- 0.062),-15 (11 -- -4.5)
Delaware,105 (9 -- 790),Likely decreasing,0.92 (0.51 -- 1.3),-0.024 (-0.15 -- 0.076),-29 (9.1 -- -4.8)
District of Columbia,8 (0 -- 160),Likely decreasing,0.69 (0.04 -- 1.3),-0.089 (-0.34 -- 0.076),-7.8 (9.2 -- -2)
Florida,2876 (305 -- 28087),Likely decreasing,0.91 (0.53 -- 1.7),-0.026 (-0.14 -- 0.17),-26 (4 -- -5)
Georgia,4032 (1339 -- 17817),Stable,1 (0.79 -- 1.4),0.0063 (-0.059 -- 0.11),110 (6.4 -- -12)
Guam,0 (0 -- 28),Likely decreasing,0.36 (0.0014 -- 2),-0.2 (-0.38 -- 0.25),-3.5 (2.7 -- -1.8)
Hawaii,59 (2 -- 370),Likely decreasing,0.95 (0.44 -- 1.3),-0.013 (-0.17 -- 0.077),-54 (8.9 -- -4)
Idaho,233 (22 -- 1953),Likely decreasing,0.97 (0.58 -- 1.4),-0.0096 (-0.12 -- 0.11),-72 (6.3 -- -5.8)
Illinois,1935 (548 -- 5598),Likely decreasing,0.9 (0.63 -- 1.1),-0.029 (-0.11 -- 0.033),-24 (21 -- -6.4)
Indiana,1837 (616 -- 6740),Stable,1 (0.81 -- 1.3),-8.5e-05 (-0.054 -- 0.071),-8200 (9.8 -- -13)
Iowa,494 (103 -- 4088),Stable,0.98 (0.68 -- 1.5),-0.0046 (-0.091 -- 0.13),-150 (5.2 -- -7.6)
Kansas,396 (59 -- 3971),Stable,0.99 (0.67 -- 1.5),-0.0023 (-0.098 -- 0.14),-310 (4.9 -- -7.1)
Kentucky,1821 (230 -- 7377),Stable,0.99 (0.57 -- 1.3),-0.003 (-0.13 -- 0.076),-230 (9.1 -- -5.3)
Louisiana,659 (196 -- 1922),Likely decreasing,0.97 (0.76 -- 1.2),-0.0083 (-0.068 -- 0.058),-83 (12 -- -10)
Maine,189 (16 -- 960),Likely decreasing,0.96 (0.54 -- 1.2),-0.012 (-0.14 -- 0.067),-59 (10 -- -5)
Maryland,113 (0 -- 2870),Likely decreasing,0.55 (0.04 -- 1.1),-0.13 (-0.35 -- 0.027),-5.2 (25 -- -2)
Massachusetts,391 (62 -- 1201),Likely decreasing,0.91 (0.57 -- 1.2),-0.024 (-0.13 -- 0.047),-29 (15 -- -5.4)
Michigan,3785 (1066 -- 16703),Likely decreasing,0.92 (0.64 -- 1.4),-0.023 (-0.11 -- 0.096),-30 (7.3 -- -6.6)
Minnesota,855 (242 -- 3325),Likely decreasing,0.95 (0.73 -- 1.3),-0.015 (-0.077 -- 0.083),-47 (8.3 -- -9)
Mississippi,416 (75 -- 2884),Likely decreasing,0.96 (0.61 -- 1.4),-0.012 (-0.11 -- 0.11),-57 (6.4 -- -6)
Missouri,1578 (220 -- 5913),Likely decreasing,0.97 (0.62 -- 1.2),-0.0089 (-0.11 -- 0.053),-78 (13 -- -6.3)
Montana,258 (16 -- 3060),Stable,0.96 (0.39 -- 1.5),-0.01 (-0.19 -- 0.13),-66 (5.2 -- -3.7)
Nebraska,93 (1 -- 911),Likely decreasing,0.89 (0.35 -- 1.4),-0.031 (-0.2 -- 0.096),-22 (7.2 -- -3.4)
Nevada,309 (66 -- 1279),Likely decreasing,0.92 (0.66 -- 1.2),-0.021 (-0.098 -- 0.045),-32 (15 -- -7.1)
New Hampshire,34 (0 -- 342),Likely decreasing,0.8 (0.32 -- 1.3),-0.056 (-0.22 -- 0.087),-12 (8 -- -3.2)
New Jersey,273 (37 -- 886),Decreasing,0.74 (0.41 -- 0.98),-0.075 (-0.18 -- -0.0069),-9.2 (-100 -- -3.8)
New Mexico,347 (3 -- 2083),Likely decreasing,0.89 (0.23 -- 1.2),-0.03 (-0.25 -- 0.059),-23 (12 -- -2.8)
New York,1793 (671 -- 5051),Likely decreasing,0.9 (0.74 -- 1.1),-0.027 (-0.075 -- 0.026),-25 (27 -- -9.2)
North Carolina,2068 (281 -- 7785),Likely decreasing,0.98 (0.59 -- 1.3),-0.0046 (-0.12 -- 0.07),-150 (9.9 -- -5.7)
North Dakota,104 (9 -- 863),Stable,0.98 (0.59 -- 1.5),-0.0066 (-0.12 -- 0.13),-110 (5.3 -- -5.8)
Ohio,0 (0 -- 14),Decreasing,0.24 (0.015 -- 0.8),-0.24 (-0.37 -- -0.057),-2.8 (-12 -- -1.9)
Oklahoma,116 (0 -- 9864),Likely decreasing,0.65 (0.013 -- 1.6),-0.1 (-0.36 -- 0.16),-6.7 (4.4 -- -1.9)
