Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Alabama,1477 (243 -- 4943),Unsure,0.97 (0.62 -- 1.2),-0.0087 (-0.11 -- 0.047),-79 (15 -- -6.2)
Alaska,108 (0 -- 3746),Unsure,1.2 (0.25 -- 2.3),0.043 (-0.24 -- 0.31),16 (2.2 -- -2.8)
Arizona,6266 (1493 -- 22872),Unsure,1 (0.68 -- 1.3),0.0089 (-0.092 -- 0.075),78 (9.3 -- -7.6)
Arkansas,951 (68 -- 4255),Unsure,1 (0.46 -- 1.3),0.0029 (-0.16 -- 0.084),240 (8.3 -- -4.3)
California,9908 (5697 -- 21209),Unsure,1 (0.92 -- 1.2),0.0014 (-0.023 -- 0.049),500 (14 -- -30)
Colorado,106 (5 -- 674),Decreasing,0.74 (0.34 -- 1),-0.074 (-0.21 -- 0.01),-9.3 (70 -- -3.4)
Connecticut,114 (8 -- 437),Decreasing,0.72 (0.37 -- 0.93),-0.08 (-0.2 -- -0.019),-8.7 (-37 -- -3.5)
Delaware,65 (0 -- 487),Likely decreasing,0.75 (0.2 -- 1),-0.072 (-0.26 -- 0.0067),-9.6 (100 -- -2.7)
District of Columbia,192 (46 -- 716),Likely decreasing,0.88 (0.66 -- 1.1),-0.032 (-0.1 -- 0.036),-21 (19 -- -6.9)
Florida,14658 (5590 -- 51205),Unsure,1.2 (0.94 -- 1.6),0.041 (-0.016 -- 0.15),17 (4.7 -- -43)
Georgia,512 (42 -- 3690),Unsure,0.77 (0.39 -- 1.2),-0.065 (-0.19 -- 0.058),-11 (12 -- -3.7)
Hawaii,18 (0 -- 8186),Unsure,1.1 (0.12 -- 3.7),0.015 (-0.29 -- 0.59),45 (1.2 -- -2.4)
Idaho,35 (3 -- 892),Unsure,0.95 (0.6 -- 1.8),-0.014 (-0.12 -- 0.19),-50 (3.6 -- -5.9)
Illinois,435 (54 -- 1769),Likely decreasing,0.68 (0.35 -- 0.93),-0.094 (-0.2 -- -0.018),-7.4 (-38 -- -3.4)
Indiana,1617 (552 -- 4248),Decreasing,0.91 (0.75 -- 1.1),-0.026 (-0.072 -- 0.02),-27 (34 -- -9.6)
Iowa,71 (5 -- 665),Unsure,0.73 (0.37 -- 1.3),-0.078 (-0.19 -- 0.068),-8.9 (10 -- -3.6)
Kansas,254 (44 -- 1274),Unsure,0.99 (0.63 -- 1.4),-0.0032 (-0.11 -- 0.091),-210 (7.6 -- -6.5)
Kentucky,605 (181 -- 2620),Unsure,0.97 (0.75 -- 1.3),-0.0074 (-0.07 -- 0.082),-94 (8.5 -- -9.9)
Louisiana,1300 (462 -- 5424),Likely decreasing,0.95 (0.76 -- 1.3),-0.015 (-0.067 -- 0.072),-48 (9.7 -- -10)
Maine,72 (6 -- 8889),Unsure,0.98 (0.62 -- 3.1),-0.0066 (-0.11 -- 0.47),-100 (1.5 -- -6.2)
Maryland,1448 (360 -- 4803),Decreasing,0.85 (0.63 -- 1),-0.042 (-0.11 -- 0.0064),-17 (110 -- -6.4)
Massachusetts,3105 (1149 -- 10360),Likely decreasing,0.89 (0.72 -- 1.1),-0.031 (-0.081 -- 0.027),-23 (25 -- -8.5)
Michigan,318 (17 -- 2169),Likely decreasing,0.83 (0.18 -- 1.4),-0.049 (-0.27 -- 0.11),-14 (6.6 -- -2.5)
Minnesota,551 (94 -- 4452),Likely decreasing,0.78 (0.49 -- 1.3),-0.063 (-0.15 -- 0.074),-11 (9.4 -- -4.5)
Mississippi,1628 (318 -- 6093),Unsure,0.94 (0.64 -- 1.2),-0.015 (-0.1 -- 0.045),-45 (16 -- -6.6)
Missouri,94 (0 -- 1338),Likely decreasing,0.61 (0.085 -- 1.1),-0.12 (-0.32 -- 0.034),-6 (21 -- -2.2)
Montana,16 (0 -- 500),Unsure,0.95 (0.17 -- 1.7),-0.015 (-0.28 -- 0.18),-48 (3.8 -- -2.5)
Nebraska,306 (5 -- 1885),Unsure,0.92 (0.34 -- 1.2),-0.022 (-0.21 -- 0.066),-31 (10 -- -3.4)
Nevada,932 (219 -- 9226),Unsure,1 (0.79 -- 1.7),0.011 (-0.058 -- 0.18),61 (3.9 -- -12)
New Hampshire,394 (40 -- 2710),Unsure,0.93 (0.55 -- 1.4),-0.02 (-0.13 -- 0.11),-34 (6.5 -- -5.2)
New Jersey,2566 (1242 -- 7801),Decreasing,0.89 (0.76 -- 1.1),-0.031 (-0.067 -- 0.038),-22 (18 -- -10)
New Mexico,353 (45 -- 1409),Likely decreasing,0.89 (0.56 -- 1.1),-0.03 (-0.13 -- 0.039),-23 (18 -- -5.3)
New York,3031 (759 -- 15225),Likely decreasing,0.96 (0.68 -- 1.4),-0.011 (-0.095 -- 0.11),-65 (6.4 -- -7.3)
North Carolina,1279 (126 -- 4086),Likely decreasing,0.91 (0.49 -- 1.1),-0.024 (-0.15 -- 0.024),-29 (29 -- -4.5)
