region,estimate,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,metric,Expected change in daily cases
US,51363 (31224 -- 89408),51363,54986,20531,31224,42261,47448,55886,64116,89408,New confirmed cases by infection date,Likely decreasing
Texas,26283 (9551 -- 87675),26283,36717,44788,9551,16876,22116,30633,42932,87675,New confirmed cases by infection date,Unsure
Florida,14658 (5590 -- 51205),14658,21451,52541,5590,9476,12450,17149,22982,51205,New confirmed cases by infection date,Unsure
California,9908 (5697 -- 21209),9908,11623,13692,5697,7845,9041,10959,12972,21209,New confirmed cases by infection date,Unsure
Arizona,6266 (1493 -- 22872),6266,9307,19271,1493,3953,5345,7385,9809,22872,New confirmed cases by infection date,Unsure
South Carolina,3819 (1103 -- 20580),3819,7289,22815,1103,2257,3099,4866,6975,20580,New confirmed cases by infection date,Unsure
Massachusetts,3105 (1149 -- 10360),3105,4379,8143,1149,2080,2635,3656,4852,10360,New confirmed cases by infection date,Likely decreasing
New York,3031 (759 -- 15225),3031,5052,7833,759,1765,2477,3710,5496,15225,New confirmed cases by infection date,Likely decreasing
Virginia,2664 (53 -- 16815),2664,4862,8833,53,1086,2000,3549,5474,16815,New confirmed cases by infection date,Unsure
New Jersey,2566 (1242 -- 7801),2566,3593,6564,1242,1955,2317,2875,3563,7801,New confirmed cases by infection date,Decreasing
Tennessee,1838 (587 -- 7605),1838,2870,4814,587,1249,1578,2243,3072,7605,New confirmed cases by infection date,Unsure
Mississippi,1628 (318 -- 6093),1628,2220,2201,318,973,1344,1973,2667,6093,New confirmed cases by infection date,Unsure
Pennsylvania,1627 (303 -- 7630),1627,2669,5769,303,964,1367,1936,2720,7630,New confirmed cases by infection date,Decreasing
Indiana,1617 (552 -- 4248),1617,1953,1669,552,1107,1409,1845,2321,4248,New confirmed cases by infection date,Decreasing
Ohio,1546 (435 -- 5023),1546,2226,9276,435,971,1305,1844,2467,5023,New confirmed cases by infection date,Likely decreasing
Alabama,1477 (243 -- 4943),1477,2000,2716,243,886,1238,1767,2330,4943,New confirmed cases by infection date,Unsure
Maryland,1448 (360 -- 4803),1448,1930,1719,360,864,1215,1781,2437,4803,New confirmed cases by infection date,Decreasing
Louisiana,1300 (462 -- 5424),1300,2410,15719,462,857,1104,1594,2216,5424,New confirmed cases by infection date,Likely decreasing
North Carolina,1279 (126 -- 4086),1279,1616,1668,126,636,1012,1555,2086,4086,New confirmed cases by infection date,Likely decreasing
Washington,1125 (360 -- 4560),1125,1888,4254,360,710,952,1378,1893,4560,New confirmed cases by infection date,Unsure
Arkansas,951 (68 -- 4255),951,1631,4513,68,426,734,1194,1724,4255,New confirmed cases by infection date,Unsure
Nevada,932 (219 -- 9226),932,2740,7988,219,504,727,1221,2057,9226,New confirmed cases by infection date,Unsure
Rhode Island,877 (31 -- 19125),877,15361,186352,31,369,638,1164,2193,19125,New confirmed cases by infection date,Unsure
Utah,658 (200 -- 7959),658,8704,171925,200,396,530,819,1355,7959,New confirmed cases by infection date,Unsure
Kentucky,605 (181 -- 2620),605,1137,5911,181,390,511,712,984,2620,New confirmed cases by infection date,Unsure
Minnesota,551 (94 -- 4452),551,1595,8128,94,276,431,715,1164,4452,New confirmed cases by infection date,Likely decreasing
Georgia,512 (42 -- 3690),512,1389,6245,42,226,378,701,1119,3690,New confirmed cases by infection date,Unsure
Illinois,435 (54 -- 1769),435,634,971,54,219,339,560,808,1769,New confirmed cases by infection date,Likely decreasing
New Hampshire,394 (40 -- 2710),394,942,2975,40,180,302,500,765,2710,New confirmed cases by infection date,Unsure
New Mexico,353 (45 -- 1409),353,522,701,45,185,281,443,624,1409,New confirmed cases by infection date,Likely decreasing
Oklahoma,325 (75 -- 2250),325,758,3893,75,170,252,417,641,2250,New confirmed cases by infection date,Unsure
Michigan,318 (17 -- 2169),318,538,775,17,163,263,384,543,2169,New confirmed cases by infection date,Likely decreasing
Nebraska,306 (5 -- 1885),306,629,1699,5,114,223,416,634,1885,New confirmed cases by infection date,Unsure
Oregon,276 (16 -- 1971),276,1651,40729,16,127,205,353,549,1971,New confirmed cases by infection date,Unsure
Kansas,254 (44 -- 1274),254,480,2351,44,151,208,313,459,1274,New confirmed cases by infection date,Unsure
