date,confirm,region
2020-09-07,531,Alabama
2020-09-08,784,Alabama
2020-09-09,1056,Alabama
2020-09-10,1077,Alabama
2020-09-11,969,Alabama
2020-09-12,1059,Alabama
2020-09-13,695,Alabama
2020-09-14,758,Alabama
2020-09-15,1041,Alabama
2020-09-16,763,Alabama
2020-09-17,1031,Alabama
2020-09-18,1314,Alabama
2020-09-19,810,Alabama
2020-09-20,747,Alabama
2020-09-21,877,Alabama
2020-09-22,657,Alabama
2020-09-23,1038,Alabama
2020-09-24,2366,Alabama
2020-09-25,976,Alabama
2020-09-26,726,Alabama
2020-09-27,639,Alabama
2020-09-28,746,Alabama
2020-09-29,1234,Alabama
2020-09-30,1188,Alabama
2020-10-01,955,Alabama
2020-10-02,1675,Alabama
2020-10-03,779,Alabama
2020-10-04,536,Alabama
2020-10-05,759,Alabama
2020-10-06,1009,Alabama
2020-10-07,600,Alabama
2020-10-08,1598,Alabama
2020-10-09,1214,Alabama
2020-10-10,801,Alabama
2020-10-11,716,Alabama
2020-10-12,1100,Alabama
2020-10-13,882,Alabama
2020-10-14,1224,Alabama
2020-10-15,1225,Alabama
2020-10-16,1312,Alabama
2020-10-17,980,Alabama
2020-10-18,865,Alabama
2020-10-19,1076,Alabama
2020-10-20,1132,Alabama
2020-10-21,1395,Alabama
2020-10-22,3832,Alabama
2020-10-23,2130,Alabama
2020-10-24,1264,Alabama
2020-10-25,892,Alabama
2020-10-26,1215,Alabama
2020-10-27,1329,Alabama
2020-10-28,1508,Alabama
2020-10-29,1338,Alabama
2020-10-30,1819,Alabama
2020-10-31,1681,Alabama
2020-11-01,845,Alabama
2020-11-02,1234,Alabama
2020-11-03,1812,Alabama
2020-11-04,1423,Alabama
2020-11-05,1601,Alabama
2020-11-06,1603,Alabama
2020-11-07,1387,Alabama
2020-11-08,1147,Alabama
2020-11-09,1858,Alabama
2020-11-10,39,Alabama
2020-11-11,2075,Alabama
2020-11-12,2000,Alabama
2020-11-13,2980,Alabama
2020-11-14,2226,Alabama
2020-11-15,1979,Alabama
2020-11-16,1410,Alabama
2020-11-17,1616,Alabama
2020-11-18,2638,Alabama
2020-11-19,2424,Alabama
2020-11-20,2463,Alabama
2020-11-21,2335,Alabama
2020-11-22,1798,Alabama
