Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Alabama,7425 (5206 -- 11866),Likely increasing,1.1 (1 -- 1.2),0.02 (0 -- 0.06),28.7 (11.6 -- 157.3)
Alaska,1639 (1188 -- 2387),Likely increasing,1.1 (1 -- 1.2),0.01 (-0.01 -- 0.05),50.1 (12.9 -- -71.3)
Arizona,14450 (8701 -- 23911),Likely increasing,1.1 (1 -- 1.3),0.03 (-0.01 -- 0.07),20.2 (9.3 -- -66.7)
Arkansas,4712 (3339 -- 6638),Likely increasing,1.1 (1 -- 1.1),0.01 (-0.01 -- 0.04),49.3 (17.2 -- -54.5)
California,61023 (42380 -- 85887),Likely increasing,1.2 (1 -- 1.3),0.04 (0.01 -- 0.08),15.8 (8.4 -- 56.1)
Colorado,11474 (6549 -- 20917),Unsure,1.1 (0.9 -- 1.5),0.03 (-0.04 -- 0.13),25.4 (5.5 -- -16.6)
Connecticut,8128 (3932 -- 14183),Likely increasing,1.1 (0.9 -- 1.2),0.03 (-0.03 -- 0.07),25.7 (10.6 -- -22.3)
Delaware,1872 (1104 -- 3051),Likely increasing,1.1 (1 -- 1.3),0.04 (-0.01 -- 0.08),18.4 (8.4 -- -74.4)
District of Columbia,630 (400 -- 993),Likely increasing,1.1 (1 -- 1.3),0.03 (0 -- 0.07),22.1 (10.1 -- -326.4)
Florida,23241 (15274 -- 34486),Likely increasing,1.1 (0.9 -- 1.2),0.02 (-0.02 -- 0.05),40.3 (14.1 -- -31.1)
Georgia,12690 (6271 -- 32781),Unsure,1.1 (0.9 -- 1.6),0.04 (-0.02 -- 0.15),18.8 (4.5 -- -28.5)
Guam,15 (2 -- 56),Unsure,0.6 (0.3 -- 1),-0.1 (-0.21 -- -0.01),-6.7 (-61.9 -- -3.2)
Hawaii,189 (126 -- 270),Unsure,1 (0.9 -- 1.1),0 (-0.03 -- 0.02),-207.6 (28.3 -- -20)
Idaho,3081 (2213 -- 4347),Likely increasing,1 (0.9 -- 1.1),0 (-0.03 -- 0.02),-3272.8 (31.5 -- -26.4)
Illinois,18878 (11479 -- 34888),Unsure,1 (0.8 -- 1.4),0.01 (-0.05 -- 0.09),100.6 (7.5 -- -13.2)
Indiana,17089 (10092 -- 32748),Unsure,1.1 (0.9 -- 1.5),0.03 (-0.03 -- 0.13),21.1 (5.2 -- -24.2)
Iowa,3613 (1761 -- 8543),Unsure,1 (0.7 -- 1.4),-0.01 (-0.09 -- 0.11),-51.6 (6.4 -- -7.5)
Kansas,7184 (2226 -- 21147),Unsure,1.1 (0.7 -- 1.3),0.01 (-0.08 -- 0.08),47.8 (8.2 -- -8.5)
Kentucky,8821 (6428 -- 11429),Increasing,1.1 (1 -- 1.1),0.02 (-0.01 -- 0.03),33.8 (21.6 -- -105.6)
Louisiana,7648 (2925 -- 15275),Unsure,1.1 (0.8 -- 1.3),0.02 (-0.07 -- 0.08),31.3 (9 -- -10.5)
Maine,652 (301 -- 1701),Unsure,1.1 (0.8 -- 1.6),0.03 (-0.05 -- 0.16),22.8 (4.4 -- -14)
Maryland,5615 (3595 -- 9509),Unsure,1.1 (0.9 -- 1.3),0.01 (-0.03 -- 0.09),46.6 (7.9 -- -21.9)
Massachusetts,11558 (8724 -- 16770),Increasing,1.1 (1.1 -- 1.3),0.03 (0.02 -- 0.07),20.1 (9.6 -- 41.8)
Michigan,14872 (7377 -- 26220),Unsure,0.9 (0.7 -- 1.1),-0.02 (-0.08 -- 0.03),-42.8 (21.8 -- -8.7)
Minnesota,7541 (4345 -- 12974),Unsure,0.8 (0.7 -- 1),-0.05 (-0.1 -- 0.01),-15.4 (51.1 -- -7)
Mississippi,4480 (3207 -- 7182),Increasing,1.1 (1 -- 1.2),0.03 (0 -- 0.07),27.5 (10.6 -- 157.8)
Missouri,6989 (3017 -- 14388),Unsure,0.9 (0.7 -- 1.1),-0.02 (-0.09 -- 0.04),-42.5 (17.9 -- -8)
Montana,1411 (781 -- 2264),Unsure,0.9 (0.7 -- 1),-0.03 (-0.08 -- 0.01),-27 (50.9 -- -9.2)
Nebraska,3272 (1781 -- 6108),Unsure,0.9 (0.7 -- 1.2),-0.02 (-0.07 -- 0.04),-40.5 (17.1 -- -9.8)
Nevada,6018 (3606 -- 8559),Likely increasing,1.1 (0.9 -- 1.1),0.02 (-0.03 -- 0.04),42.3 (17.8 -- -21.4)
New Hampshire,1700 (739 -- 2894),Likely increasing,1.1 (0.8 -- 1.3),0.03 (-0.05 -- 0.08),20.3 (9 -- -13.7)
New Jersey,10200 (6457 -- 15226),Likely increasing,1 (0.9 -- 1.2),0.01 (-0.03 -- 0.04),75 (16.1 -- -22.3)
New Mexico,2589 (1291 -- 4793),Unsure,0.8 (0.6 -- 1.1),-0.05 (-0.11 -- 0.02),-15.1 (45.3 -- -6.1)
New York,29806 (19207 -- 49090),Likely increasing,1.2 (1 -- 1.5),0.06 (0 -- 0.14),11.2 (5.1 -- 223.4)
North Carolina,10507 (7743 -- 15496),Increasing,1.1 (1 -- 1.2),0.02 (0 -- 0.05),35.6 (15.1 -- -392.7)
North Dakota,684 (412 -- 1165),Unsure,0.8 (0.6 -- 1),-0.07 (-0.11 -- -0.01),-10.4 (-58.2 -- -6.3)
Northern Mariana Islands,0 (0 -- 1),Unsure,0.9 (0.5 -- 1.2),-0.04 (-0.17 -- 0.05),-17.1 (13.3 -- -4.2)
Ohio,15327 (9925 -- 23307),Unsure,0.9 (0.8 -- 1.1),-0.02 (-0.07 -- 0.02),-30 (32.9 -- -10.2)
Oklahoma,5693 (3094 -- 10244),Unsure,1 (0.8 -- 1.2),-0.01 (-0.07 -- 0.05),-49.8 (13.4 -- -9.8)
Oregon,3542 (2305 -- 5137),Likely increasing,1 (0.9 -- 1.2),0.01 (-0.03 -- 0.04),71.1 (15.7 -- -21.7)
Pennsylvania,26829 (17221 -- 61139),Increasing,1.2 (1 -- 1.7),0.05 (0 -- 0.18),14.9 (3.9 -- 224.3)
Puerto Rico,1702 (955 -- 2851),Likely increasing,1 (0.9 -- 1.2),0.01 (-0.03 -- 0.04),53.3 (16.6 -- -26.5)
Rhode Island,4148 (2386 -- 6218),Increasing,1.1 (1 -- 1.2),0.03 (-0.01 -- 0.05),22.6 (12.9 -- -66.2)
South Carolina,5213 (3505 -- 8055),Unsure,1.1 (1 -- 1.2),0.02 (0 -- 0.06),29.6 (11.7 -- -188.5)
South Dakota,1296 (845 -- 1986),Unsure,0.9 (0.8 -- 1),-0.03 (-0.07 -- 0),-20.3 (195.9 -- -9.7)
Tennessee,11922 (8493 -- 17265),Increasing,1.1 (1 -- 1.1),0.02 (-0.01 -- 0.04),39.1 (18 -- -133.2)
Texas,32396 (19885 -- 55072),Likely increasing,1.1 (0.9 -- 1.2),0.02 (-0.02 -- 0.06),38.9 (11 -- -29.8)
US,548630 (361865 -- 907570),Likely increasing,1.1 (1 -- 1.4),0.04 (0 -- 0.11),17.7 (6.1 -- -222.9)
Utah,5948 (3694 -- 10514),Unsure,1 (0.8 -- 1.3),0 (-0.05 -- 0.07),-192 (9.5 -- -13.9)
Vermont,369 (154 -- 749),Likely increasing,1.1 (0.8 -- 1.4),0.03 (-0.04 -- 0.11),21.9 (6.3 -- -15.5)
Virgin Islands,38 (8 -- 251),Unsure,1.2 (0.7 -- 2),0.05 (-0.09 -- 0.25),15.3 (2.7 -- -7.9)
Virginia,6075 (3729 -- 8889),Unsure,1 (0.9 -- 1.2),0.01 (-0.04 -- 0.04),58.3 (16.2 -- -19.5)
Washington,3807 (1085 -- 9656),Unsure,0.9 (0.5 -- 1.1),-0.03 (-0.14 -- 0.04),-19.9 (17.3 -- -4.8)
West Virginia,2297 (1493 -- 3490),Unsure,1 (0.9 -- 1.2),0 (-0.04 -- 0.05),213.7 (14.2 -- -18)
Wisconsin,8115 (4583 -- 13747),Unsure,0.9 (0.8 -- 1.1),-0.02 (-0.06 -- 0.03),-37.3 (21 -- -10.8)
Wyoming,632 (284 -- 1270),Unsure,0.8 (0.6 -- 1),-0.06 (-0.12 -- 0),-12.5 (412.2 -- -5.6)
