region,estimate,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,metric,Expected change in daily cases
US,712807 (451232 -- 1201995),712807,755606,245011,451232,588810,662799,765021,870165,1201995,New confirmed cases by infection date,Unsure
California,90959 (53902 -- 154142),90959,95792,32371,53902,74128,84304,98052,111494,154142,New confirmed cases by infection date,Unsure
Texas,54983 (26791 -- 107004),54983,59784,27079,26791,42142,49900,60629,71689,107004,New confirmed cases by infection date,Unsure
Florida,45928 (28914 -- 76802),45928,48450,15754,28914,37971,42558,49682,56044,76802,New confirmed cases by infection date,Likely increasing
Michigan,41862 (20319 -- 79561),41862,45680,22764,20319,32004,37445,46466,55030,79561,New confirmed cases by infection date,Likely increasing
New York,40675 (24725 -- 77430),40675,44544,17492,24725,32708,37479,44399,51257,77430,New confirmed cases by infection date,Likely increasing
Ohio,34804 (19361 -- 59902),34804,36952,13356,19361,27701,32103,38096,44084,59902,New confirmed cases by infection date,Unsure
Pennsylvania,23118 (12391 -- 42826),23118,25005,9925,12391,17913,21220,25644,30206,42826,New confirmed cases by infection date,Unsure
Minnesota,22920 (12544 -- 42813),22920,24710,9889,12544,17951,20993,25174,29319,42813,New confirmed cases by infection date,Unsure
Tennessee,21537 (14008 -- 35906),21537,22801,7252,14008,17899,20141,23201,26158,35906,New confirmed cases by infection date,Likely increasing
North Carolina,19525 (12851 -- 34002),19525,20964,7465,12851,16195,18278,20827,23608,34002,New confirmed cases by infection date,Increasing
Arizona,19017 (6162 -- 38129),19017,20099,9987,6162,13266,16756,21331,25306,38129,New confirmed cases by infection date,Unsure
Kansas,18582 (5623 -- 61851),18582,24182,21433,5623,11677,15680,21873,28905,61851,New confirmed cases by infection date,Unsure
Kentucky,18250 (12615 -- 28438),18250,19131,5283,12615,15532,17209,19394,21632,28438,New confirmed cases by infection date,Increasing
Washington,18168 (8338 -- 35684),18168,19631,8631,8338,13739,16406,20075,23826,35684,New confirmed cases by infection date,Likely increasing
Missouri,17941 (6099 -- 39728),17941,19733,10802,6099,12350,15668,20107,24680,39728,New confirmed cases by infection date,Unsure
Indiana,17248 (9155 -- 31771),17248,18409,7327,9155,13520,15649,18893,21787,31771,New confirmed cases by infection date,Unsure
New Jersey,17115 (9229 -- 28900),17115,17941,6495,9229,13319,15773,18882,21343,28900,New confirmed cases by infection date,Likely increasing
