Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Alabama,9158 (6067 -- 15487),Likely increasing,1.1 (1 -- 1.2),0.02 (-0.01 -- 0.05),40.3 (12.9 -- -95.6)
Alaska,2646 (1440 -- 4544),Likely increasing,1 (0.8 -- 1.1),0 (-0.05 -- 0.03),-2120.7 (21.3 -- -13.8)
Arizona,27275 (15899 -- 52666),Likely increasing,1.2 (1.1 -- 1.5),0.06 (0.02 -- 0.12),11.6 (5.7 -- 29.8)
Arkansas,8964 (5515 -- 14687),Likely increasing,1.1 (0.9 -- 1.2),0.02 (-0.02 -- 0.04),37.7 (15.9 -- -39.9)
California,72256 (48706 -- 107882),Unsure,1.2 (1.1 -- 1.4),0.06 (0.02 -- 0.1),12 (7.2 -- 40.9)
Colorado,27601 (12581 -- 51422),Likely increasing,1.1 (0.8 -- 1.3),0.03 (-0.05 -- 0.07),25.1 (10.3 -- -15)
Connecticut,16647 (9161 -- 32128),Increasing,1.2 (1 -- 1.3),0.05 (0 -- 0.09),15.1 (8 -- -753)
Delaware,2924 (1681 -- 5387),Likely increasing,1.2 (1 -- 1.4),0.05 (0 -- 0.09),14.1 (7.4 -- -235.3)
District of Columbia,1011 (598 -- 1886),Likely increasing,1.1 (1 -- 1.3),0.04 (0 -- 0.08),18.2 (8.7 -- -310)
Florida,39283 (24547 -- 64619),Unsure,1.1 (1 -- 1.3),0.03 (0 -- 0.07),21.4 (9.4 -- -346.5)
Georgia,15692 (7060 -- 36923),Unsure,1 (0.8 -- 1.3),0.01 (-0.06 -- 0.09),68.8 (7.8 -- -12.1)
Guam,367 (102 -- 930),Unsure,1 (0.7 -- 1.2),0 (-0.1 -- 0.06),-1391.7 (12.3 -- -7)
Hawaii,495 (304 -- 911),Unsure,1.1 (0.9 -- 1.3),0.02 (-0.02 -- 0.08),36.9 (9 -- -36.5)
Idaho,6099 (4286 -- 8858),Increasing,1.1 (1 -- 1.1),0.02 (-0.01 -- 0.03),39.5 (21.3 -- -82.8)
Illinois,32594 (16178 -- 61175),Unsure,0.8 (0.6 -- 1.1),-0.04 (-0.11 -- 0.02),-15.8 (42.9 -- -6.2)
