Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Alabama,1606 (894 -- 3019),Decreasing,0.75 (0.61 -- 0.94),-0.07 (-0.11 -- -0.016),-9.9 (-43 -- -6.1)
Alaska,808 (333 -- 1708),Stable,1 (0.66 -- 1.2),-0.00082 (-0.098 -- 0.054),-840 (13 -- -7.1)
Arizona,3716 (1755 -- 8383),Likely decreasing,0.8 (0.62 -- 1.1),-0.057 (-0.11 -- 0.02),-12 (35 -- -6.3)
Arkansas,430 (128 -- 1103),Decreasing,0.57 (0.31 -- 0.82),-0.13 (-0.22 -- -0.05),-5.5 (-14 -- -3.2)
California,18569 (10877 -- 36018),Likely decreasing,0.84 (0.7 -- 1.1),-0.045 (-0.087 -- 0.017),-15 (41 -- -7.9)
Colorado,3080 (1794 -- 5733),Likely decreasing,0.93 (0.74 -- 1.2),-0.019 (-0.076 -- 0.05),-36 (14 -- -9.1)
Connecticut,3140 (1301 -- 7368),Likely decreasing,0.88 (0.67 -- 1.1),-0.034 (-0.097 -- 0.023),-20 (30 -- -7.1)
Delaware,925 (535 -- 1822),Likely decreasing,0.91 (0.77 -- 1.1),-0.025 (-0.066 -- 0.031),-27 (22 -- -11)
District of Columbia,319 (181 -- 593),Decreasing,0.84 (0.71 -- 0.98),-0.044 (-0.083 -- -0.0069),-16 (-100 -- -8.3)
Florida,17470 (11183 -- 29957),Likely decreasing,0.91 (0.77 -- 1.1),-0.026 (-0.066 -- 0.021),-27 (33 -- -10)
Georgia,10754 (6349 -- 19211),Likely decreasing,0.93 (0.8 -- 1.1),-0.019 (-0.058 -- 0.036),-37 (19 -- -12)
Guam,15 (5 -- 39),Likely decreasing,0.93 (0.68 -- 1.1),-0.021 (-0.092 -- 0.027),-34 (26 -- -7.5)
Hawaii,97 (51 -- 181),Decreasing,0.81 (0.66 -- 0.99),-0.052 (-0.1 -- -0.0017),-13 (-410 -- -6.9)
Idaho,993 (650 -- 1561),Decreasing,0.9 (0.82 -- 0.98),-0.027 (-0.051 -- -0.0046),-26 (-150 -- -14)
Illinois,4761 (2751 -- 8595),Likely decreasing,0.88 (0.69 -- 1.1),-0.035 (-0.088 -- 0.033),-20 (21 -- -7.9)
Indiana,2500 (1428 -- 4428),Likely decreasing,0.85 (0.69 -- 1),-0.041 (-0.09 -- 0.013),-17 (53 -- -7.7)
Iowa,558241 (78138 -- 3074170),Increasing,4.8 (2.4 -- 9.1),0.7 (0.3 -- 1.2),0.99 (0.56 -- 2.3)
Kansas,2044 (721 -- 6727),Likely decreasing,0.88 (0.64 -- 1.3),-0.033 (-0.1 -- 0.066),-21 (10 -- -6.7)
Kentucky,3121 (1741 -- 5808),Likely decreasing,0.86 (0.7 -- 1.1),-0.04 (-0.088 -- 0.015),-17 (46 -- -7.9)
Louisiana,1603 (582 -- 3808),Decreasing,0.74 (0.51 -- 0.93),-0.075 (-0.15 -- -0.019),-9.3 (-37 -- -4.7)
Maine,334 (191 -- 668),Likely decreasing,0.83 (0.69 -- 1.1),-0.048 (-0.089 -- 0.018),-14 (39 -- -7.8)
Maryland,2120 (1225 -- 3611),Likely decreasing,0.85 (0.68 -- 1),-0.042 (-0.091 -- 0.0093),-17 (74 -- -7.6)
Massachusetts,5924 (3334 -- 12558),Likely decreasing,0.87 (0.73 -- 1),-0.035 (-0.078 -- 0.011),-20 (63 -- -8.9)
Michigan,3600 (2118 -- 6362),Likely decreasing,0.9 (0.8 -- 1),-0.027 (-0.056 -- 0.0031),-26 (230 -- -12)
Minnesota,3028 (1558 -- 6541),Stable,1 (0.76 -- 1.4),0.0071 (-0.069 -- 0.11),97 (6.1 -- -10)
Mississippi,892 (443 -- 1800),Decreasing,0.72 (0.55 -- 0.88),-0.079 (-0.13 -- -0.035),-8.7 (-20 -- -5.2)
Missouri,1465 (858 -- 2596),Likely decreasing,0.84 (0.71 -- 1),-0.044 (-0.082 -- 0.0046),-16 (150 -- -8.5)
Montana,663 (416 -- 1214),Likely decreasing,0.93 (0.81 -- 1.1),-0.02 (-0.053 -- 0.035),-35 (20 -- -13)
Nebraska,878 (420 -- 1724),Likely decreasing,0.89 (0.69 -- 1.1),-0.031 (-0.09 -- 0.026),-22 (27 -- -7.7)
Nevada,857 (393 -- 1640),Decreasing,0.77 (0.54 -- 0.99),-0.065 (-0.14 -- -0.0018),-11 (-390 -- -5)
New Hampshire,1638 (936 -- 3230),Likely increasing,1 (0.86 -- 1.3),0.011 (-0.04 -- 0.077),64 (9.1 -- -18)
New Jersey,9571 (6040 -- 16328),Likely decreasing,0.93 (0.8 -- 1.1),-0.02 (-0.057 -- 0.024),-34 (29 -- -12)
New Mexico,900 (522 -- 1815),Likely decreasing,0.9 (0.73 -- 1.2),-0.029 (-0.079 -- 0.051),-24 (14 -- -8.8)
New York,28799 (18125 -- 48867),Likely decreasing,0.97 (0.82 -- 1.2),-0.008 (-0.05 -- 0.041),-86 (17 -- -14)
North Carolina,8763 (5044 -- 15805),Decreasing,0.85 (0.72 -- 1),-0.041 (-0.08 -- -6e-05),-17 (-12000 -- -8.6)
North Dakota,567 (216 -- 1861),Likely increasing,1.2 (0.85 -- 1.9),0.047 (-0.042 -- 0.21),15 (3.3 -- -17)
Northern Mariana Islands,57 (3 -- 1593),Increasing,2.4 (1.1 -- 6.9),0.34 (0.026 -- 1.2),2 (0.6 -- 27)
